id,opening_hours,fee,geometry,latitude,longitude,atm_type,accessibility,address,name,district,neighborhood_id,neighborhood,district_id
60852951,24/7,,POINT (13.4656184 52.5246695),52.5246695,13.4656184,standalone,accessible,"Storkower Bogen, 10369, Berlin",Berliner Volksbank,Lichtenberg,1111,Fennpfuhl,11011011
78252154,,,POINT (13.3986266 52.5237445),52.5237445,13.3986266,standalone,accessible,"Oranienburger Straße, 13, 10178, Berlin",Bank Für Sozialwirtschaft,Mitte,0101,Mitte,11001001
87036263,06:00-23:00,,POINT (13.3842822 52.5329853),52.5329853,13.3842822,indoor,accessible,"Caroline-Michaelis-Straße, 10115, Berlin",Sparda-Bank Berlin,Mitte,0101,Mitte,11001001
213106623,,,POINT (13.4411367 52.5421697),52.5421697,13.4411367,indoor,accessible,"Greifswalder Straße, 87-88, 10409, Berlin",Sparkasse,Pankow,0301,Prenzlauer Berg,11003003
239694634,,,POINT (13.5216425 52.4975011),52.4975011,13.5216425,standalone,accessible,"Otto-Schmirgal-Straße, 3, 10319, Berlin",Berliner Volksbank,Lichtenberg,1101,Friedrichsfelde,11011011
253624651,24/7,,POINT (13.45327 52.5122086),52.5122086,13.45327,indoor,not accessible,"Grünberger Straße, 34, 10245, Berlin",Berliner Sparkasse,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002
266622701,24/7,fee applies,POINT (13.6119501 52.5123211),52.5123211,13.6119501,indoor,accessible,"Hönower Straße, 12623, Berlin",Cashzone,Marzahn-Hellersdorf,1004,Mahlsdorf,11010010
269111123,24/7,,POINT (13.2407359 52.6180992),52.6180992,13.2407359,indoor,accessible,"Ruppiner Chaussee, 13503, Berlin",Berliner Volksbank,Reinickendorf,1204,Heiligensee,11012012
269478773,,,POINT (13.5354903 52.4331872),52.4331872,13.5354903,indoor,,"Rudower Chaussee, 12489, Berlin",Berliner Sparkasse,Treptow-Köpenick,0907,Adlershof,11009009
280543616,,,POINT (13.3515121 52.4396293),52.4396293,13.3515121,standalone,,"Kaiser-Wilhelm-Straße, 117, 12247, Berlin",Ing,Steglitz-Zehlendorf,0603,Lankwitz,11006006
282420329,,,POINT (13.4561861 52.510403),52.510403,13.4561861,standalone,partially accessible,"Simon-Dach-Straße, 13, 10245, Berlin",Berliner Sparkasse,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002
283287153,,,POINT (13.2856117 52.5846689),52.5846689,13.2856117,indoor,accessible,"Am Borsigturm, 2, 13507, Berlin",Berliner Sparkasse,Reinickendorf,1202,Tegel,11012012
287297011,24/7,,POINT (13.4621311 52.498361),52.498361,13.4621311,indoor,accessible,"Stralauer Allee, 18, 10245, Berlin",Landesbank Berlin,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002
287970705,,,POINT (13.4446043 52.5644743),52.5644743,13.4446043,indoor,accessible,"Romain-Rolland-Straße, 13089, Berlin",Berliner Sparkasse,Pankow,0304,Heinersdorf,11003003
290670855,24/7,,POINT (13.1992817 52.5352575),52.5352575,13.1992817,indoor,accessible,"Altstädter Ring, 1, 13597, Berlin",Sparkasse Berlin,Spandau,0501,Spandau,11005005
308019533,24/7,,POINT (13.5149359 52.5054142),52.5054142,13.5149359,standalone,partially accessible,"Alfred-Kowalke-Straße, 10315, Berlin",Landesbank Berlin,Lichtenberg,1101,Friedrichsfelde,11011011
313220249,,,POINT (13.3279689 52.4649835),52.4649835,13.3279689,standalone,accessible,"Walther-Schreiber-Platz, 1, 12161, Berlin",Berliner Sparkasse,Tempelhof-Schöneberg,0702,Friedenau,11007007
318802659,24/7,,POINT (13.4130036 52.5408053),52.5408053,13.4130036,standalone,partially accessible,"Danziger Straße, 4, 10435, Berlin",Berliner Volksbank,Pankow,0301,Prenzlauer Berg,11003003
322565365,06:00-22:00,,POINT (13.4108669 52.5219256),52.5219256,13.4108669,standalone,partially accessible,"Dircksenstraße, 10179, Berlin",Berliner Volksbank,Mitte,0101,Mitte,11001001
333445280,24/7,,POINT (13.4267477 52.4756435),52.4756435,13.4267477,standalone,partially accessible,"Hermannstraße, 63, 12049, Berlin",Volksbank,Neukölln,0801,Neukölln,11008008
333448125,,,POINT (13.4249122 52.4870749),52.4870749,13.4249122,standalone,partially accessible,"Hermannplatz, 12047, Berlin","Landesbank Berlin, Berliner Sparkasse",Neukölln,0801,Neukölln,11008008
355744865,,,POINT (13.3842928 52.5555699),52.5555699,13.3842928,standalone,,"Prinzenallee, 13357, Berlin",Euronet,Mitte,0106,Gesundbrunnen,11001001
358513878,24/7,fee varies,POINT (13.4196917 52.5421709),52.5421709,13.4196917,standalone,accessible,"Raumerstraße, 10437, Berlin",Euronet,Pankow,0301,Prenzlauer Berg,11003003
370347889,24/7,,POINT (13.499794 52.5090374),52.5090374,13.499794,indoor,not accessible,"Wönnichstraße, 10317, Berlin",Berliner Sparkasse,Lichtenberg,1112,Rummelsburg,11011011
375802179,,fee varies,POINT (13.3218496 52.511722),52.511722,13.3218496,indoor,not accessible,"Hardenbergstraße, 10587, Berlin",Berliner Sparkasse,Charlottenburg-Wilmersdorf,0401,Charlottenburg,11004004
393409420,,,POINT (13.2897845 52.4972855),52.4972855,13.2897845,standalone,accessible,"Kurfürstendamm, 116, 10711, Berlin",Berliner Sparkasse,Charlottenburg-Wilmersdorf,0407,Halensee,11004004
410178846,,,POINT (13.6018415 52.5362937),52.5362937,13.6018415,indoor,accessible,"Janusz-Korczak-Straße, 1, 12627, Berlin",Deutsche Bank,Marzahn-Hellersdorf,1005,Hellersdorf,11010010
419179952,,,POINT (13.2736929 52.5354859),52.5354859,13.2736929,standalone,,"Ohmstraße, 13629, Berlin",Degussa Bank,Spandau,0503,Siemensstadt,11005005
444606371,,,POINT (13.2921627 52.4968934),52.4968934,13.2921627,indoor,partially accessible,"Westfälische Straße, 47, 10711, Berlin",Berliner Volksbank,Charlottenburg-Wilmersdorf,0407,Halensee,11004004
448809594,24/7,,POINT (13.4413034 52.4702499),52.4702499,13.4413034,standalone,accessible,"Karl-Marx-Straße, 12055, Berlin",Berliner Sparkasse,Neukölln,0801,Neukölln,11008008
461820447,,,POINT (13.2884049 52.4524272),52.4524272,13.2884049,indoor,accessible,"Rudi-Dutschke-Weg, 14195, Berlin",Sparkasse,Steglitz-Zehlendorf,0605,Dahlem,11006006
472560519,,,POINT (13.3023417 52.4266045),52.4266045,13.3023417,standalone,not accessible,"Lausanner Straße, 12205, Berlin",Berliner Volksbank,Steglitz-Zehlendorf,0602,Lichterfelde,11006006
480760490,,fee varies,POINT (13.5576173 52.5063499),52.5063499,13.5576173,indoor,accessible,"Weißenhöher Straße, 108, 12683, Berlin",Berliner Sparkasse,Marzahn-Hellersdorf,1002,Biesdorf,11010010
