id,name,bakery_type,is_chain,brand_name,address,street,house_number,postal_code,phone,amenities,accessibility,opening_hours,sunday_opening,website,latitude,longitude,district,neighborhood,district_id,neighborhood_id,data_source
58489996,Unknown Bakery,artisanal,False,,"Alte Jakobstraße 77, postal_code    10179
postal_code      NaN
Name: 0, dtype: object Berlin",Alte Jakobstraße,77,10179,,Standard Bakery,Not Specified,,,,52.510345699999995,13.4082896,Mitte,Mitte,11001001,0101,OSM
253999302,Back-Factory,chain,True,Back-Factory,"Hauptstraße 22, postal_code    10827
postal_code      NaN
Name: 1, dtype: object Berlin",Hauptstraße,22,10827,,outdoor_seating,Fully Accessible,Mo-Fr 06:00-19:00; Sa 06:30-18:00; Su 07:00-16:00,True,,52.4862765,13.3561798,Tempelhof-Schöneberg,Schöneberg,11007007,0701,OSM
254333065,Brot & Brötchen,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 2, dtype: object Berlin",,,,,outdoor_seating,Not Specified,Mo-Fr 07:00-17:00; Sa 07:00-14:00; Su 07:00-14:00,True,,52.4961316,13.3202337,Charlottenburg-Wilmersdorf,Wilmersdorf,11004004,0402,OSM
254992626,Steinecke,chain,True,Steinecke,"nan nan, postal_code    NaN
postal_code    NaN
Name: 3, dtype: object Berlin",,,,,Standard Bakery,Fully Accessible,Mo-Fr 06:30-18:00; Sa 07:00-14:00; Su 07:00-12:00,True,,52.487958899999995,13.2629853,Charlottenburg-Wilmersdorf,Grunewald,11004004,0404,OSM
258050855,Wilmina Brot,artisanal,False,,"Kantstraße 80, postal_code    10627
postal_code      NaN
Name: 4, dtype: object Berlin",Kantstraße,80,10627,,Standard Bakery,Not Specified,We-Su 08:00-16:00,True,,52.50695679999999,13.2972926,Charlottenburg-Wilmersdorf,Charlottenburg,11004004,0401,OSM
262365563,Feinbäckerei Wenzel,artisanal,False,,"Frankfurter Allee 47, postal_code    10247
postal_code      NaN
Name: 5, dtype: object Berlin",Frankfurter Allee,47,10247,+49304265684,outdoor_seating,Fully Accessible,Mo-Fr 06:30-18:30; Sa 07:00-16:00,,,52.51501189999999,13.4637616,Friedrichshain-Kreuzberg,Friedrichshain,11002002,0201,OSM
266622845,Müller,chain,True,Christian Müller,"Hönower Straße 77, postal_code    12623
postal_code      NaN
Name: 6, dtype: object Berlin",Hönower Straße,77,12623,,outdoor_seating,Fully Accessible,Mo-Fr 05:30-18:30; Sa 05:30-16:30; PH off,,,52.511619,13.6120334,Marzahn-Hellersdorf,Mahlsdorf,11010010,1004,OSM
267245380,Mein Brotkorb,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 7, dtype: object Berlin",,,,,Standard Bakery,Fully Accessible,Mo-Fr 06:30-18:00; Sa 06:30-12:00; Su 07:00-11:00,True,,52.51156929999999,13.1813893,Spandau,Wilhelmstadt,11005005,0509,OSM
268424317,Steinecke,chain,True,Steinecke,"nan nan, postal_code    NaN
postal_code    NaN
Name: 8, dtype: object Berlin",,,,,Standard Bakery,Not Specified,,,,52.59663539999998,13.290827,Reinickendorf,Tegel,11012012,1202,OSM
271876298,Die Leckerei,artisanal,False,,"Seegefelder Straße 55, postal_code    13583
postal_code      NaN
Name: 9, dtype: object Berlin",Seegefelder Straße,55,13583,,Standard Bakery,Not Specified,,,,52.536876699999986,13.1890809,Spandau,Spandau,11005005,0501,OSM
