id,district_id,neighborhood_id,name,latitude,longitude,geometry,neighborhood,district,is_indoor,is_outdoor,address,street,house_number,postal_code,pricing,accessibility,opening_hours,phone,email,website,data_source
1066131768,11006006,0604,Boulderfelsen,52.4139429,13.264761,POINT (13.264761 52.413943),Zehlendorf,Steglitz-Zehlendorf,False,False,"Boulderfelsen, Werner-Sylten-Weg, Telefunkensiedlung, Schönow, Zehlendorf, Steglitz-Zehlendorf, Berlin, 14165, Deutschland",,,,,,,,,,OSM
1768495247,11002002,0202,unknown_bouldering,52.4959931,13.448546,POINT (13.448546 52.495993),Kreuzberg,Friedrichshain-Kreuzberg,False,False,"Heckmannufer, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Deutschland",,,,,,,,,,OSM
3966842994,11002002,0202,Boulderklub Kreuzberg,52.495130399999994,13.4286748,POINT (13.428675 52.49513),Kreuzberg,Friedrichshain-Kreuzberg,True,False,"Boulderklub Kreuzberg, 38, Ohlauer Straße, Reichenberger Kiez, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Deutschland",Ohlauer Straße,38,10999,,Not wheelchair accessible,Mo-Fr 07:00-22:00; Sa-Su 09:00-22:00,+49 30 51302181,,http://boulderklubkreuzberg.de,OSM
3989801753,11005005,0502,Cliffhanger,52.5421112,13.221067000000001,POINT (13.221067 52.542111),Haselhorst,Spandau,True,False,"Cliffhanger, Zitadellenweg, Quartier Pulvermühle, Haselhorst, Spandau, Berlin, 13599, Deutschland",Zitadellenweg,,13599,Entry Fee,,Mo-Fr 10:00-22:00; Sa-Su 10:00-21:00,+49 30 67060160,,https://cliffhanger-berlin.de/,OSM
4622626832,11008008,0801,Kinderwald,52.4794372,13.451600500000001,POINT (13.451601 52.479437),Neukölln,Neukölln,True,False,"Kinderwald, 1 Tor 4/2. HH, Thiemannstraße, Harzer Kiez, Neukölln, Berlin, 12059, Deutschland",,,,Entry Fee,,,,,,OSM
6935204220,11002002,0202,urban apes Basement Berlin,52.50380869999999,13.3843469,POINT (13.384347 52.503809),Kreuzberg,Friedrichshain-Kreuzberg,True,False,"urban apes Basement Berlin, 72, Stresemannstraße, Zeitungsviertel, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10963, Deutschland",Stresemannstraße,72,10963,Entry Fee,Not wheelchair accessible,Mo-Fr 08:00-23:00; Sa-Su 10:00-22:00,,basement@urbanapes.de,https://www.urbanapes.de/basement/,OSM
12995771562,11001001,0106,Elektra Boulderhalle,52.5410359,13.386877900000002,POINT (13.386878 52.541036),Gesundbrunnen,Mitte,False,False,"Elektra Boulderhalle, 25, Gustav-Meyer-Allee, Brunnenviertel, Gesundbrunnen, Mitte, Berlin, 13355, Deutschland",Gustav-Meyer-Allee,25,13355,Entry Fee,Limited wheelchair access,Mo-Fr 08:00-23:00; Sa-Su 10:00-22:00,+49 1628195990,,https://daselektra.de/,OSM
13381855493,11011011,1112,Ostbloc Boulderhalle,52.491561600000004,13.487959900000002,POINT (13.48796 52.491562),Rummelsburg,Lichtenberg,True,False,"Ostbloc Boulderhalle, 13, Hauptstraße, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland",Hauptstraße,13,10317,Entry Fee,Limited wheelchair access,"Mo-Fr 10:00-23:00; Sa,Su 09:00-23:00; PH 10:00-23:00",+49 30 55499422,,https://www.ostbloc.de/,OSM
44449471,11002002,0201,Kletterfelsen im Friedrichshain,52.52806339376134,13.441274527876846,POINT (13.441275 52.528063),Friedrichshain,Friedrichshain-Kreuzberg,False,False,"Kletterfelsen im Friedrichshain, Virchowstraße, Richard-Sorge-Viertel, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10249, Deutschland",,,,,,,,,,OSM
48438994,11001001,0106,unknown_bouldering,52.54865948134872,13.381852438666861,POINT (13.381852 52.548659),Gesundbrunnen,Mitte,True,False,"Magic Mountain, 20, Böttgerstraße, Gartenstadt Atlantic, Gesundbrunnen, Mitte, Berlin, 13357, Deutschland",,,,Entry Fee,,,,,,OSM
