id,name,category,lat,lon,geometry,district,district_id,neighborhood,neighborhood_id,website,wheelchair
26972366,Konrad Zuse,memorial,52.5227738,13.3472206,POINT (13.3472206 52.5227738),Mitte,11001001,Moabit,0102,https://web.archive.org/web/20210131123447/https://spree-bogen.de/erinnerung/,yes
27431777,Luftbrückendenkmal,memorial,52.484135,13.3874049,POINT (13.3874049 52.484135),Tempelhof-Schöneberg,11007007,Tempelhof,0703,,yes
29683689,Zentralpunkt Rauenberg,memorial,52.4519109,13.3663165,POINT (13.3663165 52.4519109),Tempelhof-Schöneberg,11007007,Tempelhof,0703,,no
30815438,Flughafenseesteg,viewpoint,52.5699593,13.2940844,POINT (13.2940844 52.5699593),Reinickendorf,11012012,Tegel,1202,,
156850034,Teufelsberg,viewpoint,52.4977183,13.2429543,POINT (13.2429543 52.4977183),Charlottenburg-Wilmersdorf,11004004,Grunewald,0404,,limited
205066401,Dicke Marie,attraction,52.5935689,13.2648532,POINT (13.2648532 52.5935689),Reinickendorf,11012012,Tegel,1202,https://www.ausflugsziele-berlin.info/berlin/die-dicke-marie-in-berlin-tegel/,limited
241490725,Nationaldenkmal für die Befreiungskriege,monument,52.4876488,13.3814783,POINT (13.3814783 52.4876488),Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,,
251328732,Gedenkstele Luisenstädtische Kirche,memorial,52.509005,13.4071659,POINT (13.4071659 52.509005),Mitte,11001001,Mitte,0101,,yes
254324998,Tälchenweg,viewpoint,52.4652251,13.3601057,POINT (13.3601057 52.4652251),Tempelhof-Schöneberg,11007007,Schöneberg,0701,,
258485623,Fontäne im Fennpfuhl,attraction,52.5282874,13.4739939,POINT (13.4739939 52.5282874),Lichtenberg,11011011,Fennpfuhl,1111,,yes
260077256,Hobrechtsfelder Chaussee,viewpoint,52.6396587,13.4680705,POINT (13.4680705 52.6396587),Pankow,11003003,Buch,0309,,
260759721,Willdenowstraße,memorial,52.4540675,13.302469,POINT (13.302469 52.4540675),Steglitz-Zehlendorf,11006006,Lichterfelde,0602,,
261606217,Weltfriedensglocke,memorial,52.5268544,13.4340243,POINT (13.4340243 52.5268544),Friedrichshain-Kreuzberg,11002002,Friedrichshain,0201,,yes
261748392,Feuerleitturm,memorial,52.5442976,13.3871557,POINT (13.3871557 52.5442976),Mitte,11001001,Gesundbrunnen,0106,,yes
261894337,Denkmal für die Maueropfer in Berlin-Treptow,memorial,52.4766639,13.4710965,POINT (13.4710965 52.4766639),Treptow-Köpenick,11009009,Plänterwald,0902,https://bildhauerei-in-berlin.de/bildwerk/gedenkmal-maueropfer-6904/,limited
262137153,Kammweg,viewpoint,52.4168386,13.6349599,POINT (13.6349599 52.4168386),Treptow-Köpenick,11009009,Köpenick,0910,,
262455810,Zentrale Gedenkstätte für die Opfer von Krieg und Gewaltherrschaft,memorial,52.5178828,13.3955447,POINT (13.3955447 52.5178828),Mitte,11001001,Mitte,0101,,yes
262457570,Schiller-Denkmal,memorial,52.5136361,13.3926475,POINT (13.3926475 52.5136361),Mitte,11001001,Mitte,0101,,yes
262462848,Büste Karl Marx,memorial,52.5179684,13.4290639,POINT (13.4290639 52.5179684),Friedrichshain-Kreuzberg,11002002,Friedrichshain,0201,,yes
