geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,health_facility:type,health_specialty:dentistry,healthcare,medical_system:western,office,operator,description,level,name,opening_hours,wheelchair,phone,toilets:wheelchair,website,contact:website,contact:email,contact:fax,contact:phone,check_date:opening_hours,check_date,email,fax,healthcare:speciality,air_conditioning,internet_access,internet_access:fee,payment:bank_transfer,payment:cash,payment:credit_cards,payment:debit_cards,payment:paypal,source,toilets,entrance,opening_hours:signed,wheelchair:description,emergency,name:de,name:en,payment:contactless,start_date,disused:name,disused:office,note,addr:city:fa,addr:housename,alt_name,short_name,shop,addr:floor,brand,brand:wikidata,cash_withdrawal:operator,branch,counselling_type:nutrition,provided_for:boy,provided_for:girl,addr:place,source:date,url,payment:cards,payment:girocard,opening_hours:note:de,payment:mastercard,payment:visa,fixme,name:ja,payment:insurance,payment:invoice,contact:facebook,contact:instagram,noname,smoking,health_specialty:oral_surgery,health_specialty:orthodontics,health_specialty:periodontology,language:ar,wikimedia_commons,survey:date,craft,opening_hours:covid19,addr:inclusion,language:tr,kids_area:indoor,name:vi,whatsapp,check_date:currency:XBT,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,name:signed,building,building:levels,roof:shape,type
POINT (13.612096 52.5114112),Berlin,DE,75,12623,Hönower Straße,Mahlsdorf,dentist,office,yes,dentist,yes,physician,Dr. med. dent. Dietmar Kämpf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3553052 52.5488382),Berlin,DE,34a,13353,Müllerstraße,Wedding,dentist,,,dentist,,,,Zahnarzt,2,Zahnzentrum Wedding,Mo 09:00-19:00; Tu 09:00-18:00; We 09:00-17:00; Th 09:00-20:00; Fr 09:30-15:00,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.1804772 52.5088434),,,,,,,dentist,,,dentist,,,,,,A. Nejad,Mo-Tu 09:00-19:00; We 09:00-14:00; Th 09:00-19:00; Fr 09:00-12:00,yes,+49 30 361 91 06,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3281367 52.5027217),Berlin,DE,218,10719,Kurfürstendamm,Charlottenburg,dentist,,,dentist,,,,,,Dr. Beate Lengert,,,,,http://www.dr-beate-lengert.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4189939 52.5375469),Berlin,DE,77,10435,Kollwitzstraße,Prenzlauer Berg,dentist,,,dentist,,,,,,Serpil Hartfiel,"Mo,Tu,Th 08:00-19:00; We 18:00-18:00; Fr 08:00-14:00",no,,,,https://www.zahnarztpraxis-hartfiel.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4048698 52.3849683),,,,,,,dentist,,,dentist,,,,,,"Zahnärzte Nicolas Weiss, Volker Landmann","Mo-Fr ""nach Vereinbarung""",,,,,http://www.zahnarztpraxis-lichtenrade.de/,praxis.weiss.landmann@gmail.com,+49 30 7445043,+49 30 7445020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3859476 52.466306),Berlin,,143,12099,Tempelhofer Damm,,dentist,,,dentist,,,Tareq Yassien,,,DentZ,"Mo,Tu,Fr 09:00-16:00; We,Th 11:00-19:00",yes,+49 30 2647972600,,,http://dentz-berlin.de,,,,2024-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3851782 52.4510627),,DE,,,,Mariendorf,dentist,,,dentist,,,,,,Zahnklinik Medeco,"Mo-Fr 07:00-21:00; Sa,Su,PH 09:00-18:00",limited,,,,,,,,,2023-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3101292 52.5251579),Berlin,DE,,,,Charlottenburg,dentist,,,dentist,,,,,,Mund-Kiefer-Gesichtschirugie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3537903 52.5413785),,,,,,,dentist,,,dentist,,,,,,Zahnärztliche Gemeinschaftspraxis,Mo-Th 08:00-19:00; Fr 08:00-14:00,,+4930 4542013,,https://www.zahnarztpraxis-speda.de/,,,,,2025-07-19,,Kontakt@Zahnarztpraxis-Speda.de,+4930 4542013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4498403 52.522482),,,,,,,dentist,,,dentist,,,,,,Dagmar Monse,"Mo,Tu,Th 08:00-19:30; We 08:00-14:00",,+49 30 4272633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4518901 52.5253622),,,10,,Ebertystraße,,dentist,,,dentist,,,,,0,"Tomris Aydin, Diş Hekimi","Mo-Fr 09:00-13:00,14:00-18:00",no,+49 3042800422,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4518655 52.5259802),,,,,,,dentist,,,dentist,,,,,,T. Witascheck,Mo 11:00-18:00; Tu 08:00-18:00; We 15:00-18:00; Th 08:00-14:00; Fr 08:00-12:00,,+49 30 4299828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3702409 52.5419983),Berlin,DE,11,13347,Reinickendorfer Straße,Gesundbrunnen,dentist,,,dentist,,,Jan Cramer,,3,Zahnärzte am Weddingplatz MVZ,Mo-Fr 07:00-21:00; Sa 09:00-18:00; Su 11:00-17:00,yes,+49 30 4651449,,https://www.zahnaerzte-wedding.de/,,,,,2025-05-15,2025-07-11,info@zahnaerzte-wedding.de,,,yes,wlan,customers,yes,no,yes,yes,yes,survey,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3684671 52.4192555),Berlin,,75-79,12277,Marienfelder Allee,,dentist,,,dentist,,,Dr. Jan-Hendrik Hollenstein,,,Dr. Jan-Hendrik Hollenstein & Kollegen,"Mo-Th 09:00-13:00,14:00-19:00; Fr 09:00-15:00",yes,,,,,,,,2025-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5129466 52.4615207),Berlin,DE,63,12459,Edisonstraße,Oberschöneweide,dentist,,,dentist,,,,"Zahnärzte & Kieferorthopädie, Aufgang G",,Zahnarztpraxis Schenk,Mo-We 07:30-19:00; Th 09:30-19:30,yes,+49 30 530 15 624,,http://www.dr-schenk-berlin.de,,,,,,,,,orthodontics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
