Name,Adresse,Telefon,E-Mail,Website
Algerien,Berlin - Görschstr. 45 D-13187 Berlin,+49 (0)30 43737 0,info@algerische-botschaft.de,www.algerische-botschaft.de
Angola,Werderscher Markt 10 D-10117 Berlin,+49 (0)30 240 89 728,botschaft@botschaftangola.de,www.botschaftangola.de
Botswana,Altensteinstrasse 48A D-14195 Berlin,+49 (0)30 8871 950 10,info@embassyofbotswana.de,www.embassyofbotswana.de
Burkina Faso,Karolingerplatz 10-11 D-14052 Berlin,+49 (0)30 301 059 90,office@ambaburkina.de,www.ambassade-repmali-berlin.de
Burundi,Berliner Strasse 36 D-10715 Berlin,+49 (0)30 23 45 67 0,info@ambaburundi-botschaft.de,www.ambaburundi-botschaft.de
Cameroon,Ulmenallee 32 D-14050 Berlin,+49 (0)30 89 06 80 90,contact@ambacam.de,www.ambacam.de
Cape Verde,Stavanger Str. 16 D-10439 Berlin,+49 (0)30 20 45 09 55,de.embcv.info@mnec.gov.cv,de.embcv.info
Chad,Lepsiusstrasse 114 D-12165 Berlin,+49 (0)30 319 916 20,contact@embatchadberlin.de,www.embatchadberlin.de
Congo,Wallstraße 69 D-10179 Berlin,+49 (0)30 12378546,contact@ambacongo.de,https://www.ambacongo.de
Côte d'Ivoire,Schinkenstraße 10 D-14193 Berlin,+49 (0)30 89 06 960,contact@ambaci.de,ambaci.de
Eritrea,Stavangerstrasse 18 D-10439 Berlin,+49 (0)30 446 74 60,embassyeritrea@t-online.de,www.botschaft-eritrea.de
Ethiopia,Boothstrasse 20a D-12207 Berlin,+49 30 772060,berlin.embassy@mfa.gov.et,www.aethiopien-botschaft.de
Gabon,Hohensteiner Strasse 16 D-14197 Berlin,+49 30 89 73 34 40,ambga.allemagne@diplomatie.gouv.ga,www.botschaft-gabun.de
Guinea,Jägerstrasse 67-69 D-10117 Berlin,+49 (0)30 20 07 43 30,info@amba-guinee.de,www.amba-guinee.de
Kenya,Rheinbabenallee 49 D-14199 Berlin,+49 (0)30 25 92 66 0,office@kenyaembassyberlin.de,www.kenyaembassyberlin.de
Lesotho,Kanada-Allee 15A D-14513 Berlin,+49 3328 42 89 05 0,Lesotho.Berlin@gov.ls,www.lesothoembassy.de
Liberia,Düsseldorfer Straße 38 D-Berlin,+49 (0)30 —,,, 
Madagascar,Seepromenade 92 D-14612 Berlin,+49 3322-2314-0,info@botschaft-madagaskar.de,www.botschaft-madagaskar.de
Malawi,Westfälische Strasse 86 D-10709 Berlin,+49 (0)30 843 15 40,berlin@malawi-embassy.de,www.malawiembassy.de
Mali,Kurfürstendamm 72 D-10709 Berlin,+49 (0)30 319 98 83,botschaftmali@gmail.com,www.ambassade-repmali-berlin.de
Mauritania,Joahimsthaler Straße 30 D-10719 Berlin,+49 (0)30 206 58 83,info@mauretanien-embassy.de,www.mauretanien-embassy.de
Mauritius,Joahimsthaler Straße 30 D-10719 Berlin,+49 (0)30 263 93 60,berlin@mauritius-embassy.de,foreign.govmu.org
Morocco,Niederwallstraße 39 D-10117 Berlin,+49 (0)30 20 61 24 0,sc-berlin@maec.gov.ma,www.botschaft-marokko.de
Mozambique,Stromstraße 47 D-10551 Berlin,+49 (0)30 398 765 00,info@embassy-of-mozambique.de,www.embassy-of-mozambique.de
Namibia,Reichsstrasse 17 D-14052 Berlin,+49 (0)30 254 09 50,info@namibia-botschaft.de,www.namibia-botschaft.de
Niger,Machnower Strasse 24 D-14165 Berlin,+49 (0)30 805 896 60,amba.de@diplomatie.gouv.ne,www.ambassadeniger.de
Nigeria,Neue Jakobstrasse 4 D-10179 Berlin,+49 (0)30 21 23 00,info@nigeriaembassygermany.org,www.nigeriaembassygermany.org
Rwanda,Jaagerstrasse 67-69 D-10117 Berlin,+49 (0)30 2091 6590,info-ambaberlin@minaffet.gov.rw,www.rwandaingermany.gov.rw
