element,id,amenity,brand,brand:wikidata,brand:wikipedia,compressed_air,fuel:hgv_diesel,fuel:diesel,fuel:e10,fuel:octane_102,fuel:octane_95,man_made,name,opening_hours,surveillance,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,check_date,fuel:ethanol,level,operator,payment:cash,payment:mastercard,payment:visa,phone,website,check_date:opening_hours,fuel:adblue,fuel:biodiesel,fuel:octane_98,shop,car_wash,contact:fax,contact:phone,contact:website,payment:american_express,payment:debit_cards,payment:diners_club,payment:dkv,payment:maestro,payment:uta,payment:v_pay,payment:westfalen_card,self_service,fuel:biogas,fuel:cng,fuel:lpg,kiosk,fuel:gtl_diesel,compressed_air:fee,fax,fuel:gts_diesel,fuel:octane_100,payment:cryptocurrencies,payment:girocard,payment:credit_cards,ref,source,toilets,toilets:wheelchair,changing_table,operator:wikidata,wheelchair:description,covered,fuel:1_50,note,currency:others,fuel:kerosene,payment:coins,payment:notes,currency:eur,access,atm,fuel:e85,fuel:1_25,payment:routex,drink:club_mate,automated,postal_code,internet_access,internet_access:fee,smoking,description,source:opening_hours,name:de,name:en,post_office,post_office:brand,post_office:brand:wikidata,addr:inclusion,layer,car_repair,branch,roof:levels,roof:shape,check_date:compressed_air,contact:email,fuel:heating_oil,start_date,building,fuel:hvo100,payment:esso_card,payment:euroshell,payment:shell_clubsmart,official_name,ref:vatin,fuel:adblue:canister,name:signed,fuel:h35,fuel:h70,payment:h2_mobility_card,source:website,start_date:fuel:h70,lottery,valves,truck_wash,vacuum_cleaner,tenant,opening_hours:signed,building:levels,building:min_level,fuel:lh2,bus,minibus,cash_withdrawal,payment:apple_pay,payment:google_pay,surface,atm:operator,owner,landuse,service:vehicle:car_repair,service:vehicle:inspection,fuel:octane_92,height,wikimedia_commons,payment:h2_delivery,payment:hylane,payment:ryd_pay,start_date:fuel:h35,poi_type,amperage,authentication:short_message,bicycle,capacity,socket:type2,source:delivery_date,voltage,addr:floor,fee,operator:wikipedia,note:de,authentication:membership_card,payment:account_cards,authentication:app,authentication:nfc,motorcar,parking:fee,socket:type2:output,socket:type2:current,socket:type2:voltage,survey:date,hgv,maxstay:conditional,network,payment:paypal,scooter,colour,location,authentication:phone_call,socket:schuko,short_name,charge,payment:sepa,payment:vpay,authentication:none,comment,maxstay,socket:chademo,socket:type2_combo,socket:chademo:output,socket:type2_combo:output,truck,camera:direction,camera:mount,camera:type,highway,surveillance:type,surveillance:zone,ref:eu:evse,noname,output,charging_station:output,description:de,socket:usb,mapillary,socket:tesla_supercharger_ccs,socket:type2_cable,lit,support,fixme,payment:mea,object:city,object:country,object:housenumber,object:postcode,object:street,payment:app,payment:cards,payment:membership_card,payment:qr_code,capacity:motorcar,payment:bank_transfer,socket:tesla_supercharger_ccs:output,socket:type2_cable:output,payment:giro_e,payment:ladekarte,direction,lamp_mount,lamp_type,access:conditional,payment:contactless,small_electric_vehicle,motor_vehicle,parking:left,parking:left:fee,parking:left:maxstay,parking:left:orientation,parking:right,image,manufacturer,payment:nfc,authentication:contactless,socket:type2_combo:current,socket:type2_combo:voltage,bicycle_parking,socket:device:usb_a,socket:device:usb_c,charge:conditional,socket:type1:output,email,panoramax,panoramax:0,panoramax:1,payment:samsung_pay,orientation,indoor,operator:type,not:operator:wikidata,payment:rfid_card,payment:online_payment,payment:prepaid_cards,obstacle:parking,position,serialnumber,material,construction,motorcycle,socket:type1,socket:j3105_1,socket:j3105_1:output,capacity:charging,capacity:bicycle,taxi,socket:unknown,socket:unknown:output,markings,restriction,street:name,capacity:disabled,ref:goingelectric,socket:chademo:current,socket:chademo:voltage,latitude,longitude,data_source,operating_hours,fuel_types,amenities,contact_info,district,neighborhood,neighborhood_id,district_id,address
node,16541597,fuel,Aral,Q565734,en:Aral AG,yes,retail,yes,yes,retail,retail,surveillance,Aral,24/7,outdoor,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5463147,13.345599,OSM,24/7,"diesel, e10",compressed_air,not_provided,Mitte,Wedding,re_ortsteil.0105,01,
node,26756830,fuel,Aral,Q565734,de:Aral,yes,,yes,yes,yes,yes,,Aral,24/7,,yes,Berlin,DE,55,10553,Beusselstraße,Moabit,2023-10-10,yes,0,Mike Seitz,yes,yes,yes,+49 30 3914404,https://tankstelle.aral.de/berlin/beusselstrasse-55/28607100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5306943,13.3282249,OSM,24/7,"diesel, e10, ethanol, octane_102, octane_95",compressed_air,phone:+49 30 3914404 | website:https://tankstelle.aral.de/berlin/beusselstrasse-55/28607100,Mitte,Moabit,re_ortsteil.0102,01,"Beusselstraße, 55, 10553, Berlin"
node,26867411,fuel,,,,yes,,yes,yes,,yes,,Bavaria petrol,Mo-Fr 07:00-20:00; Sa 07:00-18:00,,no,Berlin,DE,14,10711,Heilbronner Straße,Halensee,,,,Bavaria Petrol,,,,,,2026-01-05,yes,yes,yes,kiosk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5019744,13.2944957,OSM,Mo-Fr 07:00-20:00; Sa 07:00-18:00,"adblue, biodiesel, diesel, e10, octane_95, octane_98","compressed_air, convenience_shop",not_provided,Charlottenburg-Wilmersdorf,Halensee,re_ortsteil.0407,04,"Heilbronner Straße, 14, 10711, Berlin"
node,26882421,fuel,Aral,Q565734,de:Aral,yes,,yes,yes,,yes,,Aral,24/7,,yes,,,,,,,,,,,yes,yes,yes,,,,,,yes,,yes,+49 30 84315141,+49 30 8738323,https://tankstelle.aral.de/berlin/blissestrasse-21/28607700,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4842654,13.3206691,OSM,24/7,"diesel, e10, octane_95, octane_98","car_wash, compressed_air",not_provided,Charlottenburg-Wilmersdorf,Wilmersdorf,re_ortsteil.0402,04,
node,27088369,fuel,Esso,Q867662,,yes,,yes,yes,,yes,,Esso,"PH,Mo-Su 00:00-24:00",,yes,Berlin,DE,120,14129,Kronprinzessinnenweg,Nikolassee,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4346409,13.1917042,OSM,"PH,Mo-Su 00:00-24:00","diesel, e10, octane_95, octane_98",compressed_air,not_provided,Steglitz-Zehlendorf,Nikolassee,re_ortsteil.0606,06,"Kronprinzessinnenweg, 120, 14129, Berlin"
node,27259583,fuel,Esso,Q867662,en:Esso,yes,,,yes,,yes,,Esso,,,no,Berlin,DE,4,10555,Lessingstraße,Hansaviertel,2023-10-10,,,,yes,yes,yes,,,,,,yes,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5197221,13.3414212,OSM,,"biogas, cng, e10, lpg, octane_95, octane_98",compressed_air,not_provided,Mitte,Hansaviertel,re_ortsteil.0103,01,"Lessingstraße, 4, 10555, Berlin"
node,27409122,fuel,star,Q89432390,,yes,,yes,yes,,yes,,Star,,,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5189572,13.3029625,OSM,,"diesel, e10, octane_95, octane_98",compressed_air,not_provided,Charlottenburg-Wilmersdorf,Charlottenburg,re_ortsteil.0401,04,
node,29997723,fuel,Aral,Q565734,en:Aral AG,yes,,yes,yes,yes,yes,,Aral,24/7,outdoor,yes,Berlin,DE,8-10,14057,Messedamm,,,,,Anne Notzke,,,,,https://tankstelle.aral.de/tankstelle/berlin/messedamm-6/28601500/,,yes,,,kiosk,,,,,,,,,,,,,,yes,yes,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5083702,13.2809474,OSM,24/7,"adblue, biogas, cng, diesel, e10, gtl_diesel, lpg, octane_102, octane_95","compressed_air, convenience_shop",website:https://tankstelle.aral.de/tankstelle/berlin/messedamm-6/28601500/,Charlottenburg-Wilmersdorf,Westend,re_ortsteil.0405,04,"Messedamm, 8-10, 14057, Berlin"
node,60436247,fuel,HEM,Q109930239,,yes,,yes,yes,,yes,,HEM,,,yes,Berlin,DE,16,13509,Wittestraße,Tegel,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5775827,13.3064854,OSM,,"diesel, e10, octane_95, octane_98",compressed_air,not_provided,Reinickendorf,Tegel,re_ortsteil.1202,12,"Wittestraße, 16, 13509, Berlin"
node,61818198,fuel,Aral,Q565734,de:Aral,yes,,yes,,,yes,,Aral,24/7,,limited,Berlin,,9-10,10709,Westfälische Straße,,,,,Aral,,,,+49 30 86409379,https://tankstelle.aral.de/tankstelle/berlin/westfaelische-strasse-9-10/28608100/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fuel_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4924086,13.3091456,OSM,24/7,"diesel, octane_95",compressed_air,phone:+49 30 86409379 | website:https://tankstelle.aral.de/tankstelle/berlin/westfaelische-strasse-9-10/28608100/,Charlottenburg-Wilmersdorf,Wilmersdorf,re_ortsteil.0402,04,"Westfälische Straße, 9-10, 10709, Berlin"
