name,poi_type,brand,operator,opening_hours,address,latitude,longitude,district,district_id,neighborhood,neighborhood_id
Aral,fuel_station,Aral,,24/7,,52.546314699999996,13.345598999999998,Mitte,01,Wedding,Wedding
Aral,fuel_station,Aral,Mike Seitz,24/7,"Beusselstraße 55, 10553 Berlin",52.53069430000001,13.3282249,Mitte,01,Moabit,Moabit
Bavaria petrol,fuel_station,,Bavaria Petrol,Mo-Fr 07:00-20:00; Sa 07:00-18:00,"Heilbronner Straße 14, 10711 Berlin",52.501974399999995,13.2944957,Charlottenburg-Wilmersdorf,04,Halensee,Halensee
Aral,fuel_station,Aral,,24/7,,52.4842654,13.3206691,Charlottenburg-Wilmersdorf,04,Wilmersdorf,Wilmersdorf
Esso,fuel_station,Esso,,"PH,Mo-Su 00:00-24:00","Kronprinzessinnenweg 120, 14129 Berlin",52.434640900000005,13.191704199999998,Steglitz-Zehlendorf,06,Nikolassee,Nikolassee
Esso,fuel_station,Esso,,,"Lessingstraße 4, 10555 Berlin",52.51972209999999,13.341421199999997,Mitte,01,Hansaviertel,Hansaviertel
Star,fuel_station,star,,,,52.5189572,13.302962499999998,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
Aral,fuel_station,Aral,Anne Notzke,24/7,"Messedamm 8-10, 14057 Berlin",52.508370199999995,13.2809474,Charlottenburg-Wilmersdorf,04,Westend,Westend
HEM,fuel_station,HEM,,,"Wittestraße 16, 13509 Berlin",52.57758270000001,13.306485400000001,Reinickendorf,12,Tegel,Tegel
Aral,fuel_station,Aral,Aral,24/7,"Westfälische Straße 9-10, 10709 Berlin",52.49240859999999,13.3091456,Charlottenburg-Wilmersdorf,04,Wilmersdorf,Wilmersdorf
Aral,fuel_station,Aral,Holger Klugmann,24/7,"Holzmarktstraße 12/14, 10179 Berlin",52.51385439999999,13.421875999999997,Mitte,01,Mitte,Mitte
Aral,fuel_station,Aral,Maciej Daniluk,24/7,"Vor dem Schlesischen Tor 2, 10997 Berlin",52.4972334,13.449873699999998,Friedrichshain-Kreuzberg,02,Kreuzberg,Kreuzberg
JET,fuel_station,JET,,,"Märkische Allee 246, 12679 Berlin",52.5519896,13.550112399999998,Marzahn-Hellersdorf,10,Marzahn,Marzahn
Total,fuel_station,TotalEnergies,Total,24/7,"Indira-Gandhi-Straße 106, 13053 Berlin",52.547562699999986,13.4680868,Lichtenberg,11,Alt-Hohenschönhausen,Alt-Hohenschönhausen
Hem,fuel_station,HEM,,,"Alt-Friedrichsfelde 61, 10315 Berlin",52.5096766,13.5313646,Lichtenberg,11,Friedrichsfelde,Friedrichsfelde
sun,fuel_station,sun,Germania Petrol GmbH,24/7,"Oranienburger Straße 181, 13437 Berlin",52.5987115,13.331956799999999,Reinickendorf,12,Wittenau,Wittenau
Esso,fuel_station,Esso,,24/7,"Holländerstraße 52, 13407 Berlin",52.56466519999999,13.3358283,Reinickendorf,12,Reinickendorf,Reinickendorf
AGIP ENI,fuel_station,Eni,,"Mo-Fr 06:00-21:00; Sa,Su 07:00-21:00","Belßstraße 51, 12249 Berlin",52.4274591,13.3649346,Steglitz-Zehlendorf,06,Lankwitz,Lankwitz
Shell,fuel_station,Shell,Shell,,"Streitstraße 19, 13587 Berlin",52.5588844,13.2085296,Spandau,05,Hakenfelde,Hakenfelde
JET,fuel_station,JET,Jet,"Mo-Fr 05:00-23:00; Sa,Su 06:00-23:00","Charlottenburger Chaussee 47, 13597 Berlin",52.52707410000001,13.2342804,Spandau,05,Spandau,Spandau
Aral,fuel_station,Aral,,"Mo-Su,PH 00:00-24:00",,52.4682682,13.3110209,Charlottenburg-Wilmersdorf,04,Wilmersdorf,Wilmersdorf
SB Tank,fuel_station,SB Tank,,,,52.5214343,13.5403704,Marzahn-Hellersdorf,10,Marzahn,Marzahn
Agip,fuel_station,Agip,,"Mo-Fr 05:30-22:00; Sa 06:00-22:00; PH,Su 06:30-22:00","Ahrensfelder Chaussee 152, 12689 Berlin",52.57214810000001,13.5650466,Marzahn-Hellersdorf,10,Marzahn,Marzahn
Sprint,fuel_station,Sprint,Sprint,,"Seegefelder Straße 41, 13583 Berlin",52.5359854,13.1911088,Spandau,05,Spandau,Spandau
Total,fuel_station,Total,,,"Bulgarische Straße 9, 12435 Berlin",52.483804499999984,13.478659299999999,Treptow-Köpenick,09,Plänterwald,Plänterwald
Aral,fuel_station,Aral,,,"Schöneberger Straße 20, 12103 Berlin",52.47002449999999,13.370989699999999,Tempelhof-Schöneberg,07,Tempelhof,Tempelhof
Total,fuel_station,Total,Total,24/7,"Späthstraße 158, 12359 Berlin",52.4531463,13.4570058,Neukölln,08,Britz,Britz
Star,fuel_station,star,Jennifer Bulst,24/7,"Altentreptower Straße 2, 12683 Berlin",52.51324919999999,13.5635805,Marzahn-Hellersdorf,10,Biesdorf,Biesdorf
Shell,fuel_station,Shell,,24/7,,52.61608439999999,13.3005814,Reinickendorf,12,Hermsdorf,Hermsdorf
SB-Tank,fuel_station,SB Tank,,,,52.5054346,13.5878738,Marzahn-Hellersdorf,10,Kaulsdorf,Kaulsdorf
Star,fuel_station,star,Orlen Deutschland,24/7,,52.50449259999999,13.6110566,Marzahn-Hellersdorf,10,Mahlsdorf,Mahlsdorf
Shell,fuel_station,Shell,Shell,,"Ruppiner Chaussee 339, 13503 Berlin",52.6205239,13.2358164,Reinickendorf,12,Heiligensee,Heiligensee
TotalEnergies,fuel_station,TotalEnergies,,,"Argentinische Allee 49, 14163 Berlin",52.44454300000001,13.242552199999999,Steglitz-Zehlendorf,06,Zehlendorf,Zehlendorf
Shell,fuel_station,Shell,Shell,"Mo-Su,PH 06:00-24:00","Potsdamer Chaussee 24, 14129 Berlin",52.429688600000006,13.223230999999998,Steglitz-Zehlendorf,06,Nikolassee,Nikolassee
Shell,fuel_station,Shell,Shell,24/7,"Karl-Marx-Straße 267, 12057 Berlin",52.4652723,13.443015799999998,Neukölln,08,Neukölln,Neukölln
JET,fuel_station,JET,,"Mo-Su,PH 00:00-24:00","Kreuzbergstraße 41, 10965 Berlin",52.489293999999994,13.374468099999998,Tempelhof-Schöneberg,07,Schöneberg,Schöneberg
Agip,fuel_station,Agip,Agip,"Mo-Fr 06:00-22:00; PH,Sa,Su 07:00-22:00","Alt-Mahlsdorf 93A, 12623 Berlin",52.5040082,13.619215,Marzahn-Hellersdorf,10,Mahlsdorf,Mahlsdorf
Total Alt Mahlsdorf,fuel_station,TotalEnergies,Total,,"Alt-Mahlsdorf 60, 12623 Berlin",52.5043627,13.624317599999998,Marzahn-Hellersdorf,10,Mahlsdorf,Mahlsdorf
HEM,fuel_station,HEM,,24/7,"Kaulsdorfer Straße 124,126, 12555 Berlin",52.4719674,13.571162099999999,Treptow-Köpenick,09,Köpenick,Köpenick
Jet,fuel_station,JET,,"Mo-Fr 05:00-23:00; Sa,Su 06:00-23:00","Bellevuestraße 14, 12555 Berlin",52.4542006,13.5923789,Treptow-Köpenick,09,Köpenick,Köpenick
HEM,fuel_station,HEM,,,"Attilastraße 124, 12105 Berlin",52.4490475,13.366135899999998,Tempelhof-Schöneberg,07,Tempelhof,Tempelhof
Aral,fuel_station,Aral,,24/7,"Britzer Damm 204, 12347 Berlin",52.44534259999998,13.4331109,Neukölln,08,Britz,Britz
Spreves,fuel_station,,,Mo-Su 00:00-24:00,"Friedrichshagener Straße 4, Berlin",52.45206199999999,13.5784714,Treptow-Köpenick,09,Köpenick,Köpenick
Shell,fuel_station,Shell,Shell,Mo-Su 06:00-22:00,"Rothenbachstraße 1, 13089 Berlin",52.571601599999994,13.429601900000002,Pankow,03,Heinersdorf,Heinersdorf
Esso,fuel_station,Esso,Uwe Schmidt,,"Chemnitzer Straße 179, 12621 Berlin",52.4895059,13.576018699999999,Marzahn-Hellersdorf,10,Kaulsdorf,Kaulsdorf
Jet,fuel_station,JET,,24/7,"Siegfriedstraße 179, 10365 Berlin",52.521361,13.4990227,Lichtenberg,11,Lichtenberg,Lichtenberg
Total,fuel_station,TotalEnergies,Total,24/7,"Tempelhofer Ufer 33-35, 10963 Berlin",52.5004782,13.3766736,Friedrichshain-Kreuzberg,02,Kreuzberg,Kreuzberg
