gym_id,district_id,name,address,postal_code,phone_number,email,coordinates,latitude,longitude,neighborhood,district
277958275,11012012,Kieser Training,Holzhauser Straße 140d,13509,+49 30 41718917,berlin5@kieser-training.com,POINT (13.3117903 52.5846088),52.5846088,13.3117903,1211,Reinickendorf
277958277,11003003,Kieser Training,Ostseestraße 107,10409,+49 30 42105260,berlin6@kieser-training.com,POINT (13.4425034 52.5467638),52.5467638,13.4425034,301,Pankow
277958288,11004004,Kieser Training,Forckenbeckstraße 9-13,14199,,,POINT (13.3051873 52.4799991),52.4799991,13.3051873,403,Charlottenburg-Wilmersdorf
277958289,11006006,Kieser Training,Teltowkanalstraße 2,12247,,,POINT (13.3296947 52.4429012),52.4429012,13.3296947,603,Steglitz-Zehlendorf
277958291,11008008,Kieser Training,Rudower Straße 132,12351,,,POINT (13.4690013 52.4339942),52.4339942,13.4690013,803,Neukölln
349301672,11004004,Brooklyn Fitboxing Charlottenburg,Kantstraße 38,10625,,,POINT (13.3142089 52.5064381),52.5064381,13.3142089,401,Charlottenburg-Wilmersdorf
353900373,11012012,Future Fit,Alt-Tegel 21,13507,,,POINT (13.2802229 52.5888042),52.5888042,13.2802229,1202,Reinickendorf
428142496,11001001,Rocket Station,,10559,,,POINT (13.350192 52.532929),52.532929,13.350192,102,Mitte
440337320,11008008,authentic body control,Boddinstraße 4,,,,POINT (13.4336999 52.4810205),52.4810205,13.4336999,801,Neukölln
499500765,11002002,Yogi Escape,Rigaer Straße 25,10247,,,POINT (13.4618241 52.5168592),52.5168592,13.4618241,201,Friedrichshain-Kreuzberg
617268225,11011011,McFit,Konrad-Wolf-Straße 56-60,13055,+493097604201,,POINT (13.4746956 52.5361874),52.5361874,13.4746956,1110,Lichtenberg
645677448,11001001,Fitbox,Turmstraße 74,10551,,,POINT (13.333241 52.5267655),52.5267655,13.333241,102,Mitte
664244052,11004004,Pilatesraum Berlin,Breite Straße 33,14199,,,POINT (13.2925233 52.4744332),52.4744332,13.2925233,403,Charlottenburg-Wilmersdorf
673611600,11004004,Viva Studio,Wilmersdorfer Straße 98,10629,,,POINT (13.3080794 52.5021593),52.5021593,13.3080794,401,Charlottenburg-Wilmersdorf
786216888,11003003,Women's Lift Lounge,Danziger Straße 55,10435,,,POINT (13.4210829 52.5399348),52.5399348,13.4210829,301,Pankow
810590618,11004004,Aspria,,,,,POINT (13.2943126 52.5005987),52.5005987,13.2943126,407,Charlottenburg-Wilmersdorf
