hotel,hotelLabel,ratingLabel,stars
http://www.wikidata.org/entity/Q1630863,Dorint Kurfürstendamm Berlin,5-star hotel rating,5
http://www.wikidata.org/entity/Q15907201,Kempinski Hotel Bristol Berlin,5-star hotel rating,5
http://www.wikidata.org/entity/Q18020955,Hotel am Zoo,5-star hotel rating,5
http://www.wikidata.org/entity/Q46216294,Hotel Orania Berlin,5-star hotel rating,5
http://www.wikidata.org/entity/Q107187202,Steigenberger am Kanzleramt,5-star hotel rating,5
http://www.wikidata.org/entity/Q111388146,Titanic Gendarmenmarkt Berlin,5-star hotel rating,5
http://www.wikidata.org/entity/Q111388173,The Mandala Hotel,5-star hotel rating,5
http://www.wikidata.org/entity/Q111388174,Clipper City Home Apartments Berlin,5-star hotel rating,5
http://www.wikidata.org/entity/Q111388175,Berlin Marriott Hotel,5-star hotel rating,5
http://www.wikidata.org/entity/Q111388185,Pullman Berlin Schweizerhof,5-star hotel rating,5
http://www.wikidata.org/entity/Q111388278,Louisa's Place,5-star hotel rating,5
http://www.wikidata.org/entity/Q111390183,Eurostars Berlin,5-star hotel rating,5
http://www.wikidata.org/entity/Q96054299,Central Hotel,2-star hotel rating,2
http://www.wikidata.org/entity/Q105020519,Waldhotel am See,2-star hotel rating,2
http://www.wikidata.org/entity/Q111118494,Industriepalast Hostel Berlin,2-star hotel rating,2
http://www.wikidata.org/entity/Q111118496,a&o Berlin Kolumbus,2-star hotel rating,2
http://www.wikidata.org/entity/Q111118504,Generator Berlin Prenzlauer Berg,2-star hotel rating,2
http://www.wikidata.org/entity/Q111118507,a&o Berlin Friedrichshain,2-star hotel rating,2
http://www.wikidata.org/entity/Q111118513,Amstel House Hostel,2-star hotel rating,2
http://www.wikidata.org/entity/Q111118514,Hotel Big Mama,2-star hotel rating,2
http://www.wikidata.org/entity/Q111118529,Happy Hotel Berlin,2-star hotel rating,2
http://www.wikidata.org/entity/Q111118543,Check In Hotel,2-star hotel rating,2
http://www.wikidata.org/entity/Q111118489,Sunflower Hostel,1-star hotel rating,1
http://www.wikidata.org/entity/Q111118491,Generator Berlin Mitte,1-star hotel rating,1
http://www.wikidata.org/entity/Q111118492,Heart of Gold Hostel,1-star hotel rating,1
http://www.wikidata.org/entity/Q111118530,"Schulz, Berlin Wall at the East Side Gallery",3-star hotel rating,3
http://www.wikidata.org/entity/Q111118544,Die Botschaft,3-star hotel rating,3
http://www.wikidata.org/entity/Q111387941,Hotel Gat Point Charlie,3-star hotel rating,3
http://www.wikidata.org/entity/Q111390144,Anna 1908,3-star hotel rating,3
http://www.wikidata.org/entity/Q111390167,Lindemann's,3-star hotel rating,3
http://www.wikidata.org/entity/Q111390184,Motel One Berlin-Spittelmarkt,3-star hotel rating,3
http://www.wikidata.org/entity/Q111390198,Linnen,3-star hotel rating,3
http://www.wikidata.org/entity/Q111852938,Hotel Landhaus Schlachtensee,3-star hotel rating,3
http://www.wikidata.org/entity/Q111852966,Hotel Benn,3-star hotel rating,3
http://www.wikidata.org/entity/Q111853039,Apartments Rosenthal Residence,5-star hotel rating,5
http://www.wikidata.org/entity/Q118266009,Happy Go Lucky Hotel + Hostel,1-star hotel rating,1
http://www.wikidata.org/entity/Q111853083,Hotel Spree-idyll,3-star hotel rating,3
http://www.wikidata.org/entity/Q115223712,LOGINN Hotel Berlin Airport,3-star hotel rating,3
http://www.wikidata.org/entity/Q701571,Park Inn by Radisson Berlin Alexanderplatz,4-star hotel rating,4
http://www.wikidata.org/entity/Q1630833,"Hotel Berlin, Berlin",4-star hotel rating,4
http://www.wikidata.org/entity/Q51369859,Mercure Hotel Berlin Tempelhof Airport,4-star hotel rating,4
http://www.wikidata.org/entity/Q107145103,AMERON Berlin Villa ABION,4-star hotel rating,4
