langer see,52.400747119279224,13.625819492700556,lake,312.7947,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,lake_name,source
neuer see,52.511382596608854,13.342409843277231,pond,4.669,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
schafersee,52.56442907729419,13.360881486397284,lake,4.1906,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
springpfuhl,52.529139119876554,13.540301000022128,lake,1.2979,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
groß glienicker see,52.46537373970797,13.112259399844673,lake,63.9042,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
havel,52.43629415166612,13.127598056517185,lake,337.741,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
obersee,52.548601247220105,13.489121497880472,lake,3.733,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
zeuthener see,52.35693290759696,13.641019635973793,lake,213.4706,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
steinbergsee,52.597672433485215,13.308928578658268,lake,0.9645,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
fauler see,52.51928350862598,13.212941487280196,lake,2.1215,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
hauptsee,52.43427708454176,13.417134638368406,pond,5.2876,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
mittelfeldbecken,52.602840458246995,13.35709969438216,pond,0.6502,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
seggeluchbecken,52.60222959590978,13.348096120666227,pond,1.9456,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
klotzbecken,52.61014370627981,13.345042799933086,pond,1.701,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
