lake_name,natural_type,water_type,wikidata,centroid_lon,centroid_lat,area_ha,data_source,last_updated
Schlachtensee,water,lake,Q896095,13.213322720924381,52.44207569252098,40.35240100696764,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Koenigssee,water,lake,Q1778289,13.272907150781903,52.48847417795808,2.2272435899832557,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Fennsee,water,lake,Q1404799,13.31479705317265,52.48368545012311,2.205722990019374,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Dreipfuhl,water,pond,,13.272662194080647,52.44722107288446,0.6411654045423653,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Lietzensee,water,lake,Q258569,13.289095643827725,52.50669504151923,6.364827418498788,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Dianasee,water,lake,Q1208924,13.267837936711572,52.48634701550292,2.4849967159475694,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Hundekehlesee,water,lake,Q1263106,13.258697879323421,52.482167911537225,7.09793278429346,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Grunewaldsee,water,lake,Q895938,13.26239476946619,52.470040307434765,16.127088667185877,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kleiner Wannsee,water,lake,Q453692,13.162966850386475,52.416771885405595,19.15452441717388,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Stölpchensee,water,lake,Q2360565,13.140616856729855,52.40898715575844,8.891544603378456,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Glienicker See,water,lake,Q1531392,13.092785111116905,52.410990319493514,18.534157858134613,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Havel,water,lake,,13.10242220212882,52.424657079670425,27.837807230362746,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Großer Wannsee,water,lake,Q3908364,13.172864320424743,52.427874129575606,142.24270990422252,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Pohlesee,water,lake,Q1236041,13.15033137220501,52.41140253206047,10.489860981350033,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Krumme Lanke,water,lake,Q568396,13.233655303934361,52.45187691561156,12.594254903942504,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Waldsee,water,lake,Q1236813,13.235085920324346,52.441423110162795,2.570085653680622,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Plötzensee,water,lake,Q541313,13.330006495121728,52.5441048576326,7.74129073053207,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
