Download Reference Id: 2260;;;;;;;;
Series Id: 450;;;;;;;;
Series title: Dämeritzsee 230 insitu;;;;;;;;
;;;;;;;;
datetime;water temperature;conductivity;depth;pH;oxygen satuation;oxygen concentration;secchi depth;note
dt;w_temp;cond;depth;pH;o2_sat;o2_con;secchi;
;water physics;water physics;water physics;water chemistry;water chemistry;water chemistry;water physics;
YYYY-MM-DD hh:mm:ss;°C;µS/cm;m;;%;mg/l;m;
MEZ;H20;H20;H20;H20;H20;H20;secchi disk;
;;;;;;;;
1992-04-30 10:34:06;14.27;672;0;9.63;150;14.93;;
1992-04-30 10:34:06;13.2;680;1;9.44;121.6;12.39;;
1992-04-30 10:34:06;13.07;685;2;9.4;114.7;11.72;;
1992-04-30 10:34:06;13.08;684;2.5;9.37;111.6;11.4;;
1992-05-14 12:08:49;15.3;659.5;0.1;8.92;151.6;15.3;;
1992-05-14 12:08:49;14.8;667.6;1;8.92;146.1;14.9;;
1992-05-14 12:08:49;14.2;807.3;2;8.39;98.4;10.17;;
1992-05-14 12:08:49;14;903.5;2.6;8.11;73.1;7.58;;
1992-05-27 11:16:12;19.23;677;0;8.52;112.1;10.43;0.7;
1992-05-27 11:16:12;19.18;676.8;1;8.53;111.3;10.36;;
1992-05-27 11:16:12;19.18;677;2;8.53;110.8;10.31;;
1992-05-27 11:16:12;19.14;678;2.6;8.49;106.7;9.94;;Grund
1992-06-11 11:19:05;19.4;756.3;0;7.94;90.2;8.35;0.9;
1992-06-11 11:19:05;19.41;756;1;7.95;88.5;8.19;;
1992-06-11 11:19:05;19.39;752.5;2;7.92;84.6;7.85;;
1992-06-11 11:19:05;19.23;738.3;2.7;7.77;63.3;5.88;;Grund
1992-06-25 08:04:15;21.12;753.8;0;8.74;130.1;11.64;0.8;Wasser 3*OF/3*1.5
1992-06-25 08:04:15;21.13;754;1;8.75;129.9;11.63;;
1992-06-25 08:04:15;21.11;754;2;8.73;126.3;11.32;;
1992-06-25 08:04:15;21.02;751.8;2.6;8.74;125.3;11.24;;Grund
1992-07-09 11:16:12;22.86;745.5;0.1;8.73;144;12.47;;3*OF/3*1.5m/M.werte schwanken stark ca.1.0mg/l
1992-07-09 11:16:12;22.93;740;0.2;8.81;152.2;13.16;;*
1992-07-09 11:16:12;22.84;738;0.3;8.84;157;13.6;;*
1992-07-09 11:16:12;22.75;730;0.4;8.91;169;14.67;;*
1992-07-09 11:16:12;22.5;725;0.5;9.06;191.3;16.68;;*
1992-07-09 11:16:12;22.38;721;0.6;9.15;189.7;16.58;;*
1992-07-09 11:16:12;22.2;723;0.7;9.11;175.1;15.36;;*
1992-07-09 11:16:12;21.99;732;0.8;8.99;149.5;13.17;;*
1992-07-09 11:16:12;21.72;743;0.9;8.81;131.4;11.63;;*
1992-07-09 11:16:12;21.54;736;1;8.68;121.6;10.8;;*
1992-07-09 11:16:12;21.16;714.3;1.1;8.81;144.3;12.93;;
1992-07-09 11:16:12;21.07;721;1.2;8.65;133.9;12;;*
1992-07-09 11:16:12;20.98;714;1.3;8.7;136.4;12.24;;*
1992-07-09 11:16:12;20.87;727;1.4;8.64;126.5;11.38;;*
1992-07-09 11:16:12;20.77;703;1.5;8.22;107.9;9.73;;*
1992-07-09 11:16:12;20.7;722;1.6;8.33;110;9.93;;*
1992-07-09 11:16:12;20.66;731;1.7;8.36;111.9;10.1;;*
1992-07-09 11:16:12;20.61;731;1.8;8.36;105;9.49;;*
1992-07-09 11:16:12;20.42;725;1.9;8.16;89.7;8.15;;*
1992-07-09 11:16:12;20.3;724.3;2;8.03;75.7;6.9;;
1992-07-09 11:16:12;19.91;752.5;2.6;7.74;30.1;2.76;;Grund
1992-07-23 11:12:25;24.01;749.5;0;8.58;122.7;10.4;0.9;Wasser 2*2/3*1/3*OF
1992-07-23 11:12:25;23.65;744;0.5;8.71;137;11.69;;*
1992-07-23 11:12:25;23.17;728.5;1;8.68;126;10.85;;
1992-07-23 11:12:25;23.06;735;1.5;8.6;119.6;10.32;;*
1992-07-23 11:12:25;22.98;725;2;8.55;113.1;9.77;;
1992-07-23 11:12:25;22.97;724;2.1;8.55;112.5;9.72;;*
1992-07-23 11:12:25;22.93;722;2.2;8.53;109.8;9.5;;*
1992-07-23 11:12:25;22.88;719;2.3;8.48;97.2;8.42;;*
1992-07-23 11:12:25;22.79;719;2.4;8.3;71.1;6.17;;*
1992-07-23 11:12:25;22.45;725;2.5;7.89;37.8;3.3;;*
1992-07-23 11:12:25;22.31;728;2.6;7.76;28.8;2.52;;*
1992-07-23 11:12:25;22.19;729;2.7;7.69;26.3;2.31;;Grund
1992-08-05 11:37:27;22.84;700.5;0;8.6;111.9;9.67;0.8;
1992-08-05 11:37:27;22.82;699.5;1;8.59;110.6;9.56;;
1992-08-05 11:37:27;22.5;688.5;2;8.31;91;7.92;;
1992-08-05 11:37:27;22.37;686;2.7;8.21;88.1;7.68;;Grund
1992-08-20 11:33:23;19.7;701.3;0.1;8.25;96.6;8.87;1;
1992-08-20 11:33:23;19.63;700.3;1;8.23;95.2;8.76;;
1992-08-20 11:33:23;19.47;704.5;2;8.22;93.5;8.63;;
1992-08-20 11:33:23;19.2;712.3;2.9;8.18;84.5;7.84;;Grund
1992-09-03 10:59:58;17.73;777;0.1;7.96;90;8.51;0.7;Wasser 2*OF/1m/2m
1992-09-03 10:59:58;17.73;785.3;1;7.95;88.6;8.38;;
1992-09-03 10:59:58;17.79;833.8;2;7.9;84.2;7.95;;
1992-09-03 10:59:58;17.87;876.3;2.6;7.87;79.8;7.52;;Grund
1992-09-17 10:49:50;15.24;714.5;0.1;7.88;90.3;9.01;1.1;WASSER 2*OF/1M/1.5M-1*2M
1992-09-17 10:49:50;15.18;713;0.5;7.87;89.3;8.91;;*
1992-09-17 10:49:50;15.13;710.3;1;7.86;88.6;8.85;;
