Unnamed: 0,library_id,name,amenity,operator_type,operator,street,housenumber,postcode,city,country,latitude,longitude,geom_point,opening_hours,wheelchair_accessible,toilets_wheelchair,level,internet_access,isil_code,final_email,final_phone,website_url,district,neighbourhood,district_id
0,29071031,Bruno-Lösche-Bibliothek,library,,,Perleberger Straße,33,10559,Berlin,DE,52.5312448,13.3475136,POINT (13.3475136 52.5312448),Mo-Fr 10:00-19:30; Sa 10:00-14:00,yes,no,,,DE-B707,,+49 30901833025,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bruno-loesche-bibliothek/,Mitte,Moabit,11001001
1,60848456,Anton-Saefkow-Bibliothek,library,,,Anton-Saefkow-Platz,14,10369,Berlin,DE,52.5307772,13.4708382,POINT (13.4708382 52.5307772),"Sa 09:00-18:00; Mo,Tu 09:00-19:00; We 13:00-19:00; Th,Fr 09:00-18:00",yes,,,,,,+4930902963773,http://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298020.php,Lichtenberg,Fennpfuhl,11011011
2,203557001,Stadtteilbibliothek Erich Weinert,library,,,Helene-Weigel-Platz,4,12681,Berlin,DE,52.5281578,13.538715,POINT (13.538715 52.5281578),"Mo,Tu,Th 14:00-18:00; We,Fr 09:00-13:00; Su,PH off; 2024 May 10,2024 Jun 12,2024 Oct 04,2024 Nov 08,2024 Dec 23,2024 Dec 27,2024 Dec 30 off",limited,,,,,,+49 30 5429251,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-erich-weinert/,Marzahn-Hellersdorf,Marzahn,11010010
3,256922190,Stadtteilbibliothek Halemweg,library,,,Halemweg,18,13627,Berlin,DE,52.5375039,13.2871861,POINT (13.2871861 52.5375039),,yes,,,wlan,none,,,,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,11004004
4,257708789,Bezirkszentralbibliothek Spandau,library,,,Carl-Schurz-Straße,13,13597,Berlin,DE,52.5361334,13.2013864,POINT (13.2013864 52.5361334),"Mo-Fr 11:00-19:00;
Mo-Fr 10:00-11:00 ""ohne Fachpersonal"";
Sa 10:00-15:00;
Sa 15:00-18:00 ""ohne Fachpersonal"";
So 10:00-18:00 ""ohne Fachpersonal"";",yes,,,wlan,,bibliothek@ba-spandau.berlin.de,+49 30 90279 5537,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/bezirkszentralbibliothek/,Spandau,Spandau,11005005
5,263679066,Bezirkszentralbibliothek Mark Twain,library,,,Marzahner Promenade,52-54,12679,Berlin,DE,52.54722,13.556704,POINT (13.556704 52.54722),"Mo,Tu,Th,Fr 10:00-19:30; We 14:00-19:30; Sa 10:00-14:00",yes,,,,DE-B2228,,+49 30 54704154,https://www.berlin.de/bibliotheken-mh/bibliotheken/bezirkszentralbibliothek-mark-twain/,Marzahn-Hellersdorf,Marzahn,11010010
6,264776935,Ibero-Amerikanisches Institut,library,,Stiftung Preußischer Kulturbesitz,Potsdamer Straße,37,10785,Berlin,DE,52.5068092,13.369701,POINT (13.369701 52.5068092),Mo-Sa 08:00-22:00,limited,no,,wlan,DE-204,,,https://www.iai.spk-berlin.de/,Mitte,Tiergarten,11001001
7,266540876,Bezirkszentralbibliothek Philipp Schaeffer,library,,,Brunnenstraße,181,10119,Berlin,DE,52.5316059,13.3986959,POINT (13.3986959 52.5316059),Mo-Fr 10:00-19:30; Sa 10:00-14:00,yes,yes,,wlan,DE-B456,service@stb-mitte.de,+49 30 90182 4444;+49 30 90182 4422;+49 30 90182 4431,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bezirkszentralbibliothek-philipp-schaeffer/,Mitte,Mitte,11001001
8,266629485,Stadtteilbibliothek Mahlsdorf,library,,,Alt-Mahlsdorf,24-26,12623,Berlin,DE,52.5055546,13.6127893,POINT (13.6127893 52.5055546),"Mo 13:00-17:00, Tu,Th 13:00-19:00, We,Fr 10:00-14:00; PH off; 2024 May 10,2024 Jun 12,2024 Oct 04,2024 Nov 08,2024 Dec 23,2024 Dec 27,2024 Dec 30 off",yes,,,wlan,,bibl.service@ba-mh.berlin.de,+49 30 5676866,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-mahlsdorf/,Marzahn-Hellersdorf,Mahlsdorf,11010010
9,271685475,Philologische Bibliothek,library,university,Freie Universität Berlin,Habelschwerdter Allee,45,14195,Berlin,DE,52.4518573,13.2883334,POINT (13.2883334 52.4518573),Mo-Fr 09:00-22:00; Sa-Su 10:00-20:00,yes,yes,,yes,DE-188-920,,,https://www.fu-berlin.de/sites/philbib/index.html,Steglitz-Zehlendorf,Dahlem,11006006
