,detail_url,name,type,price_euro,number_of_rooms,surface_m2,floor,street,house_number,postal_code,first_tenant,address,latitude,longitude,geometry,neighborhood_id,neighborhood,district,district_id,id
0,https://www.immowelt.de/expose/3e6739d3-ced0-48cf-80f0-22dfbe63330e,"Wohnung zur Miete - Erstbezug 1.390 € 2 Zimmer 55,7 m² 1. Geschoss frei ab 01.03.2026 Archenholdstrasse 19 Friedrichsfelde Berlin 10315",Wohnung,1390.0,2.0,55.7,1,,,10315,yes,", 10315 Friedrichsfelde Berlin",52.5029358,13.5205456,POINT (13.5205456 52.5029358),1101,Friedrichsfelde,Lichtenberg,11011011,20260206_10000
1,https://www.immowelt.de/expose/572f03ad-a183-4d83-bc09-df8a71a8331e,"Wohnung zur Miete - Erstbezug 2.290 € 4 Zimmer 107,5 m² EG frei ab 01.03.2026 Archenholdstrasse 19 Friedrichsfelde Berlin 10315",Wohnung,2290.0,4.0,107.5,0,,,10315,yes,", 10315 Friedrichsfelde Berlin",52.5029358,13.5205456,POINT (13.5205456 52.5029358),1101,Friedrichsfelde,Lichtenberg,11011011,20260206_10001
3,https://www.immowelt.de/expose/499034c0-a638-49b7-887b-d60cfb5998da,"Wohnung zur Miete 929 € 1 Zimmer 34,4 m² 1. Geschoss frei ab sofort Friedenauer Höhe 8 Friedenau Berlin 12159",Wohnung,929.0,1.0,34.4,1,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10002
5,https://www.immowelt.de/expose/bc30a029-9da4-4f67-9127-e5cb239b306c,"Wohnung zur Miete 1.399 € 4 Zimmer 90,5 m² 1. Geschoss Abendseglersteig 74 Wilhelmshagen Berlin 12589",Wohnung,1399.0,4.0,90.5,1,,,12589,no,", 12589 Wilhelmshagen Berlin",52.4384919,13.7223287,POINT (13.7223287 52.4384919),0912,Rahnsdorf,Treptow-Köpenick,11009009,20260206_10003
6,https://www.immowelt.de/expose/a2fc0059-8d75-4c13-88fa-7ba0750dc754,Studio zur Miete 440 € 1 Zimmer 10 m² 5. Geschoss frei ab 01.03.2026 Ostendstraße Oberschöneweide Berlin 12459,Studio,440.0,1.0,10.0,5,,,12459,no,", 12459 Oberschöneweide Berlin",52.468305,13.5147534,POINT (13.5147534 52.468305),0909,Oberschöneweide,Treptow-Köpenick,11009009,20260206_10004
7,https://www.immowelt.de/expose/36547df7-c239-490f-a737-6ab5876ff4c2,"Studio zur Miete 535 € 1 Zimmer 10,5 m² EG frei ab 01.04.2026 Ostendstraße Oberschöneweide Berlin 12459",Studio,535.0,1.0,10.5,0,,,12459,no,", 12459 Oberschöneweide Berlin",52.468305,13.5147534,POINT (13.5147534 52.468305),0909,Oberschöneweide,Treptow-Köpenick,11009009,20260206_10005
8,https://www.immowelt.de/expose/133625b6-2b54-4645-be07-d451d58b8419,"Studio zur Miete 830 € 1 Zimmer 29,7 m² 8. Geschoss frei ab 01.03.2026 Allee der Kosmonauten Friedrichsfelde Berlin 10315",Studio,830.0,1.0,29.7,8,,,10315,no,", 10315 Friedrichsfelde Berlin",52.5029358,13.5205456,POINT (13.5205456 52.5029358),1101,Friedrichsfelde,Lichtenberg,11011011,20260206_10006
10,https://www.immowelt.de/expose/5196f234-6b31-4196-8f7a-dca6a3f63bdf,"Studio zur Miete 880 € 1 Zimmer 29,7 m² 4. Geschoss frei ab 01.04.2026 Allee der Kosmonauten Friedrichsfelde Berlin 10315",Studio,880.0,1.0,29.7,4,,,10315,no,", 10315 Friedrichsfelde Berlin",52.5029358,13.5205456,POINT (13.5205456 52.5029358),1101,Friedrichsfelde,Lichtenberg,11011011,20260206_10007
11,https://www.immowelt.de/expose/8e6a3f30-2288-4cfe-a67b-c5011532ff1f,"Wohnung zur Miete 919 € 1 Zimmer 29,4 m² 5. Geschoss Friedenauer Höhe 6 Friedenau Berlin 12159",Wohnung,919.0,1.0,29.4,5,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10008
12,https://www.immowelt.de/expose/a6953a9e-c7dc-4327-a137-bfd2b4406037,"Wohnung zur Miete 849 € 1 Zimmer 29,4 m² 2. Geschoss Friedenauer Höhe 8 Friedenau Berlin 12159",Wohnung,849.0,1.0,29.4,2,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10009
13,https://www.immowelt.de/expose/4aa4979a-a4ec-4152-ac34-91dd34cc349b,"Wohnung zur Miete 1.349 € 2 Zimmer 52,3 m² 3. Geschoss Friedenauer Höhe 6 Friedenau Berlin 12159",Wohnung,1349.0,2.0,52.3,3,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10010
14,https://www.immowelt.de/expose/39450b6a-31ce-437b-b19b-30bb65c41d62,"Wohnung zur Miete 879 € 1 Zimmer 29,6 m² 3. Geschoss Friedenauer Höhe 14 Friedenau Berlin 12159",Wohnung,879.0,1.0,29.6,3,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10011
15,https://www.immowelt.de/expose/ea9dd33f-042b-4927-be8a-f6aa04ea37f4,"Wohnung zur Miete 1.399 € 2 Zimmer 48,8 m² 3. Geschoss Friedenauer Höhe 16 Friedenau Berlin 12159",Wohnung,1399.0,2.0,48.8,3,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10012
16,https://www.immowelt.de/expose/d5b9b986-8423-465e-adbe-48fbca1879dd,"Wohnung zur Miete 769 € 1 Zimmer 33,2 m² EG Friedenauer Höhe 24 Friedenau Berlin 12159",Wohnung,769.0,1.0,33.2,0,,,12159,no,", 12159 Friedenau Berlin",52.4729146,13.3369173,POINT (13.3369173 52.4729146),0702,Friedenau,Tempelhof-Schöneberg,11007007,20260206_10013
17,https://www.immowelt.de/expose/0a081c74-b8e8-4814-be38-8afe75a1d5e3,Studio zur Miete 700 € 1 Zimmer 32 m² 4. Geschoss frei ab 01.04.2026 Lindenstraße Köpenick Berlin 12555,Studio,700.0,1.0,32.0,4,,,12555,no,", 12555 Köpenick Berlin",52.4606337,13.5777707,POINT (13.5777707 52.4606337),0910,Köpenick,Treptow-Köpenick,11009009,20260206_10014
18,https://www.immowelt.de/expose/1f116853-3ed0-4762-975e-28fb107fd0c0,"Wohnung zur Miete - Erstbezug 1.390 € 2 Zimmer 55,7 m² 1. Geschoss frei ab 01.03.2026 Archenholdstrasse 21 Friedrichsfelde Berlin 10315",Wohnung,1390.0,2.0,55.7,1,,,10315,yes,", 10315 Friedrichsfelde Berlin",52.5029358,13.5205456,POINT (13.5205456 52.5029358),1101,Friedrichsfelde,Lichtenberg,11011011,20260206_10015
19,https://www.immowelt.de/expose/a1de3754-46a6-4730-aeb6-54744d8f3e4d,"Wohnung zur Miete - Erstbezug 2.350 € 4 Zimmer 108,8 m² EG frei ab 01.03.2026 Archenholdstrasse 21 Friedrichsfelde Berlin 10315",Wohnung,2350.0,4.0,108.8,0,,,10315,yes,", 10315 Friedrichsfelde Berlin",52.5029358,13.5205456,POINT (13.5205456 52.5029358),1101,Friedrichsfelde,Lichtenberg,11011011,20260206_10016
20,https://www.immowelt.de/expose/2106d3a4-2170-4650-833d-4e2f2e9fd360,"Wohnung zur Miete - Erstbezug 2.099 € 4 Zimmer 83,3 m² 1. Geschoss frei ab 01.03.2026 Archenholdstrasse 21 Friedrichsfelde Berlin 10315",Wohnung,2099.0,4.0,83.3,1,,,10315,yes,", 10315 Friedrichsfelde Berlin",52.5029358,13.5205456,POINT (13.5205456 52.5029358),1101,Friedrichsfelde,Lichtenberg,11011011,20260206_10017
