id,url,name,type,first_tenant,price_euro,number_of_rooms,surface_m2,floor,street,house_number,postal_code,city,address,latitude,longitude,geocode_source
WOH_260_41_07937,https://www.immowelt.de/expose/ab589296-d9e4-4317-a5b3-efbd78bb7bbc,Wohnung zur Miete 260€ 1 Zimmer 41.6m² 4. Geschoss Greizer Straße 70 07937 Zeulenroda-Triebes,Wohnung,no,260,1.0,41.6,4.0,Greizer Straße,70,07937,Zeulenroda-Triebes,"Greizer Straße 70, 07937 Zeulenroda-Triebes",50.6502104,11.9858633,nominatim
WOH_390_69_07937,https://www.immowelt.de/expose/4c8a54f5-f85f-4d07-8bf0-6d5cad244437,Wohnung zur Miete 390€ 3 Zimmer 69.8m² 4. Geschoss Schleizer Straße 4 07937 Zeulenroda-Triebes,Wohnung,no,390,3.0,69.8,4.0,Schleizer Straße,4,07937,Zeulenroda-Triebes,"Schleizer Straße 4, 07937 Zeulenroda-Triebes",50.648183,11.9796681,nominatim
WOH_298_54_07937,https://www.immowelt.de/expose/9965a282-1ad8-41e3-9899-3fef6a581926,Wohnung zur Miete 298€ 3 Zimmer 54.1m² Otto-Grotewohl-Ring 26 07937 Zeulenroda-Triebes,Wohnung,no,298,3.0,54.1,,Otto-Grotewohl-Ring,26,07937,Zeulenroda-Triebes,"Otto-Grotewohl-Ring 26, 07937 Zeulenroda-Triebes",50.655978,11.9841367,nominatim
WOH_350_58_07937,https://www.immowelt.de/expose/298f5df1-afae-4d97-8df4-b70abb93aa56,Wohnung zur Miete 350€ 3 Zimmer 58.9m² 2. Geschoss Schuhgasse 7 07937 Zeulenroda-Triebes,Wohnung,no,350,3.0,58.9,2.0,Schuhgasse,7,07937,Zeulenroda-Triebes,"Schuhgasse 7, 07937 Zeulenroda-Triebes",50.648822,11.9807459,nominatim
WOH_390_62_07937,https://www.immowelt.de/expose/f54dfbc3-001a-4b67-b0db-4b1b46b54dd1,Wohnung zur Miete 390€ 3 Zimmer 62.0m² 2. Geschoss Schopperstraße 115 07937 Zeulenroda-Triebes,Wohnung,no,390,3.0,62.0,2.0,Schopperstraße,115,07937,Zeulenroda-Triebes,"Schopperstraße 115, 07937 Zeulenroda-Triebes",50.6575221,12.001782,nominatim
WOH_400_72_07937,https://www.immowelt.de/expose/7b3e81e6-c4eb-4cae-98b3-359ec96baafb,Wohnung zur Miete 400€ 3 Zimmer 72.8m² 1. Geschoss Greizer Straße 81 07937 Zeulenroda-Triebes,Wohnung,no,400,3.0,72.8,1.0,Greizer Straße,81,07937,Zeulenroda-Triebes,"Greizer Straße 81, 07937 Zeulenroda-Triebes",50.6503498,11.9872376,nominatim
WOH_394_70_07937,https://www.immowelt.de/expose/ca30a0ab-1df8-47b3-b86c-dcd07a0e637f,Wohnung zur Miete 394€ 3 Zimmer 70.4m² 1. Geschoss Blumenweg 5 07937 Zeulenroda-Triebes,Wohnung,no,394,3.0,70.4,1.0,Blumenweg,5,07937,Zeulenroda-Triebes,"Blumenweg 5, 07937 Zeulenroda-Triebes",50.6562557,11.9774724,nominatim
WOH_398_76_07937,https://www.immowelt.de/expose/c5a04bb8-07be-4f32-adf4-d9a2c1e85d09,Wohnung zur Miete 398€ 2 Zimmer 76.5m² 2. Geschoss Lohweg 10 07937 Zeulenroda-Triebes,Wohnung,no,398,2.0,76.5,2.0,Lohweg,10,07937,Zeulenroda-Triebes,"Lohweg 10, 07937 Zeulenroda-Triebes",50.6511161,11.982526,nominatim
WOH_455_70_07937,https://www.immowelt.de/expose/9e9770f6-097f-49d1-91fe-09eb865d750e,Wohnung zur Miete 455€ 3 Zimmer 70.7m² 3. Geschoss Greizer Straße 70 07937 Zeulenroda-Triebes,Wohnung,no,455,3.0,70.7,3.0,Greizer Straße,70,07937,Zeulenroda-Triebes,"Greizer Straße 70, 07937 Zeulenroda-Triebes",50.6502104,11.9858633,nominatim
WOH_352_43_07937,https://www.immowelt.de/expose/617022fc-21a5-4207-8546-0f6798782e66,Wohnung zur Miete 352€ 2 Zimmer 43.9m² 2. Geschoss Alaunwerk 34 07937 Zeulenroda-Triebes,Wohnung,no,352,2.0,43.9,2.0,Alaunwerk,34,07937,Zeulenroda-Triebes,"Alaunwerk 34, 07937 Zeulenroda-Triebes",50.6613014,11.9760544,nominatim
