id,name,house_number,street,neighborhood_id,district_id,postal_code,website,opening_hours,wheelchair,fee,latitude,longitude
301107444,atelier achim kühn,6,richter straße,0908,11009009,12524,,,,,52.4097499,13.5713419
370766098,galerie zandi,57,mommsen straße,0401,11004004,10629,,mo-fr 11:00-18:00; sa 11:00-16:00,no,False,52.5031345,13.3136309
410135935,studio für gestaltung,31,bürkner straße,0801,11008008,12047,,"th,fr 13:00-18:00; sa 12:00-16:00",yes,False,52.4933269,13.4274903
410692505,la girafe,,,0202,11002002,,,,no,False,52.4929136,13.4370565
410745800,kronenboden,16,schweden straße,0106,11001001,13357,,,yes,,52.5550908,13.3753262
511117580,galería lunasol,35,schierker straße,0801,11008008,12051,,"tu-th 11:00-22:00; fr,sa 11:00-23:00",yes,False,52.4700118,13.4322642
543623547,errant sound,20,runge straße,0101,11001001,10179,,,,,52.5123622,13.4198213
545738013,saarländische galerie,,am festungs graben,0101,11001001,10117,https://www.saarlaendische-galerie.eu/,,,,52.518549,13.395823
569103989,atelier freier fotografen,,weisbach straße,0201,11002002,10249,https://www.aff-galerie.de/,"sa,su 15:00-18:00",no,False,52.5246551,13.4511428
734960879,alex xandaton,,brunnen straße,0101,11001001,10119,,"""by appointment""",,False,52.5307136,13.4006477
775579194,galerie marinova,,,0301,11003003,,,,,,52.5463837,13.4090758
837741403,galerie janssen,45,pariser straße,0402,11004004,10719,http://galerie-janssen.de/index.html,mo-sa 11:00-19:00,,False,52.4971248,13.3227384
924203028,galerie mutter fourage,15a,chaussee straße,0607,11006006,14109,,"fr 14:00-18:00; sa,su 12:00-17:00",,,52.4165206,13.1459292
1244787397,galerie heba im atelier,37,falckenstein straße,0202,11002002,10997,,"su 14:00-17:00; mo,tu 11:00-18:00; fr,sa 11:00-18:00",no,False,52.498742,13.4428239
1263799847,disconnect art gallery and record shop,25,finow straße,0201,11002002,10247,https://disconnectberlin.wordpress.com/,th-sa 14:00-19:00; ph off,limited,False,52.5109844,13.4671354
1356039238,wk+,56,fulda straße,0801,11008008,12043,,th-sa 16:00-20:00,yes,,52.4832652,13.4349684
1373939507,raum für drastische maßnahmen,34,oder straße,0201,11002002,10247,,"th,sa 17:00-20:00",,False,52.5094253,13.4726497
1387498130,aedes gallery,18-19,christinen straße,0301,11003003,10119,,"tu-fr 11:00-18:30; su,mo,ph 13:00-17:00",no,False,52.5321702,13.4108887
1448412584,argus,26,marien straße,0101,11001001,10117,,closed,,,52.5220437,13.3817978
1478259435,kunstraum kreuzberg/bethanien,,bethanien damm,0202,11002002,10179,https://kunstraumkreuzberg.de/,mo-su 10:00-20:00,yes,False,52.5045518,13.4237552
1510226734,wirwir,56,stuttgarter straße,0801,11008008,12059,https://wirwir.org/,,,,52.4805238,13.4450094
1552051436,galerie neu,119,linien straße,0101,11001001,10115,https://galerieneu.net/,,,,52.5271436,13.3910542
1552051918,imago,145,linien straße,0101,11001001,10115,,,,,52.5269012,13.3912329
1759670848,atelier lücki,,,1112,11011011,,,,,False,52.5006344,13.4941506
1860421220,galerie schwind,19,august straße,0101,11001001,10117,,,yes,,52.5267289,13.3958993
1860480265,hamburger bahnhof - nationalgalerie der gegenwart,50-51,invaliden straße,0102,11001001,10557,https://www.smb.museum/museen-einrichtungen/hamburger-bahnhof/home/,"tu-we,fr 10:00-18:00; th 10:00-20:00; sa-su 11:00-18:00",yes,True,52.52844,13.3720386
1874529831,kommunale galerie berlin,176,hohenzollern damm,0402,11004004,10713,,tu-fr 10:00-17:00;we 10:00-19:00; su 11:00-17:00,yes,False,52.4894924,13.3120475
1894233174,studio.w,,,0202,11002002,,,,,False,52.4930141,13.4174861
1909615766,kunsthaus davidu berlin,5,riemann straße,0202,11002002,10961,,,,False,52.4902771,13.3932794
1979921489,g-allery,,walter benjamin platz,0401,11004004,10629,,,,False,52.5020343,13.3135977
1987766261,reister webdesign,61,tor straße,0301,11003003,10119,http://www.reister.de,,no,False,52.5291203,13.4087336
2055249974,chert lüdde,18,haupt straße,0701,11007007,10827,https://chertluedde.com/,,,,52.4868225,13.3566353
2171343204,einbildmalen,,bleibtreu straße,0401,11004004,10623,,,no,,52.5065979,13.3203744
2192175175,only photography,78,niebuhr straße,0401,11004004,10629,,,,,52.5039978,13.3188208
2281044314,galerie olga benario,104,richard straße,0801,11008008,12043,https://www.galerie-olga-benario.de,"""by appointment""",,False,52.4777027,13.4401793
2334724664,okk - organ kritischer kunst,29,prinzen allee,0106,11001001,13359,http://www.kritische-kunst.org,,,,52.5571599,13.3855346
2466056870,die kiste,10,heidenauer straße,1005,11010010,12627,https://www.kiste.net/,,,,52.5361105,13.6093671
2471028319,robert grunenberg,147,kant straße,0401,11004004,10623,,,,,52.5055658,13.3239833
2518081510,bauchhund salonlabor,,schudoma straße,0801,11008008,12055,https://www.bauchhund.de/,th 20:00+,no,True,52.4733762,13.4517863
2565247202,kunstgießerei & galerie flierl,17,friesicke straße,0302,11003003,13086,,,yes,,52.5532159,13.4405365
2645539038,galerie im körnerpark,8,schierker straße,0801,11008008,12051,,"mo-su,ph 10:00-20:00; dec 24-25 off; dec 31-jan 01 off",yes,False,52.4711895,13.4366053
2733888749,projektraum,,marchlewski straße,0201,11002002,10243,,,yes,False,52.5162346,13.4420943
2853902146,sexauer gallery,90,streu straße,0302,11003003,13086,,,yes,,52.5510653,13.4388651
3002968653,kunstwerkstatt des russischen hauses in berlin,,friedrich straße,0101,11001001,10117,,,,,52.5136844,13.3891789
3074703141,galerie zeitzone,79,adalbert straße,0202,11002002,10997,,,,,52.5031955,13.4204361
3241428528,art square,4,proskauer straße,0201,11002002,10247,,,,False,52.5159293,13.4608911
3287787806,g.a.s-station,22,tempelherren straße,0202,11002002,10961,,we-fr 15:00-18:00,no,False,52.4947067,13.4001846
3354648518,galerie georg nothelfer,,cornelius straße,0104,11001001,10787,https://www.galerie-nothelfer.de/,,yes,False,52.5066964,13.3505106
3478842464,zwitschermaschine,,potsdamer straße,0701,11007007,10783,https://www.zwitschermaschine-berlin.de,,limited,,52.4948089,13.3613629
3530865986,camera work photogalerie,149,kant straße,0401,11004004,10623,https://camerawork.de,tu-sa 11:00-18:00,,,52.5048932,13.3244289
3632389516,noah klink gallery,17,kulmer straße,0701,11007007,10783,http://www.noahklink.com,,,,52.4925651,13.3647889
3641040703,kw institute for contemporary art,69,august straße,0101,11001001,10117,,fr-mo 12:00-19:00; th 12:00-21:00; we 12:00-19:00,no,True,52.5271636,13.3948218
