geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,contact:phone,contact:website,craft,name,tourism,fee,opening_hours,wheelchair,shop,check_date,contact:email,operator,name:de,name:en,name:nl,website,wikidata,source,lgbtq,lgbtq:men,phone,contact:facebook,check_date:currency:XBT,check_date:opening_hours,currency:XBT,facebook,instagram,music,note,payment:lightning,payment:lightning_contactless,payment:onchain,description,gallery,amenity,toilets:wheelchair,wikipedia,opening_hours:signed,fee:icom_member,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,toilets,contact:fax,level,office,designation,operator:type,wheelchair:description,surveillance,email,fax,image,mapillary,name:zh,wikimedia_commons,payment:cards,addr:place,reservation,internet_access,internet_access:fee,alt_name,loc_name,air_conditioning,start_date,opening_hours:covid19,fixme,wheelchair:description:de,wheelchair:description:en,owner,name:etymology,name:etymology:wikidata,language:de,language:en,language:fr,language:nn,contact:instagram,source_ref:url,phone:disabled,operator:wikidata,addr:floor,toilets:unisex,mobile,addr:housename,building,building:levels,heritage,heritage:operator,lda:criteria,ref:lda,roof:levels,roof:shape,building:use,colour,indoor,type,name:ko
POINT (13.5713419 52.4097499),Berlin,DE,6,12524,Richterstraße,Bohnsdorf,+49 30 6764261,http://achimkuehn.de/,sculptor,Atelier Achim Kühn,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3136309 52.5031345),Berlin,DE,57,10629,Mommsenstraße,Charlottenburg,,http://www.galeriezandi.com/,,Galerie Zandi,gallery,no,Mo-Fr 11:00-18:00; Sa 11:00-16:00,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4274903 52.4933269),Berlin,DE,31,12047,Bürknerstraße,Neukölln,,,,Studio für Gestaltung,gallery,no,"Th,Fr 13:00-18:00; Sa 12:00-16:00",yes,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4370565 52.4929136),,,,,,,,,,La Girafe,gallery,no,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3753262 52.5550908),Berlin,DE,16,13357,Schwedenstraße,Gesundbrunnen,+491708089110,http://www.kronenboden.de/?page_id=10,,kronenboden,gallery,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4322642 52.4700118),Berlin,DE,35,12051,Schierker Straße,Neukölln,+49 176 62885391,https://lunasol.berlin/de/,,Galería Lunasol,gallery,no,"Tu-Th 11:00-22:00; Fr,Sa 11:00-23:00",yes,,2024-06-27,info@lunasol.berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4198213 52.5123622),Berlin,DE,20,10179,Rungestraße,Mitte,,https://errantsound.net/,,Errant Sound,gallery,,,,,,,Errant Sound e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.395823 52.518549),,,,,,,,,,Saarländische Galerie,gallery,,,,,,,,Saarländische Galerie,Saarlandish Gallery,Saarlandse Galerij,https://www.saarlaendische-galerie.eu/,Q1585567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4511428 52.5246551),,,,10249,,,,,,Atelier Freier Fotografen,gallery,no,"Sa,Su 15:00-18:00",no,,,,,,,,https://www.aff-galerie.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4882868 52.5417097),Berlin,DE,99,13055,Konrad-Wolf-Straße,Alt-Hohenschönhausen,,,,,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
