id,name,artwork_type,artist_name,street,neighborhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
28341970,seepferdchen,sculpture,,spreetunnel,0910,11009009,12559,metal,,,,,52.44417,13.6250884
243487615,richard wagner,statue,,tiergarten straße,0104,11001001,10785,,,https://photos.app.goo.gl/9vgmjzd9uthahjab8,Q2148898,,52.5100656,13.3618687
255049659,flensburger löwe,statue,kopie nach hermann wilhelm bissen,tiefhorn weg,0607,11006006,14109,,1938,,Q105045191,category:flensburg lion (copy in berlin),52.433884,13.1649872
258485628,begegnung,sculpture,jo doese,anton saefkow platz,1111,11011011,10369,stone,,https://fennpfuhl.digital/img/statue/begegnung.jpg.webp,Q110311378,category:begegnung (joachim doese),52.5287349,13.4731555
262455591,reiterstandbild friedrich ii. von preußen,statue,christian daniel rauch,unter den linden,0101,11001001,10117,,,"https://commons.wikimedia.org/wiki/file:berlin,_mitte,_unter_den_linden,_reiterstandbild_friedrich_ii..jpg",Q881611,category:reiterstandbild friedrichs des großen (berlin-mitte),52.5172596,13.3927444
276952883,friedrich wilhelm iii. von preußen,statue,friedrich drake,ahorn steig,0104,11001001,10785,concrete,1982,http://commons.wikimedia.org/wiki/file:denkmal_friedrich_wilhelmiii.jpg,Q113341316,category:friedrich wilhelm iii by friedrich drake,52.5115682,13.3644883
278707399,büffeljagd,sculpture,fritz schaper,fasanerie allee,0104,11001001,10787,bronze,,http://commons.wikimedia.org/wiki/file:wiesenjagd.jpg,Q25063929,category:altgermanische wisentjagd by fritz schaper,52.5133248,13.3485026
278707727,eberjagd,sculpture,karl begas,fasanerie allee,0104,11001001,10787,bronze,,https://photos.app.goo.gl/vsgmcntm6l29cnyi6,Q24976714,category:eberjagd um 1500 by carl begas,52.5132673,13.3486216
278707884,fuchsjagd,sculpture,wilhelm haverkamp,fasanerie allee,0104,11001001,10787,bronze,,http://commons.wikimedia.org/wiki/file:fuchsjagd_-_wilhelm_haverkamp_-_mutter_erde_fec.jpg,Q24976710,category:churfürstliche fuchsjagd by wilhelm haverkamp,52.5115612,13.3463116
278707964,hasenhetze,sculpture,max baumbach,fasanerie allee,0104,11001001,10787,bronze,,http://commons.wikimedia.org/wiki/file:hasenhetze.jpg,Q24976711,category:hasenhatz der rokokozeit by max baumbach,52.5115004,13.3464481
278731128,wilhelm von preußen,statue,adolf brütt,tiergarten straße,0104,11001001,10785,marble,1904,https://commons.wikimedia.org/wiki/file:prinz_v_preussen_tiergarten.jpg,Q113382896,,52.5104419,13.3653213
278739110,löwengruppe,statue,friedrich wilhelm wolff,ahorn steig,0104,11001001,10785,bronze,,http://commons.wikimedia.org/wiki/file:wilhelm_wolff_loewengruppe_berlin.jpg,Q115949613,,52.5149329,13.3756446
279158435,gerhard von scharnhorst,statue,christian daniel rauch,bebel platz,0101,11001001,10117,,,,Q61769308,category:memorial gerhard von scharnhorst (berlin),52.5171421,13.3953664
279158438,friedrich wilhelm bülow,statue,christian daniel rauch,unter den linden,0101,11001001,10117,,,,Q64760457,category:memorial of friedrich wilhelm von bülow (berlin),52.5171501,13.3954905
279158441,august von gneisenau,statue,christian daniel rauch,bebel platz,0101,11001001,10117,,,,Q61769303,category:memorial august neidhardt von gneisenau (berlin),52.5165746,13.3955788
279158443,gebhard von blücher,statue,christian daniel rauch,bebel platz,0101,11001001,10117,,,,Q51846342,category:blücher-denkmal (berlin),52.5165721,13.3957416
279158444,ludwig yorck,statue,christian daniel rauch,oberwall straße,0101,11001001,10117,,,,Q61769306,category:memorial johann david ludwig yorck von wartenburg (berlin),52.5165948,13.3959003
282832869,konfuzius,,,tälchenbrücke,1001,11010010,12685,,,,Q108723219,file:statue eisenacher str 99 (marza) konfuzius&han xiujuan&2001.jpg,52.5368705,13.5770788
