id,district_id,name,latitude,longitude,geometry,neighborhood,district,neighborhood_id,address_full,operating_hours,services_offered,contact_phone,contact_website,operator_name,data_source
16101449441125673677,re_ortsteil.0105,Jobcenter Mitte am Leopoldplatz,5823123.583492259,388557.67384702334,POINT(388557.67384702334 5823123.583492259),Wedding,Mitte,0105,Müllerstraße,"Mo-We 08:00-16:00; Th 08:00-18:00; Fr 08:00-14:00; Sa-Su,PH off",,+49 30 5555 45 2222,,,OSM_LOR_Wikidata
18128604909824059843,re_ortsteil.0501,Arbeitsagentur Spandau,5821954.139646533,376997.3798803908,POINT(376997.3798803908 5821954.139646533),Spandau,Spandau,0501,Brunsbütteler Damm,,,,,,OSM_LOR_Wikidata
13511828952179961226,re_ortsteil.0801,Jobcenter Berlin Neukölln,5815475.253801503,393232.6765511638,POINT(393232.6765511638 5815475.253801503),Neukölln,Neukölln,0801,Mainzer Straße,"Mo,Tu,Fr 08:00-12:30; Th 08:00-18:00",,,,,OSM_LOR_Wikidata
10993061234534447512,re_ortsteil.1211,Agentur für Arbeit,5826721.96517778,385399.3876033139,POINT(385399.3876033139 5826721.96517778),Borsigwalde,Reinickendorf,1211,Innungsstraße,"Mo-We 08:00-13:00, Th 08:00-18:00, Fr 08:00-13:00",,,,,OSM_LOR_Wikidata
13226284330786634711,re_ortsteil.0703,Agentur für Arbeit,5813010.19383294,392063.63406941487,POINT(392063.63406941487 5813010.19383294),Tempelhof,Tempelhof-Schöneberg,0703,,,,,,,OSM_LOR_Wikidata
1277077991668661287,re_ortsteil.0105,Beta gGmbH,5823385.524627536,389109.0411137991,POINT(389109.0411137991 5823385.524627536),Wedding,Mitte,0105,Maxstraße,,,,,,OSM_LOR_Wikidata
7198709894811098703,re_ortsteil.0401,Jobcenter,5820959.940635611,385629.6671703942,POINT(385629.6671703942 5820959.940635611),Charlottenburg,Charlottenburg-Wilmersdorf,0401,Goslarer Ufer,,,,,,OSM_LOR_Wikidata
15951409471553913904,re_ortsteil.0201,Synergie,5819897.6908018375,393444.8532645768,POINT(393444.8532645768 5819897.6908018375),Friedrichshain,Friedrichshain-Kreuzberg,0201,Strausberger Platz,Mo-Fr 08:00-17:00,,,,,OSM_LOR_Wikidata
3259961592833720095,re_ortsteil.0703,Agentur für Arbeit,5812686.516869763,389908.4615197259,POINT(389908.4615197259 5812686.516869763),Tempelhof,Tempelhof-Schöneberg,0703,,,,,,,OSM_LOR_Wikidata
3116174197935829050,re_ortsteil.0904,Jobcenter Berlin Treptow-Köpenick,5811668.403340282,399138.1767103447,POINT(399138.1767103447 5811668.403340282),Johannisthal,Treptow-Köpenick,0904,Groß-Berliner Damm,,,,,,OSM_LOR_Wikidata
