id,name,brand,opening_hours,phone,website,full_address,longitude,latitude,geometry,district,neighborhood,district_id,neighborhood_id
111810614,Fressnapf,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-19:00,,,"Fressnapf, 7a, Lützenstraße, Halensee, Charlottenburg-Wilmersdorf, Berlin, 10711, Deutschland",13.288411,52.4997351,POINT (13.288411 52.4997351),Charlottenburg-Wilmersdorf,Halensee,11004004,0407
346138343,Fressnapf,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-18:00,,,"Fressnapf, 10-11, Müllerstraße, Sprengelkiez, Wedding, Mitte, Berlin, 13353, Deutschland",13.3675197,52.5425188,POINT (13.3675197 52.5425188),Mitte,Wedding,11001001,0105
417360251,Fressnapf,Fressnapf,,,,"Fressnapf, 128b, Storkower Straße, Blumenviertel, Prenzlauer Berg, Pankow, Berlin, 10407, Deutschland",13.4519634,52.5336145,POINT (13.4519634 52.5336145),Pankow,Prenzlauer Berg,11003003,0301
438385039,Lucas Tierwelt,,Mo-Sa 08:00-20:00,,https://www.lucas-tierwelt.de/,"Lucas Tierwelt, 95, Forckenbeckstraße, Schmargendorf, Charlottenburg-Wilmersdorf, Berlin, 14199, Deutschland",13.3084403,52.4788764,POINT (13.3084403 52.4788764),Charlottenburg-Wilmersdorf,Schmargendorf,11004004,0403
446899194,Das Futterhaus,Das Futterhaus,,,,"Das Futterhaus, 52, Lahnstraße, Richardkiez, Neukölln, Berlin, 12055, Deutschland",13.4480157,52.4686707,POINT (13.4480157 52.4686707),Neukölln,Neukölln,11008008,0801
701825313,Natürlich Hund,,Tu-Fr 11:00-18:00; Sa 10:00-15:00,,,"Natürlich Hund, 57, Nassauische Straße, Güntzelkiez, Wilmersdorf, Charlottenburg-Wilmersdorf, Berlin, 10717, Deutschland",13.326709,52.4907856,POINT (13.326709 52.4907856),Charlottenburg-Wilmersdorf,Wilmersdorf,11004004,0402
800755193,Hundesalon,,"""nach Vereinbarung (Beschriftung der Öffnungszeiten wurde in Teilen entfernt)""",+49 30 81612547,,"Hundesalon, Alt-Reinickendorf, Reinickendorf, Berlin, 13407, Deutschland",13.3535032,52.5745973,POINT (13.3535032 52.5745973),Reinickendorf,Reinickendorf,11012012,1201
861870108,Fressnapf,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-18:00; PH off,+49 30 99275073,https://www.fressnapf.de/stores/fressnapf-berlin-hellersdorf/,"Fressnapf, 23-27, Quedlinburger Straße, Hellersdorfer Graben, Hellersdorf, Marzahn-Hellersdorf, Berlin, 12627, Deutschland",13.6108273,52.540182,POINT (13.6108273 52.540182),Marzahn-Hellersdorf,Hellersdorf,11010010,1005
1112653257,Fressnapf,Fressnapf,,,,"Fressnapf, Ludwigsfelder Straße, Zehlendorf, Steglitz-Zehlendorf, Berlin, Teltow, 14165, Deutschland",13.2423758,52.4232169,POINT (13.2423758 52.4232169),Steglitz-Zehlendorf,Zehlendorf,11006006,0604
1157588586,Das Futterhaus,Das Futterhaus,closed,,,"Das Futterhaus, Pankower Allee, Große Lettekolonie, Reinickendorf, Berlin, 13409, Deutschland",13.366604,52.5642435,POINT (13.366604 52.5642435),Reinickendorf,Reinickendorf,11012012,1201
1198087358,Fressnapf,Fressnapf,"Mo-Sa 09:00-20:00; Su,PH off",,,"Fressnapf, Diedenhofener Straße, Stresow, Spandau, Berlin, 13581, Deutschland",13.1966747,52.5301611,POINT (13.1966747 52.5301611),Spandau,Spandau,11005005,0501
1311479655,Zoo fridolin,,"Mo-Fr 09:00-18:00; Sa 09:00-14:00; Su off, PH off",,,"Zoo fridolin, 81, Kaiserin-Augusta-Allee, Kalowswerder, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10589, Deutschland",13.3064658,52.5255327,POINT (13.3064658 52.5255327),Charlottenburg-Wilmersdorf,Charlottenburg,11004004,0401
1427998890,Fressnapf,Fressnapf,,,,"Fressnapf, Am Zeppelinpark, Siedlung Neu-Jerusalem, Staaken, Spandau, Berlin, 13591, Deutschland",13.128834,52.5284304,POINT (13.128834 52.5284304),Spandau,Staaken,11005005,0504
1457600608,Fressnapf,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-18:00,+49 30 43724675,,"Fressnapf, 47, Pankower Allee, Große Lettekolonie, Reinickendorf, Berlin, 13409, Deutschland",13.3707163,52.5647261,POINT (13.3707163 52.5647261),Reinickendorf,Reinickendorf,11012012,1201
1498303230,Das Futterhaus,Das Futterhaus,,,,"Das Futterhaus, 108, Weißenhöher Straße, Gut Champignon, Alt-Biesdorf, Biesdorf, Marzahn-Hellersdorf, Berlin, 12683, Deutschland",13.55979,52.506351,POINT (13.55979 52.506351),Marzahn-Hellersdorf,Biesdorf,11010010,1002
1511328799,Das Futterhaus,Das Futterhaus,Mo-Sa 10:00-20:00,+493061209038,https://www.futterhaus.de/,"Das Futterhaus, 10, Hermannplatz, Reuterkiez, Neukölln, Berlin, 10967, Deutschland",13.4243961,52.4878945,POINT (13.4243961 52.4878945),Friedrichshain-Kreuzberg,Kreuzberg,11002002,0202
1608667951,Fressnapf,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-18:00,,,"Fressnapf, 68, Stresemannstraße, Zeitungsviertel, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10963, Deutschland",13.3843777,52.5031233,POINT (13.3843777 52.5031233),Friedrichshain-Kreuzberg,Kreuzberg,11002002,0202
1643105094,Marine Aquarium Senior,,Mo-Sa 10:00-18:00,+49 30 40910702,http://www.marine-aquarium-senior.net,"Marine Aquarium Senior, 85-86, Oranienburger Straße, Alt-Wittenau, Wittenau, Reinickendorf, Berlin, 13437, Deutschland",13.3333768,52.5953256,POINT (13.3333768 52.5953256),Reinickendorf,Wittenau,11012012,1209
1774557661,Steffis Futterkeks,,"Mo-Th 09:00-12:00,14:00-18:00; Fr 09:00-12:00,14:00-18:30; Sa 09:00-13:00",,,"Steffis Futterkeks, 63, Cranachstraße, Malerviertel, Schöneberg, Tempelhof-Schöneberg, Berlin, 12157, Deutschland",13.3422181,52.4689259,POINT (13.3422181 52.4689259),Tempelhof-Schöneberg,Schöneberg,11007007,0701
1779217862,Fressnapf,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-19:00,+49 30 50018185,https://www.fressnapf.de/stores/fressnapf-berlin-friedrichsfelde/,"Fressnapf, 32, Volkradstraße, Sewanviertel, Friedrichsfelde, Lichtenberg, Berlin, 10319, Deutschland",13.5072413,52.4992451,POINT (13.5072413 52.4992451),Lichtenberg,Friedrichsfelde,11011011,1101
1950643889,BARFER'S,,Mo-Fr 10:00-18:00; Sa 09:00-16:00,,,"BARFER'S, Welfenallee, Frohnau, Reinickendorf, Berlin, 13465, Deutschland",13.289485,52.6316783,POINT (13.289485 52.6316783),Reinickendorf,Frohnau,11012012,1205
1994417989,Das Futterhaus,Das Futterhaus,Mo-Fr 09:00-19:00; Sa 09:00-18:00,,,"Das Futterhaus, 17, Kaiser-Wilhelm-Straße, Lankwitz, Steglitz-Zehlendorf, Berlin, Teltow, 12247, Deutschland",13.336112,52.4303841,POINT (13.336112 52.4303841),Steglitz-Zehlendorf,Lankwitz,11006006,0603
2120280709,Das Futterhaus,Das Futterhaus,Mo-Sa 09:00-20:00,+49 30 85627040,https://www.futterhaus.de/service/filialen/berlin-biesdorf/,"Das Futterhaus, 34, Gülzower Straße, Kaulsdorf-Nord I, Hellersdorf, Marzahn-Hellersdorf, Berlin, 12621, Deutschland",13.5847722,52.5148667,POINT (13.5847722 52.5148667),Marzahn-Hellersdorf,Kaulsdorf,11010010,1003
2431839621,Fressnapf,Fressnapf,"Mo-Fr 09:00-20:00, Sa 09:00-18:00",,,"Fressnapf, Holzhauser Straße, Holzhauser Markt, Borsigwalde, Reinickendorf, Berlin, 13509, Deutschland",13.313977,52.5851788,POINT (13.313977 52.5851788),Reinickendorf,Borsigwalde,11012012,1211
2584826203,Fressnapf,Fressnapf,,,https://www.fressnapf.de/stores/fressnapf-berlin/,"Fressnapf, Waltersdorfer Chaussee, Gartenstadt Rudow – Frauenviertel, Rudow, Neukölln, Berlin, 12355, Deutschland",13.5093021,52.404655,POINT (13.5093021 52.404655),Neukölln,Rudow,11008008,0804
2625367382,Fressnapf,Fressnapf,,,,"Fressnapf, Hansastraße, Weißensee, Pankow, Berlin, 13053, Deutschland",13.4870701,52.5561789,POINT (13.4870701 52.5561789),Pankow,Weißensee,11003003,0302
2782835427,Das Futterhaus,Das Futterhaus,Mo-Sa 09:00-20:00,,,"Das Futterhaus, 6-10, Oraniendamm, Waidmannslust, Reinickendorf, Berlin, 13469, Deutschland",13.3263566,52.6071687,POINT (13.3263566 52.6071687),Reinickendorf,Waidmannslust,11012012,1207
