technical_id,key,object_number,district_id,district,neighborhood,green_area_type,playground_name,playground_suffix,year_built,last_renovation_year,area_sqm,dedication,planning_area_number,planning_area_name,net_play_area_sqm,full_address,latitude,longitude,geometry,osm_name,distance_to_osm
00008100_0016d181,00008100:0016d181,70807,3,Pankow,Prenzlauer Berg,Spielplatz,Schwedter Str. 90,Mauerpark - Jugendfarm Moritzhof,,,901.0,Unknown,3601142.0,Falkplatz,,"Schwedter Str. 90,Falkplatz, Berlin, Germany",52.5479816,13.4003825,POINT (1491723.7563350943 6899820.5400748225),Jugendfarm Moritzhof,12.719051376637497
00008100_0016cf23,00008100:0016cf23,00893,3,Pankow,Niederschönhausen,Spielplatz,Am Bürgerpark 15 - 18,Kinderbauernhof Pinke-Panke,,,7442.0,Unknown,3400620.0,Schönholz,,"Am Bürgerpark 15 - 18,Schönholz, Berlin, Germany",52.5688761,13.3886772,POINT (1490420.7282995118 6903646.442266399),Kinderbauernhof Pinke-Panke,13.867286239878162
00008100_0024be6d,00008100:0024be6d,214320,1,Mitte,Moabit,Spielplatz,Essener Park,Spielbereich,,,60.0,gewidmet,1200522.0,Elberfelder Straße,60.0,"Essener Park,Elberfelder Straße, Berlin, Germany",52.5247296,13.3409899,POINT (1485112.2023462057 6895565.106876095),Essener Park,11.749940898449028
00008100_00104637,00008100:00104637,01102,12,Reinickendorf,Hermsdorf,Spielplatz,Falkentaler Steig 12 (Spielplatz),Unknown,2011.0,,659.3,gewidmet,12400722.0,Hermsdorf West,659.26,"Falkentaler Steig 12 (Spielplatz),Hermsdorf West, Berlin, Germany",52.6207312,13.3033253,POINT (1480919.3982532732 6913149.289072817),Spielplatz Falkentaler Steig 12,3.9281452283688854
00008100_00104638,00008100:00104638,01103,12,Reinickendorf,Hermsdorf,Spielplatz,Dr. Ilse-Kassel-Platz (Spielplatz),zw. Schloßstr. u. Wachsmuthstr.,2017.0,,2188.6,gewidmet,12400723.0,Hermsdorf Ost/Waldsee,2188.6,"Dr. Ilse-Kassel-Platz (Spielplatz),Hermsdorf Ost/Waldsee, Berlin, Germany",52.6169065,13.3130573,POINT (1482002.7595376736 6912447.998970614),Dr.-Ilse-Kassel-Platz,17.26802311758173
00008100_0028c446,00008100:0028c446,R02-25318,10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Kiezpark Schönagelstraße,Spielplatz südlich der Turnhalle,2019.0,,3647.2,gewidmet,10100209.0,Lea-Grundig-Straße,3163.19,"Kiezpark Schönagelstraße,Lea-Grundig-Straße, Berlin, Germany",52.5485302,13.571236,POINT (1510743.0809553429 6899920.968577485),Kiezpark Schönagelstraße,9.804335341081952
00008100_0030533f,00008100:0030533f,PO-28003,10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Spielplatz Marzahner Chaussee,Obstgarten,2023.0,,1799.5,gewidmet,10100311.0,Marzahner Chaussee,1045.71,"Spielplatz Marzahner Chaussee,Marzahner Chaussee, Berlin, Germany",52.5186196,13.5301556,POINT (1506170.0317457588 6894447.267288081),"Spielplatz ""Obstsalat""",13.79728558575433
00008100_000a6c07,00008100:000a6c07,411.251,8,Neukölln,Neukölln,Spielplatz,Finowstraße-Spielplatz,Unknown,2014.0,,1507.0,gewidmet,8100418.0,Hertzbergplatz,1320.0,"Finowstraße-Spielplatz,Hertzbergplatz, Berlin, Germany",52.4816487,13.4427506,POINT (1496440.151652973 6887686.663810289),Finowstraße,0.9787272600576457
00008100_000a6c87,00008100:000a6c87,321.255,8,Neukölln,Britz,Spielplatz,Hannemannstraße-Spielplatz,Unknown,,,1354.0,gewidmet,8200623.0,Park am Buschkrug,1053.0,"Hannemannstraße-Spielplatz,Park am Buschkrug, Berlin, Germany",52.4545078,13.4430712,POINT (1496475.840681721 6882727.217467993),Spielplatz Hannemannstraße,1.302433991451627
00008100_0012d8e5,00008100:0012d8e5,00648,7,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Ekensunder Platz - Spielplatz,"Bolzplatz, Streetball etc",,2002.0,4214.0,gewidmet,7601442.0,Kettinger Straße,1835.0,"Ekensunder Platz - Spielplatz,Kettinger Straße, Berlin, Germany",52.3966583,13.3972919,POINT (1491379.7123168486 6872166.591778873),Ekensunder Platz,3.954058537475075
00008100_0012d9e3,00008100:0012d9e3,00190,7,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Rehagener Platz,Unknown,2020.0,,1245.4,gewidmet,7601547.0,Horstwalder Straße,1245.4,"Rehagener Platz,Horstwalder Straße, Berlin, Germany",52.3841515,13.4029425,POINT (1492008.734231525 6869885.252796623),Rehagener Platz,22.98003390343024
00008100_000a328c,00008100:000a328c,00895,4,Charlottenburg-Wilmersdorf,Schmargendorf,Spielplatz,Krampasplatz - Spielplatz,Spielplatz Krampasplatz,,,240.0,gewidmet,4400832.0,Breite Straße,239.0,"Krampasplatz - Spielplatz,Breite Straße, Berlin, Germany",52.4721855,13.2914885,POINT (1479601.7317046516 6885957.109595559),Spielplatz am Krampasplatz,1.6598131615923903
00008100_000a3287,00008100:000a3287,00787,4,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Habermannplatz - Spielplatz,Spielplatz Habermannplatz,,2004.0,3470.0,gewidmet,4501147.0,Leon-Jessel-Platz,2168.0,"Habermannplatz - Spielplatz,Leon-Jessel-Platz, Berlin, Germany",52.488113,13.3199986,POINT (1482775.4615191168 6888868.333993421),Habermannplatz,9.988085565520777
00008100_000a324d,00008100:000a324d,00944,4,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Wilhelmsaue - Spielplatz,Spielplatz Wilhelmsaue,,2016.0,1667.0,gewidmet,4501150.0,Wilhelmsaue,943.0,"Wilhelmsaue - Spielplatz,Wilhelmsaue, Berlin, Germany",52.4854409,13.3251807,POINT (1483352.3302523568 6888379.854652809),Spielplatz Wilhelmsaue,5.1913293855958464
00008100_000a323d,00008100:000a323d,00882,4,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Holsteinische Str. 45 - Spielplatz,ASP Holsteinische Str.,,,1757.0,gewidmet,4501149.0,Nikolsburger Platz,879.0,"Holsteinische Str. 45 - Spielplatz,Nikolsburger Platz, Berlin, Germany",52.4901471,13.3242353,POINT (1483247.0888057607 6889240.202181646),Abenteuerspielplatz im Güntzelkiez,9.012601110196021
00008100_0016cf29,00008100:0016cf29,79441,3,Pankow,Prenzlauer Berg,Spielplatz,Oderberger Str. 19,Hirschhof,2012.0,,3599.0,gewidmet,3701554.0,Teutoburger Platz,2341.0,"Oderberger Str. 19,Teutoburger Platz, Berlin, Germany",52.539961,13.4081383,POINT (1492587.1280417887 6898352.406236039),Hirschhof,11.052021833660021
00008100_0016cf40,00008100:0016cf40,78981,3,Pankow,Weißensee,Spielplatz,Tassostr. 18,"""Grüner Hering""",2006.0,,4992.0,gewidmet,3500935.0,Behaimstraße,3347.0,"Tassostr. 18,Behaimstraße, Berlin, Germany",52.5496637,13.4518422,POINT (1497452.2239354688 6900128.474755614),Grüner Hering,5.901642687405493
00008100_0016cfd5,00008100:0016cfd5,70588,3,Pankow,Prenzlauer Berg,Spielplatz,Lewaldplatz,Unknown,,2018.0,2501.0,gewidmet,3601243.0,Rodenbergstraße,232.0,"Lewaldplatz,Rodenbergstraße, Berlin, Germany",52.5520387,13.4208652,POINT (1494003.8800691657 6900563.275702801),Lewaldplatz,1.45748960420807
00008100_0014bf1f,00008100:0014bf1f,316700,1,Mitte,Wedding,Spielplatz,Adolfstr. 13,30460,,,4542.0,gewidmet,1401043.0,Antonstraße,2360.0,"Adolfstr. 13,Antonstraße, Berlin, Germany",52.5473767,13.3669478,POINT (1488001.8225562684 6899709.806565996),Zirkusspielplatz,0.0
00008100_0014bf50,00008100:0014bf50,317500,1,Mitte,Wedding,Spielplatz,Utrechter Str. 39,30408,,,509.0,gewidmet,1401048.0,Leopoldplatz,370.0,"Utrechter Str. 39,Leopoldplatz, Berlin, Germany",52.5509179,13.3608539,POINT (1487323.4527113233 6900358.083338387),Kleinkinderspielplatz,24.56530879391564
00008100_0014b8f5,00008100:0014b8f5,237500,1,Mitte,Moabit,Spielplatz,Zwinglistr. 6,20375,,,403.0,gewidmet,1200521.0,Zwinglistraße,305.0,"Zwinglistr. 6,Zwinglistraße, Berlin, Germany",52.5257361,13.3331691,POINT (1484241.5948726095 6895749.263452816),Spielplatz Zick-Zack Zwingli,0.65936851940413
00008100_0014b8cc,00008100:0014b8cc,237400,1,Mitte,Moabit,Spielplatz,Zwinglistr. 18,20374,,,688.0,gewidmet,1200521.0,Zwinglistraße,468.0,"Zwinglistr. 18,Zwinglistraße, Berlin, Germany",52.5258785,13.3292326,POINT (1483803.385697102 6895775.318335564),Spielplatz Zwinglistraße,0.5522615992169236
00008100_0014bb60,00008100:0014bb60,126720,1,Mitte,Mitte,Spielplatz,Koppenplatz,00381,1995.0,1996.0,1311.0,gewidmet,1100309.0,Oranienburger Straße,908.0,"Koppenplatz,Oranienburger Straße, Berlin, Germany",52.5282225,13.3979013,POINT (1491447.550414538 6896204.211410211),Koppenplatz,5.444899455701231
00008100_001043f0,00008100:001043f0,01402,12,Reinickendorf,Heiligensee,Spielplatz,Im Erpelgrund (Spielplatz),Unknown,2016.0,,1412.9,gewidmet,12400619.0,Heiligensee,1412.91,"Im Erpelgrund (Spielplatz),Heiligensee, Berlin, Germany",52.6058642,13.242548,POINT (1474153.7001654832 6910423.646454546),Spielplatz im Erpelgrund,0.0055659739300609416
00008100_00104388,00008100:00104388,01598,12,Reinickendorf,Reinickendorf,Spielplatz,Kienhorstpark (Spielplatz),Unknown,2006.0,,1706.6,gewidmet,12100206.0,Humboldtstraße,1706.6,"Kienhorstpark (Spielplatz),Humboldtstraße, Berlin, Germany",52.5772054,13.3470359,POINT (1485785.2399875417 6905172.092779898),Spielplatz Roedernallee/Kienhorstpark,2.611759754024305
00008100_0010442e,00008100:0010442e,00264,12,Reinickendorf,Märkisches Viertel,Spielplatz,Seggeluchbecken (Spielplatz),Finsterwalder Str./Calauer Str.,2018.0,,4516.1,gewidmet,12601031.0,Lübarser Straße,4516.1,"Seggeluchbecken (Spielplatz),Lübarser Straße, Berlin, Germany",52.6043417,13.3478049,POINT (1485870.8446759616 6910144.571029063),Spielplatz Wolkenhain am Seggeluchbecken,8.550386102764683
00008100_0010443c,00008100:0010443c,00397,12,Reinickendorf,Reinickendorf,Spielplatz,Letteplatz (Spielplatz),Unknown,2011.0,,6355.0,gewidmet,12100101.0,Letteplatz,6355.0,"Letteplatz (Spielplatz),Letteplatz, Berlin, Germany",52.5637071,13.3712928,POINT (1488485.5057437653 6902699.79922234),Letteplatz,5.751336204449891
00008100_00104454,00008100:00104454,00121,12,Reinickendorf,Frohnau,Spielplatz,Ludwig-Lesser-Park (Spielplatz),Unknown,2018.0,,2471.1,gewidmet,12400721.0,Frohnau Ost,2471.1,"Ludwig-Lesser-Park (Spielplatz),Frohnau Ost, Berlin, Germany",52.6395931,13.289282,POINT (1479356.105248216 6916608.669610403),Spielplatz Ludwig-Lesser-Park,3.7370446480816844
00008100_00204159,00008100:00204159,21AS06,11,Lichtenberg,Lichtenberg,Spielplatz,Gotlindestr. 66 / Spielplatz,Unknown,2016.0,,1872.0,gewidmet,11300723.0,Bornitzstraße,1872.0,"Gotlindestr. 66 / Spielplatz,Bornitzstraße, Berlin, Germany",52.5188368,13.4930233,POINT (1502036.483017776 6894487.001899401),Spielplatz Gotlindestr. 66,12.844477733497978
00008100_0019943f,00008100:0019943f,00139,10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Clara-Zetkin-Park II,Spielplatz,1989.0,,2057.0,gewidmet,10100104.0,Golliner Straße,455.4,"Clara-Zetkin-Park II,Golliner Straße, Berlin, Germany",52.5645389,13.5736746,POINT (1511014.5446655913 6902852.126316941),Clara-Zetkin-Park II,47.42406514533315
00008100_00199413,00008100:00199413,00140,10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Clara-Zetkin-Park II,Bolzplatz,1989.0,,419.0,gewidmet,10100104.0,Golliner Straße,418.48,"Clara-Zetkin-Park II,Golliner Straße, Berlin, Germany",52.5645389,13.5736746,POINT (1511014.5446655913 6902852.126316941),Clara-Zetkin-Park II,47.42406514533315
