technical_id,key,object_number,district_id,district,neighborhood,green_area_type,playground_name,playground_suffix,year_built,last_renovation_year,area_sqm,dedication,planning_area_number,planning_area_name,net_play_area_sqm,full_address,latitude,longitude,geometry,osm_name,distance_to_osm
00008100_002f2c6b,00008100:002f2c6b,19441,7,Tempelhof-Schöneberg,Lichtenrade,Spielplatz,Nuthestr. 26,Unknown,,,,Unknown,,Unknown,,"Nuthestr. 26,-, Berlin, Germany",52.3939142,13.3942918,POINT (1491045.7427125196 6871665.990932161),,
00008100_0034b5aa,00008100:0034b5aa,19465,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Ella-Barowsky-Straße 62,Spielplatz,2024.0,,2411.0,Unknown,7200412.0,Schöneberger Linse,,"Ella-Barowsky-Straße 62,Schöneberger Linse, Berlin, Germany",52.4786953,13.3574866,POINT (1486948.606589975 6887146.841837902),,
00008100_00287308,00008100:00287308,320250,1,Mitte,Wedding,Spielplatz,Schönwalder Str. 19,Ballspielplatz; Reickendorfer Str. 6/Kunkelstr.,,,398.0,gewidmet,1300836.0,Humboldthain Nordwest,,"Schönwalder Str. 19,Humboldthain Nordwest, Berlin, Germany",52.5418182,13.3700619,POINT (1488348.4825825477 6898692.33426475),,
00008100_002a7e26,00008100:002a7e26,00798,3,Pankow,Buch,Spielplatz,Wiltbergstr. 29A,Abenteuerspielplatz und Naturerfahrungsraum,,,9330.0,Unknown,3100101.0,Bucher Forst,,"Wiltbergstr. 29A,Bucher Forst, Berlin, Germany",52.6365585,13.4916212,POINT (1501880.4019597347 6916052.0059153875),,
00008100_0014be02,00008100:0014be02,372910,1,Mitte,Wedding,Spielplatz,Malplaquetstr. 29,Federgeräte im Gehwegbereich; 30462,,,168.0,gewidmet,1401048.0,Leopoldplatz,95.0,"Malplaquetstr. 29,Leopoldplatz, Berlin, Germany",52.5512899,13.3581762,POINT (1487025.3725108262 6900426.187289421),,
00008100_0014bf5b,00008100:0014bf5b,342800,1,Mitte,Wedding,Spielplatz,Themsestr. 4,30402,,,126.0,gewidmet,1400941.0,Londoner Straße,121.0,"Themsestr. 4,Londoner Straße, Berlin, Germany",52.5589559,13.3401521,POINT (1485018.938876819 6901829.769844138),,
00008100_0023224b,00008100:0023224b,253320,1,Mitte,Tiergarten,Spielplatz,Tilla-Durieux-Park,Edelstahl-Großwippen; 20703,,,646.0,gewidmet,1100102.0,Großer Tiergarten,645.0,"Tilla-Durieux-Park,Großer Tiergarten, Berlin, Germany",52.5061216,13.3749616,POINT (1488893.9146915877 6892161.211445517),,
00008100_0028f209,00008100:0028f209,24AS01,11,Lichtenberg,Rummelsburg,Spielplatz,Nöldnerstr. 45,Unknown,,2023.0,2536.0,gewidmet,11400928.0,Nöldnerplatz,2536.0,"Nöldnerstr. 45,Nöldnerplatz, Berlin, Germany",52.5018998,13.4758708,POINT (1500127.075451944 6891389.133119643),,
00008100_0019940c,00008100:0019940c,00160,10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Franz-Stenzer-Straße 17/19,allg. Spielplatz,1985.0,,719.0,gewidmet,10100210.0,Marzahner Promenade,718.0,"Franz-Stenzer-Straße 17/19,Marzahner Promenade, Berlin, Germany",52.5451207,13.5440949,POINT (1507721.7475237735 6899296.834745482),,
00008100_0019926e,00008100:0019926e,2306421,10,Marzahn-Hellersdorf,Biesdorf,Spielplatz,Burghardweg 40,Spielplatz Neubau (2014),2015.0,,2273.0,gewidmet,10300732.0,Buckower Ring,1829.21,"Burghardweg 40  ,Buckower Ring, Berlin, Germany",52.5332504,13.5695417,POINT (1510554.4723420918 6897124.26792986),,8.832655564648492
