id,source,landuse,accepted_recycling_items,not_accepted_recycling_items,longitude,latitude,name,name_metadata,entity_type,full_address,contact_combined,website_combined,access_restriction,wheelchair_access,physical_obstacles,environmental_features,floor_level,unit_count,accessibility_features,availability_info,is_operational,geometry,district,neighborhood,neighborhood_id,district_id
26867409,,,['glass_bottles'],,13.296828,52.5013289,Berlin Recycling,['operator: Berlin Recycling'],,"Damaschkestraße, 10711 Berlin",,,,,,,,,,,,POINT (13.296828 52.5013289),Charlottenburg-Wilmersdorf,Charlottenburg,0401,11004004
254985049,,,['clothes'],,13.3205366,52.4839968,,,,"Uhlandstraße, 10715 Berlin",,,,,,,,,,,,POINT (13.3205366 52.4839968),Charlottenburg-Wilmersdorf,Wilmersdorf,0402,11004004
262212828,,,['glass_bottles'],,13.4856806,52.5190209,,,,"Rutnikstraße, 10367 Berlin",,,,,,,,,,,,POINT (13.4856806 52.5190209),Lichtenberg,Lichtenberg,1103,11011011
267093410,,,['glass_bottles'],,13.5928941,52.5084566,,,,"Münsterberger Weg, 12621 Berlin",,,,,,,,,,,,POINT (13.5928941 52.5084566),Marzahn-Hellersdorf,Kaulsdorf,1003,11010010
272619379,survey,,['glass_bottles'],,13.4556341,52.5218288,,,,"Thaerstraße, 10249 Berlin",,,,,,,,,,,,POINT (13.4556341 52.5218288),Friedrichshain-Kreuzberg,Friedrichshain,0201,11002002
272619880,,,['glass_bottles'],,13.4535179,52.5258487,,,,"Hausburgstraße, 10249 Berlin",,,,,,,,,,,,POINT (13.4535179 52.5258487),Friedrichshain-Kreuzberg,Friedrichshain,0201,11002002
273174898,,,['glass_bottles'],,13.2984812,52.4576525,Rhenus,['operator: Rhenus'],,"Arnimallee, 14195 Berlin",,,,,,,,,,,,POINT (13.2984812 52.4576525),Steglitz-Zehlendorf,Dahlem,0605,11006006
280752631,,,['glass_bottles'],,13.5763842,52.553359,,,,"Grumsiner Straße, 12679 Berlin",,,,,,,,,,,,POINT (13.5763842 52.553359),Marzahn-Hellersdorf,Marzahn,1001,11010010
280938557,,,['glass_bottles'],,13.4794521,52.5263492,,,,"Möllendorffstraße, 10367 Berlin",,,,,,,,,,,,POINT (13.4794521 52.5263492),Lichtenberg,Fennpfuhl,1111,11011011
281962480,,,['glass_bottles'],,13.4516945,52.5473847,,,,"Bizetstraße, 13088 Berlin",,,,,,,,,,,,POINT (13.4516945 52.5473847),Pankow,Weißensee,0302,11003003
