religious_id,name,religion,denomination,building_type,street,housenumber,postcode,suburb,city,operator,website,contact_phone,contact_email,wheelchair_accessible,service_times,opening_hours,heritage,historic,latitude,longitude,source
29040731,Sultan Ahmed Camii,muslim,,,,,,,,,,,,yes,,,,,52.5347753,13.3587758,
29209127,"Kirchhof Jerusalem und Neue Kirche I, II und III",christian,,,,,,,,,,,,limited,,,,,52.495182,13.390379,
248702772,Martin-Luther-Kapelle,christian,protestant,,,,,,,,,,,,,,,,52.6010205,13.2966171,
289795838,St. Wilhelm,christian,catholic,,Weißenburger Straße,9-11,13595,Wilhelmstadt,Berlin,,,+49 30 3632055,,,,,,,52.5225069,13.1954192,
292201931,Stadtmission Gemeinde Friedrichshagen,christian,protestant,,Bölschestraße,135,12587,Friedrichshagen,Berlin,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-frhagen,,,,,,,,52.4475005,13.623567,
332997622,Evangelische Weihnachtskirche,christian,protestant,,Haselhorster Damm,56,13599,Haselhorst,Berlin,,https://www.ev-weihnachtskirche.de,,,,Su 10:00,,,,52.5471682,13.2371169,
333459517,Evangelisch Freikirchliche Gemeinde Kreuzberg,christian,baptist,,Bergmannstraße,22,10961,,Berlin,,https://www.efg-kreuzberg.de/,,,limited,Su 11:00,,,,52.4889329,13.3936149,
336571772,Adventgemeinde Waldfriede,christian,seventh_day_adventist,,Argentinische Allee,40,14163,Zehlendorf,Berlin,,http://www.adventgemeinde-waldfriede.de/,,,,,,,,52.4441803,13.2410362,Geoportal Berlin / k5_2012_sw_sued.zip
355960992,Raum der Stille,multifaith,,,Pariser Platz,8,10117,Mitte,Berlin,,,,raum-der-stille@berlin.de,no,,11:00-18:00,,,52.5165081,13.3779152,
441734644,Freie evangelische Bibel-Baptisten-Gemeinde,christian,baptist,,Richardstraße,28,12043,Neukölln,Berlin,Freie evangelische Bibel-Baptisten-Gemeinde e.V.,,,kontakt@bibel-baptisten-berlin.de,limited,"Su 11:00 open ""Gottesdienst""; We 19:00 open ""Gebetskreis""; Fr 18:00 open ""Bibelkreis""",,,,52.4759311,13.44285,
474359499,Adventgemeinde Köpenick,christian,seventh_day_adventist,,,,,,,,,,,,,,,,52.4567902,13.5821835,
535628093,Inssan-Moschee,muslim,,,,,,,,,,,,limited,,,,,52.4981271,13.4012798,
540969924,Quaker Meeting,christian,quaker,,Planckstraße,20,10117,Mitte,Berlin,,http://quaeker-berlin.de/,,,,,Su 11:00-12:00,,,52.520803,13.3899554,
601062306,Mater Dolorosa Kirche,christian,,,Röbellweg,61,13125,Buch,Berlin,,http://www.katholische-kirche-berlin-buch.de/,,,yes,,,,,52.6417777,13.4965275,
676083788,Fo-Guang-Shan-Tempel,buddhist,,,Ackerstraße,85-86,13355,Gesundbrunnen,Berlin,Fo-Guang-Shan-Tempel Berlin e.V.,http://fgs-tempel.de,+49 30 4137621,,no,,Mo-Sa off; Su 10:00-17:00,,,52.5398697,13.382321,
701838306,Evangelisch-Freikirchliche Gemeinde K.d.ö.R.,christian,baptist,,Alt-Reinickendorf,32,13407,Reinickendorf,Berlin,,https://www.efg-reinickendorf.de/,,,yes,Su 10:00,,,,52.5751911,13.3499542,
945925159,Sri Ganesha Hindu Tempel,hindu,,,Hasenheide,106,10967,Neukölln,Berlin,Sri Ganesha Hindu Tempel e. V.,,,info@hindutempelberlin.de,no,,Mo-Su 16:00-18:00,,,52.4867779,13.4207705,
948654862,Gemeindezentrum ev. Kirchengemeinde Rudow,christian,lutheran,,Geflügelsteig,22-28,12355,Rudow,Berlin,,,,,limited,,,,,52.4084661,13.4814178,
977654857,,christian,,,,,,,,,,,,yes,,,,,52.6185361,13.48765,
1026420272,,christian,protestant,,,,,,,,,,,,,,,,52.5504382,13.2696435,
1135452610,Katholische Gemeinde St. Lambertus,christian,catholic,,Cautiusstraße,6,13587,Hakenfelde,Berlin,,,,,yes,,,,,52.5618242,13.1990851,
1232194996,Thomas Gemeinde,christian,evangelical,,Bergstraße,92,12169,Steglitz,Berlin,,,+49 30 804 09090,,,,,,,52.4585319,13.3277379,
