,religious_id,name,religion,denomination,institution_type,street,housenumber,postcode,website,phone_number,email,wheelchair_accessible,service_times,opening_hours,heritage,historic,geometry,geom_point,latitude,longitude,wikidata,wikipedia,address,denomination_std,district,neighborhood,neighborhood_id,district_id
0,29040731,Sultan Ahmed Camii,muslim,,,,,,,,,yes,,,,,POINT (13.3587758 52.5347753),POINT (13.3587758 52.5347753),52.5347753,13.3587758,,,,,Mitte,Moabit,0102,11001001
1,29209127,"Kirchhof Jerusalem und Neue Kirche I, II und III",christian,,,,,,,,,limited,,,,,POINT (13.390379 52.495182),POINT (13.390379 52.495182),52.495182,13.390379,,,,general_christian,Friedrichshain-Kreuzberg,Kreuzberg,0202,11002002
2,248702772,Martin-Luther-Kapelle,christian,protestant,,,,,,,,,,,,,POINT (13.2966171 52.6010205),POINT (13.2966171 52.6010205),52.6010205,13.2966171,,,,protestant,Reinickendorf,Tegel,1202,11012012
3,289795838,St. Wilhelm,christian,catholic,,Weißenburger Straße,9-11,13595,,+49 30 3632055,,,,,,,POINT (13.1954192 52.5225069),POINT (13.1954192 52.5225069),52.5225069,13.1954192,,,"Weißenburger Straße, 9-11, Wilhelmstadt, Berlin, 13595",roman_catholic,Spandau,Wilhelmstadt,0509,11005005
4,292201931,Stadtmission Gemeinde Friedrichshagen,christian,protestant,,Bölschestraße,135,12587,https://www.berliner-stadtmission.de/gem-frhagen,,,,,,,,POINT (13.623567 52.4475005),POINT (13.623567 52.4475005),52.4475005,13.623567,,,"Bölschestraße, 135, Friedrichshagen, Berlin, 12587",protestant,Treptow-Köpenick,Friedrichshagen,0911,11009009
5,332997622,Evangelische Weihnachtskirche,christian,protestant,,Haselhorster Damm,56,13599,https://www.ev-weihnachtskirche.de,,,,Su 10:00,,,,POINT (13.2371169 52.5471682),POINT (13.2371169 52.5471682),52.5471682,13.2371169,Q1149371,de:Weihnachtskirche (Spandau),"Haselhorster Damm, 56, Haselhorst, Berlin, 13599",protestant,Spandau,Haselhorst,0502,11005005
6,333459517,Evangelisch Freikirchliche Gemeinde Kreuzberg,christian,baptist,,Bergmannstraße,22,10961,https://www.efg-kreuzberg.de/,,,limited,Su 11:00,,,,POINT (13.3936149 52.4889329),POINT (13.3936149 52.4889329),52.4889329,13.3936149,,,"Bergmannstraße, 22, Berlin, 10961",baptist,Friedrichshain-Kreuzberg,Kreuzberg,0202,11002002
7,336571772,Adventgemeinde Waldfriede,christian,seventh_day_adventist,,Argentinische Allee,40,14163,http://www.adventgemeinde-waldfriede.de/,,,,,,,,POINT (13.2410362 52.4441803),POINT (13.2410362 52.4441803),52.4441803,13.2410362,,,"Argentinische Allee, 40, Zehlendorf, Berlin, 14163",adventist,Steglitz-Zehlendorf,Zehlendorf,0604,11006006
8,355960992,Raum der Stille,multifaith,,,Pariser Platz,8,10117,,,raum-der-stille@berlin.de,no,,11:00-18:00,,,POINT (13.3779152 52.5165081),POINT (13.3779152 52.5165081),52.5165081,13.3779152,,,"Pariser Platz, 8, Mitte, Berlin, 10117",,Mitte,Mitte,0101,11001001
9,441734644,Freie evangelische Bibel-Baptisten-Gemeinde,christian,baptist,,Richardstraße,28,12043,,,kontakt@bibel-baptisten-berlin.de,limited,"Su 11:00 open ""Gottesdienst""; We 19:00 open ""Gebetskreis""; Fr 18:00 open ""Bibelkreis""",,,,POINT (13.44285 52.4759311),POINT (13.44285 52.4759311),52.4759311,13.44285,,,"Richardstraße, 28, Neukölln, Berlin, 12043",baptist,Neukölln,Neukölln,0801,11008008
