type,id,lat,lon,tags.addr:city,tags.addr:country,tags.addr:housenumber,tags.addr:postcode,tags.addr:street,tags.addr:suburb,tags.amenity,tags.check_date:opening_hours,tags.compressed_air,tags.fuel:adblue,tags.fuel:biodiesel,tags.fuel:diesel,tags.fuel:e10,tags.fuel:octane_95,tags.fuel:octane_98,tags.name,tags.opening_hours,tags.operator,tags.shop,tags.wheelchair,tags.brand,tags.brand:wikidata,tags.brand:wikipedia,tags.fuel:GTL_diesel,tags.fuel:biogas,tags.fuel:cng,tags.fuel:lpg,tags.fuel:octane_102,tags.surveillance,tags.website,tags.check_date,tags.dog,tags.email,tags.fax,tags.phone,tags.start_date,tags.indoor_seating,tags.organic,tags.outdoor_seating,tags.smoking,tags.opening_hours:signed,tags.diet:halal,tags.level,tags.payment:credit_cards,tags.payment:debit_cards,tags.payment:apple_pay,tags.payment:cards,tags.payment:cash,tags.payment:google_pay,tags.payment:paypal,tags.drink:club-mate,tags.entrance,tags.FIXME,tags.created_by,tags.name:signed,tags.toilets:wheelchair,tags.wheelchair:description,tags.noname,tags.post_office,tags.post_office:service_provider,tags.lottery,tags.post_office:brand,tags.post_office:ref,tags.origin,tags.alt_name,tags.cuisine,tags.ref:vatin,tags.name:de,tags.name:en,tags.addr:floor,tags.air_conditioning,tags.contact:instagram,tags.contact:website,tags.internet_access,tags.stroller,tags.toilets,tags.access:covid19,tags.delivery:covid19,tags.post_office:type,tags.contact:fax,tags.contact:phone,tags.name:ru,tags.opening_hours:covid19,tags.takeaway:covid19,tags.internet_access:fee,tags.atm,tags.atm:operator,tags.note:de,tags.ref:Hermes,tags.description,tags.coffee,tags.tobacco,tags.post_office:brand:wikidata,tags.note,tags.operator:wikidata,tags.ref,tags.currency:EUR,tags.source,tags.diet:gluten_free,tags.leisure,tags.cafe,tags.payment:coins,tags.vending:sweets,tags.vending:toys,tags.service:phone,tags.type,tags.diet:kosher,tags.diet:vegetarian,tags.post_box,tags.operator:wikipedia,tags.changing_table,tags.payment:mastercard,tags.payment:visa,tags.second_hand,tags.toilets:menstrual_products,tags.takeaway,tags.toilets:access,tags.parcel_pickup,tags.drink:coffee,tags.sells:tobacco,tags.name:zh,tags.addr:housename,tags.fixme,tags.contact:mobile,tags.dry_cleaning,tags.ice_cream,tags.drink:beer,tags.tickets:public_transport,tags.diet:vegan,tags.branch,tags.bulk_purchase,tags.diet:organic,tags.frozen_yogurt,tags.reusable_packaging:offer,tags.contact:email,tags.lgbtq,tags.post_office:letter,tags.post_office:parcel_to,tags.addr:place,tags.post_office:parcel_from,tags.post_office:parcel_pickup,tags.ref:deutsche_post,tags.tourism,tags.fair_trade,tags.payment:contactless,tags.payment:maestro,tags.payment:v_pay,tags.payment:app,tags.mapillary,tags.opening_date,tags.disused:name,tags.contact:facebook,tags.post_office:operator,tags.cash_in,tags.survey:date,tags.post_office:letter_from,tags.post_office:packaging,tags.post_office:stamps,tags.payment:girocard,tags.description:en,tags.old_name,tags.old_addr:housenumber,tags.old_addr:street,tags.reusable_packaging:accept,tags.wikidata,tags.wikipedia,tags.zero_waste,tags.not:brand:wikidata,tags.post_office:post_bank,tags.building,tags.roof:material,tags.roof:shape,tags.vending,tags.layer,tags.disused:shop,tags.service:copy,tags.service:fax,tags.service:scan,tags.self_checkout,tags.payment:american_express,tags.payment:notes,tags.payment:telephone_cards,tags.check_date:diet:gluten_free,tags.check_date:diet:halal,tags.payment:credit_cards:min_payment,tags.loc_name,tags.delivery,tags.bicycle,tags.craft,tags.indoor:level,tags.name:bg,tags.name:fa,tags.ramp:wheelchair,tags.toilets:charge,tags.smoking:outside,tags.description:name,tags.name:ar,tags.post_office:service_provider:wikidata,tags.wheelchair:description:de,tags.wheelchair:description:en,tags.payment:account_cards,tags.payment:alipay,tags.payment:bancomat,tags.payment:blik,tags.payment:cheque,tags.payment:clipper,tags.payment:cryptocurrencies,tags.payment:diners_club,tags.payment:discover_card,tags.payment:dkv,tags.payment:electronic_purses,tags.payment:ep_easycard,tags.payment:ep_geldkarte,tags.payment:ep_ipass,tags.payment:jcb,tags.payment:mastercard_contactless,tags.payment:prepaid_ticket,tags.payment:unionpay,tags.payment:uta,tags.payment:visa_debit,tags.payment:visa_electron,tags.payment:wechat,tags.check_date:currency:XBT,tags.currency:XBT,tags.payment:lightning,tags.payment:lightning_contactless,tags.payment:onchain,tags.description:de,tags.payment:ec,tags.payment:ec_cards,tags.safety:hand_sanitizer:covid19,tags.sells:lottery,tags.sells:public_transport_tickets,tags.description:pl,tags.ref:DeutschePost,tags.golf,tags.cash_withdrawal:type,tags.post_office:opening_hours,tags.money_transfer,tags.mobile,tags.fuel:HGV_diesel,tags.fuel:octane_100,tags.post_office:id_check,tags.name:ko,tags.public_transport,tags.ticket
node,26867411,52.5019744,13.2944957,Berlin,DE,14,10711,Heilbronner Straße,Halensee,fuel,2022-04-01,yes,yes,yes,yes,yes,yes,yes,Bavaria petrol,Mo-Fr 07:00-22:00; Sa 08:00-22:00,Bavaria Petrol,kiosk,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29997723,52.5083702,13.2809474,Berlin,DE,8-10,14057,Messedamm,,fuel,,yes,yes,,yes,yes,yes,,Aral,24/7,Anne Notzke,kiosk,yes,Aral,Q565734,en:Aral AG,yes,yes,yes,yes,yes,outdoor,https://tankstelle.aral.de/tankstelle/berlin/messedamm-6/28601500/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,63253672,52.4993218,13.2961178,Berlin,DE,39,10711,Joachim-Friedrich-Straße,Halensee,,,,,,,,,,Späti Joe,24/7,,convenience,,,,,,,,,,,,2025-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,253616592,52.5110467,13.4626981,,,,,,,,2025-09-04,,,,,,,,Mein Markt Pham,Mo-Fr 08:00-20:00; Sa 08:00-19:00,,convenience,limited,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266629404,52.5092086,13.5874999,Berlin,DE,45,12621,Mädewalder Weg,Kaulsdorf,,,,,,,,,,...nah und gut,Mo-Fr 07:00-19:00; Sa 07:00-13:00; PH off,Heinz Vollack,convenience,no,EDEKA,Q701755,,,,,,,,,,,e-markt-vollack@t-online.de,+49 30 56698089,+49 30 5677706,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,268424318,52.5966222,13.2909504,,,,,,,,,,,,,,,,,,,kiosk,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,269475044,52.501786,13.4165373,Berlin,DE,20,10999,Dresdener Straße,Kreuzberg,fast_food,2022-04-19,,,,,,,,Milchladen,Mo-Fr 11:00-18:00; Su 13:00-18:00,,convenience,no,,,,,,,,,,,,,,,,,yes,only,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,270719151,52.4346233,13.3424786,Berlin,,14a,12247,Dillgesstraße,,,,,,,,,,,Zeitungskiosk Bagci,,,kiosk,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271419848,52.5289708,13.3159246,Berlin,DE,,,,Moabit,,2025-10-16,,,,,,,,Berlin Tag und Nacht 2,,,kiosk,limited,,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,277681454,52.4990942,13.3931869,,,,,,,,,,,,,,,,Bagdad Lebensmittel,,,convenience,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
