name,name_key,amenity,operator,opening_hours,wheelchair,cinema,cinema_type,cinema_3d,screen,theatre_type,theatre_genre,website,phone,email,wikipedia,wikidata,addr_housenumber,addr_street,addr_postcode,addr_city,addr_country,addr_full,lat_num,lon_num,source,multi_branch,wheelchair_accessible
Filmrauschpalast,filmrauschpalast,cinema,Filmrausch Moabit e.V.,,no,,,,1,,,https://www.filmrausch.de/,+49303844344,info@filmrausch.de,,,35,Lehrter Straße,10557,Berlin,DE,Lehrter Straße 35 10557 Berlin,52.534378399999994,13.3596231,osm,False,False
Friedrichstadt-Palast,friedrichstadt-palast,theatre,,,yes,,,,,,,https://www.palast.berlin/,+493023262326,,de:Friedrichstadtpalast,Q565670,107,Friedrichstraße,10117,Berlin,DE,Friedrichstraße 107 10117 Berlin,52.5239216,13.3888786,osm,False,True
Quatsch Comedy Club,quatsch-comedy-club,theatre,,,limited,,,,,,stand_up_comedy,https://www.quatsch-comedy-club.de/,+493027879030,,de:Quatsch Comedy Club,Q1791352,107,Friedrichstraße,10117,Berlin,DE,Friedrichstraße 107 10117 Berlin,52.5236239,13.388621099999998,osm,False,True
Kabarett-Theater Distel,kabarett--distel,theatre,Martin Maier-Bode,,yes,,,,,,,http://www.distel-berlin.de,+49302030000,distel@distel-berlin.de,de:Die Distel,Q1211965,101,Friedrichstraße,10117,Berlin,DE,Friedrichstraße 101 10117 Berlin,52.520666899999995,13.3885051,osm,False,True
Admiralspalast,admiralspalast,theatre,,,limited,,,,,,,https://www.admiralspalast.theater/,+493047997499,,de:Admiralspalast,Q359242,101,Friedrichstraße,10117,Berlin,DE,Friedrichstraße 101 10117 Berlin,52.520771399999994,13.388902099999997,osm,False,True
CineStar,cinestar,cinema,,Mo-Su 13:30-23:00,yes,,,,,,,,,,,,,,,,,,52.583919200000004,13.2860048,osm,True,True
Die Wühlmäuse,die-wühlmäuse,theatre,,,yes,,,,,,,https://www.wuehlmaeuse.de/,+493030673011,,,Q1217653,2-4,Pommernallee,14052,Berlin,DE,Pommernallee 2-4 14052 Berlin,52.5088651,13.2707514,osm,False,True
UCI Am Eastgate,uci-am-eastgate,cinema,,"""30min vor Vorstellungsbeginn""",yes,,,,,,,https://www.uci-kinowelt.de/kinoprogramm/berlin-am-eastgate/44,+493093030260,,,Q47117136,176-178,Märkische Allee,12681,Berlin,DE,Märkische Allee 176-178 12681 Berlin,52.54175159999999,13.542027499999998,osm,False,True
HAU 2 (Hebbel am Ufer),hau-2-hebbel-am-ufer,theatre,,,yes,,,,,,,https://www.hebbel-am-ufer.de/,+493025900427,info@hebbel-am-ufer.de,de:Hebbel am Ufer,Q1592694,34,Hallesches Ufer,10963,Berlin,DE,Hallesches Ufer 34 10963 Berlin,52.49911409999999,13.3858716,osm,False,True
Sophiensæle,sophiensæle,theatre,Sophiensæle GmbH,,yes,,,,,,,https://www.sophiensaele.com/,+49302825266,info@sophiensaele.com,de:Sophiensäle,Q1492210,18,Sophienstraße,10178,Berlin,DE,Sophienstraße 18 10178 Berlin,52.52588250000001,13.401602199999997,osm,False,True
Kino Intimes,intimes,cinema,,"Mo-Fr 13:30-18:00+, Sa,Su 12:00-18:00+",yes,,,,2,,,https://www.kino-zeit.de/kinoprogramm/berlin/kino-intimes-berlin,,,,Q47155856,107,Boxhagener Straße,10245,Berlin,DE,Boxhagener Straße 107 10245 Berlin,52.5129109,13.4581955,osm,False,True
Kino Babylon,babylon,cinema,,"Mo-Fr 17:00+;  Sa,Su ""eine halbe Stunde vor der ersten Vorstellung""",limited,,,,,,,http://www.babylonberlin.de,+49302425969,,de:Babylon (Kino),Q1742238,30,Rosa-Luxemburg-Straße,10178,Berlin,DE,Rosa-Luxemburg-Straße 30 10178 Berlin,52.52589889999999,13.4114358,osm,False,True
Berliner Kriminaltheater,berliner-kriminaltheater,theatre,BKT Bühnen und Betriebs GmbH,,yes,,,,,,,http://www.kriminaltheater.de/,+493047997488,info@kriminaltheater.de,de:Berliner Kriminal Theater,Q821599,48,Palisadenstraße,10243,Berlin,DE,Palisadenstraße 48 10243 Berlin,52.518203699999994,13.4399455,osm,False,True
Cineplex,cineplex,cinema,,"Su-Th 09:30-22:30, Fr,Sa 09:30-00:30",limited,,,,,,,http://www.cineplex.de,+491805050211,,,Q47079139,,,,,,,52.538500899999995,13.2063427,osm,True,True
Schaubühne am Lehniner Platz,schaubühne-am-lehniner-platz,theatre,Gemeinnützige Theaterbetriebs GmbH,Mo-Sa 11:00-18:30;  Su 15:00-18:30,yes,,,,,stage,drama,https://www.schaubuehne.de,+4930890023+4930890020,ticket@schaubuehne.de,de:Schaubühne am Lehniner Platz,Q569461,153,Kurfürstendamm,10709,Berlin,DE,Kurfürstendamm 153 10709 Berlin,52.498660599999994,13.3022747,osm,False,True
Ratibortheater,ratibortheater,theatre,Harald Klenk,,yes,,,,,,,https://www.ratibortheater.de/,+49306186199,ratibortheater@t-online.de,,,20a,Cuvrystraße,10997,Berlin,DE,Cuvrystraße 20a 10997 Berlin,52.49768619999999,13.442977499999998,osm,False,True
Kino Spreehöfe,spreehöfe,cinema,,"""Unterschiedlich, je nach Spielplan.""",limited,,,,,,,https://www.kino-spreehoefe.de,+49305389590,,,Q34991764,89,Wilhelminenhofstraße,12459,Berlin,DE,Wilhelminenhofstraße 89 12459 Berlin,52.4620593,13.5121795,osm,False,True
Cosima,cosima,cinema,,,no,,,,1,,,http://cosima-filmtheater.de/,,,,Q47012920,10,Sieglindestraße,12159,Berlin,,Sieglindestraße 10 12159 Berlin,52.4769552,13.330452299999997,osm,False,False
Kino Toni & Tonino,toni-tonino,cinema,,Mo-Su 09:00-22:00,yes,,,,,,,https://www.kino-toni.de/,+493092791200,,,Q40289735,1,Antonplatz,13086,Berlin,DE,Antonplatz 1 13086 Berlin,52.5488199,13.4509296,osm,False,True
Verlängertes Wohnzimmer,verlängertes-wohnzimmer,theatre,,,,,,,,,,,,,,,91,Frankfurter Allee,10247,Berlin,DE,Frankfurter Allee 91 10247 Berlin,52.5142329,13.4721701,osm,False,
Deutsche Oper Berlin,deutsche-oper-berlin,theatre,Stiftung Oper in Berlin,,yes,,,,,opera_house,opera,https://www.deutscheoperberlin.de/,+493034384343,info@deutscheoperberlin.de,de:Deutsche Oper Berlin,Q637834,35,Bismarckstraße,10627,Berlin,DE,Bismarckstraße 35 10627 Berlin,52.51214409999998,13.308377099999998,osm,False,True
Theater an der Parkaue,an-der-parkaue,theatre,,,yes,,,,,,,http://www.parkaue.de,+49305577520,info@parkaue.de,de:Theater an der Parkaue,Q2416046,29,Parkaue,10367,Berlin,DE,Parkaue 29 10367 Berlin,52.51699299999999,13.4772031,osm,False,True
Cinema,cinema,cinema,,,limited,,,,,,,https://www.cineplex.de/berlin-titania/,+49308523004,,,Q47012912,111,Bundesallee,12161,Berlin,DE,Bundesallee 111 12161 Berlin,52.46693969999999,13.328619599999998,osm,False,True
Kino im Kulturhaus Spandau,im-kulturhaus-spandau,cinema,,,yes,,,,,,,http://www.kinoimkulturhaus.de/,+4930333402122,,,Q47079217,,,,,,,52.5354615,13.202458399999998,osm,False,True
Scheinbar Varieté,scheinbar-varieté,theatre,Scheinbar Varieté e.V.,,no,,,,,,variety,http://www.scheinbar.de,+49307845539,mirjam@scheinbar.de,,,9,Monumentenstraße,10829,Berlin,DE,Monumentenstraße 9 10829 Berlin,52.488116899999994,13.366735,osm,False,False
Kant Kino,kant,cinema,Yorck Kinogruppe,"""Öffnungszeiten: immer 30 Minuten vor der ersten Vorstellung""",limited,,,,5,,,https://yorck.de/kinos/kant-kino,+49303199866,,,Q42297621,54,Kantstraße,10627,Berlin,DE,Kantstraße 54 10627 Berlin,52.5067663,13.308428199999998,osm,False,True
CineStar,cinestar,cinema,,,yes,,,,,,,,,,,Q47117283,,,,,,,52.53779750000001,13.604115099999998,osm,True,True
Theater Thikwa (F40),thikwa-f40,theatre,Theater Thikwa e.V.,,yes,,,,,,,https://www.thikwa.de/,+49306146467,mail@thikwa.de,,,40,Fidicinstraße,10965,Berlin,DE,Fidicinstraße 40 10965 Berlin,52.487373799999986,13.3883479,osm,False,True
Komische Oper Berlin,komische-oper-berlin,theatre,Stiftung Oper in Berlin,,yes,,,,,opera_house,opera,https://www.komische-oper-berlin.de/,+493047997400,,de:Komische Oper Berlin,Q687694,55-57,Behrenstraße,10117,Berlin,DE,Behrenstraße 55-57 10117 Berlin,52.515664799999996,13.3869856,osm,False,True
Sputnik Kino,sputnik,cinema,,,limited,,,,2,,,https://www.sputnik-kino.com/,+49306941147,,,Q47155393,54,Hasenheide,10967,Berlin,DE,Hasenheide 54 10967 Berlin,52.48999140000001,13.410146599999997,osm,False,True
