addr_city,addr_housenumber,addr_postcode,addr_street,capacity_raw,coord_raw,entity_type,lat,lon,name,name_key,operator,owner,phone,source,street,street_norm,website,wikidata_id
Berlin,172,10783,Potsdamer Straße 170-,,Point(13.359166666 52.494722222),cinema,52.494722222,13.359166666,Berliner Sportpalast,berliner-sportpalast,,,,wikidata,"Potsdamer Straße 170–172, 10783 Berlin","Potsdamer Straße 170-172, 10783 Berlin",,Q686156
,,10557,,,Point(13.3648 52.5188),cinema,52.5188,13.3648,Haus der Kulturen der Welt,haus-der-kulturen-der-welt,,,+49 30 39 78 71 75,wikidata,,,https://www.hkw.de/,Q704933
Berlin,7,10997,Cuvrystraße,,Point(13.44506 52.49919),cinema,52.49919,13.44506,Lido,lido,,,,wikidata,"Cuvrystraße 7, 10997 Berlin","Cuvrystraße 7, 10997 Berlin",https://www.lido-berlin.de,Q47155480
Berlin,84,10405,Greifswalder Straße 81-,,Point(13.439105555 52.540927777),cinema,52.540927777,13.439105555,Schaubude Berlin,schaubude-berlin,,,,wikidata,"Greifswalder Straße 81-84, 10405 Berlin","Greifswalder Straße 81-84, 10405 Berlin",,Q43061296
,,,,,Point(13.344690105 52.507417709),cinema,52.507417709,13.344690105,Marmorsaal im Zoologischen Garten Berlin,marmorsaal-im-zoologischen-garten-berlin,,,,wikidata,,,,Q106873768
Berlin,100,12683,Prignitzstraße,,Point(13.5512 52.523),cinema,52.523,13.5512,Bio,bio,,,,wikidata,"Prignitzstraße 100, 12683 Berlin","Prignitzstraße 100, 12683 Berlin",,Q47116902
Berlin,15,12621,Alt-Kaulsdorf,,Point(13.582 52.5054),cinema,52.5054,13.582,Volks-Lichtspiele,volks-lichtspiele,,,,wikidata,"Alt-Kaulsdorf 15, 12621 Berlin","Alt-Kaulsdorf 15, 12621 Berlin",,Q47116930
Berlin,76,12623,Hönower Straße,,Point(13.6125 52.5118),cinema,52.5118,13.6125,Gloria,gloria,,,,wikidata,"Hönower Straße 76, 12623 Berlin","Hönower Straße 76, 12623 Berlin",,Q47117004
Berlin,54,12685,Alt-Marzahn,,Point(13.5611 52.5428),cinema,52.5428,13.5611,Alt-Marzahn 54,alt-marzahn-54,,,,wikidata,"Alt-Marzahn 54, 12685 Berlin","Alt-Marzahn 54, 12685 Berlin",,Q47117121
Berlin,12,12681,Helene-Weigel-Platz,,Point(13.5424 52.5265),cinema,52.5265,13.5424,Sojus,sojus,,,,wikidata,"Helene-Weigel-Platz 12, 12681 Berlin","Helene-Weigel-Platz 12, 12681 Berlin",,Q47117127
