element,id,source_osm_id,name,addr:street,addr:housenumber,addr:postcode,addr:city,phone,contact:phone,email,contact:email,website,contact:website,opening_hours,operator,wheelchair,wheelchair:description,emergency,lat,lon
node,268917040,node/268917040,Tierarztpraxis am Urban,Baerwaldstraße,69,10961,Berlin,,,,,,,"Mo-Sa 10:00-12:00, Mo 17:00-19:00, Tu,We,Fr 16:00-18:00, Th 17:00-19:00",,no,,,52.49568420000001,13.4052329
node,299795048,node/299795048,Dr. med. vet. Elke Hartwig,Straße 48,67,13125,Berlin,+49 30 9437820,,,,http://www.tierarztpraxis-hartwig.de/,,"Mo,Tu,Th,Fr 10:00-12:00, Mo-Fr 15:00-18:00",,limited,,,52.60628629999999,13.4795548
node,347294456,node/347294456,Tierarztpraxis Dr. Bernhard Sörensen,Königsberger Straße,36,12207,Berlin,+49 30 7738321,,,,https://www.tierarztpraxis-soerensen.de/,,"Mo-Fr 09:00-20:00; Sa, Su 10:00-18:00",,yes,,,52.4297216,13.3201326
node,394867279,node/394867279,Tierarztpraxis Jeanette Koepsel,,,,,,,,,,,,,,,,52.5351995,13.270573399999998
node,411550894,node/411550894,Kleintierarztpraxis Berlin Kaulsdorf,Planitzstraße,19,12621,Berlin,+49 30 53018585,,info@tierarzt-kaulsdorf.de,,https://www.tierarzt-kaulsdorf.de/,,"Mo-Fr 09:00-19:00 open ""tel. Terminvereinbarung erforderlich"", week 01-53/2 Sa 09:00-12:00 open ""tel. Terminvereinbarung erforderlich""; Dec 23-26 off; Dec 31-Jan 02 off; PH off",Dr. Berit Miels;Dr. Mathias Kochert,,,,52.50951139999999,13.5896353
node,581887970,node/581887970,Eva Klein,,,,,,,,,,,,,,,,52.4288173,13.1935291
node,603392630,node/603392630,Klein- und Heimtierklinik,Oertzenweg,19b,14163,Berlin,,,,,https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,,"Mo-Fr 09:00-13:00,14:00-16:00",Freie Universität Berlin,yes,,yes,52.4302981,13.237359599999998
node,702363921,node/702363921,Tierarztpraxis im Frauenviertel - Firchow,,,,,,,,,,,"Mo-Fr 10:00-12:00, Mo,Tu,Th 17:00-19:00, Fr 16:00-18:00",,limited,,,52.4042597,13.5071658
node,703135335,node/703135335,Kleintierpraxis Kladow,Zingerleweg,29,14089,Berlin,,+49 30 3653374,,info@kleintierpraxis-kladow.de,,http://www.kleintierpraxis-kladow.de,,,,,,52.460887799999995,13.121553999999998
node,978560965,node/978560965,Carsten Schiller,Schnellerstraße,97,12439,Berlin,,,,,,,"Mo,Tu 10:00-12:00,15:00-18:00; We 15:00-18:00; Th;Fr 10:00-12:00,15:00-18:00",,no,"Eine Stufe, schmale Tür zum Behandlungsraum",,52.4531078,13.524566899999998
node,1003123264,node/1003123264,Tierarztpraxis Dr. C. Lewandowski und Dr. S. Klug,,,,,,,,,https://www.lewandowski-klug.de/,,,,no,,,52.42327579999999,13.436755399999997
node,1069431810,node/1069431810,Gabriele C. Müller,Brunowstraße,39,13507,Berlin,+49304343116,,,,https://www.tieraerztin-berlin.com/,,"Mo,Tu,Th,Fr 10:00-12:00,17:00-19:00, We 17:00-18:00, Sa 12:00-13:00",,limited,,,52.5870846,13.2811455
node,1139485719,node/1139485719,Tierarztpraxis Feuerbachstraße,Feuerbachstraße,68,12163,Berlin,+49 30 855 40 50,,,,,,Mo-Su 09:00-12:00; Mo-Fr 16:00-20:00,Dr. med. vet. A. Sillinger;Dr. med. vet. A. Bahr,no,,,52.464410999999984,13.3395319
node,1158920335,node/1158920335,Tierarztpraxis Kammbach,Schweizer Tal,55,13127,Berlin,+4930 47 48 12 20,,,,https://www.tierarztpraxis-kammbach.de/,,,,yes,,,52.60746049999999,13.41982
