id,clinic_name,address,district,district_id,neighborhood,neighborhood_id,lor_id,latitude,longitude,geometry,operating_hours,contact_info,accessibility_features,data_source,source_osm_id,has_minimum_info
268917040,Tierarztpraxis am Urban,"Baerwaldstraße 69, 10961 Berlin",Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,re_ortsteil.0202,52.4956842,13.4052329,POINT (13.4052329 52.4956842),"Mo-Sa 10:00-12:00, Mo 17:00-19:00, Tu,We,Fr 16:00-18:00, Th 17:00-19:00",,no,"OSM amenity=veterinary, Berlin",node/268917040,True
299795048,Dr. med. vet. Elke Hartwig,"Straße 48 67, 13125 Berlin",Pankow,11003003,Karow,0305,re_ortsteil.0305,52.6062863,13.4795548,POINT (13.4795548 52.60628629999999),"Mo,Tu,Th,Fr 10:00-12:00, Mo-Fr 15:00-18:00",+49 30 9437820; http://www.tierarztpraxis-hartwig.de/,limited,"OSM amenity=veterinary, Berlin",node/299795048,True
347294456,Tierarztpraxis Dr. Bernhard Sörensen,"Königsberger Straße 36, 12207 Berlin",Steglitz-Zehlendorf,11006006,Lichterfelde,0602,re_ortsteil.0602,52.4297216,13.3201326,POINT (13.3201326 52.4297216),"Mo-Fr 09:00-20:00; Sa, Su 10:00-18:00",+49 30 7738321; https://www.tierarztpraxis-soerensen.de/,yes,"OSM amenity=veterinary, Berlin",node/347294456,True
394867279,Tierarztpraxis Jeanette Koepsel,"Tierarztpraxis Jeanette Koepsel, 27, Wernerwerkdamm, Alt-Siemensstadt, Siemensstadt, Spandau, Berlin, 13629, Deutschland",Spandau,11005005,Siemensstadt,0503,re_ortsteil.0503,52.5351995,13.2705734,POINT (13.2705734 52.5351995),,,,"OSM amenity=veterinary, Berlin",node/394867279,True
411550894,Kleintierarztpraxis Berlin Kaulsdorf,"Planitzstraße 19, 12621 Berlin",Marzahn-Hellersdorf,11010010,Kaulsdorf,1003,re_ortsteil.1003,52.5095114,13.5896353,POINT (13.5896353 52.50951139999999),"Mo-Fr 09:00-19:00 open ""tel. Terminvereinbarung erforderlich"", week 01-53/2 Sa 09:00-12:00 open ""tel. Terminvereinbarung erforderlich""; Dec 23-26 off; Dec 31-Jan 02 off; PH off",+49 30 53018585; info@tierarzt-kaulsdorf.de; https://www.tierarzt-kaulsdorf.de/,,"OSM amenity=veterinary, Berlin",node/411550894,True
581887970,Eva Klein,"Eva Klein, 2, Teutonenstraße, Nikolassee, Steglitz-Zehlendorf, Berlin, Teltow, 14129, Deutschland",Steglitz-Zehlendorf,11006006,Nikolassee,0606,re_ortsteil.0606,52.4288173,13.1935291,POINT (13.1935291 52.4288173),,,,"OSM amenity=veterinary, Berlin",node/581887970,True
603392630,Klein- und Heimtierklinik,"Oertzenweg 19b, 14163 Berlin",Steglitz-Zehlendorf,11006006,Zehlendorf,0604,re_ortsteil.0604,52.4302981,13.2373596,POINT (13.2373596 52.4302981),"Mo-Fr 09:00-13:00,14:00-16:00",https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,yes,"OSM amenity=veterinary, Berlin",node/603392630,True
702363921,Tierarztpraxis im Frauenviertel - Firchow,"Tierarztpraxis im Frauenviertel - Firchow, Elfriede-Kuhr-Straße, Gartenstadt Rudow – Frauenviertel, Rudow, Neukölln, Berlin, 12355, Deutschland",Neukölln,11008008,Rudow,0804,re_ortsteil.0804,52.4042597,13.5071658,POINT (13.5071658 52.4042597),"Mo-Fr 10:00-12:00, Mo,Tu,Th 17:00-19:00, Fr 16:00-18:00",,limited,"OSM amenity=veterinary, Berlin",node/702363921,True
703135335,Kleintierpraxis Kladow,"Zingerleweg 29, 14089 Berlin",Spandau,11005005,Kladow,0506,re_ortsteil.0506,52.4608878,13.121554,POINT (13.121554 52.4608878),,,,"OSM amenity=veterinary, Berlin",node/703135335,True
978560965,Carsten Schiller,"Schnellerstraße 97, 12439 Berlin",Treptow-Köpenick,11009009,Niederschöneweide,0905,re_ortsteil.0905,52.4531078,13.5245669,POINT (13.5245669 52.4531078),"Mo,Tu 10:00-12:00,15:00-18:00; We 15:00-18:00; Th;Fr 10:00-12:00,15:00-18:00",,"no Eine Stufe, schmale Tür zum Behandlungsraum","OSM amenity=veterinary, Berlin",node/978560965,True
