id,element,source_osm_id,name,addr:street,addr:housenumber,addr:postcode,addr:city,phone,contact:phone,email,contact:email,website,contact:website,opening_hours,operator,wheelchair,wheelchair:description,emergency,lat,lon,geometry,lor_id,district,district_id,neighborhood,neighborhood_id
268917040,node,node/268917040,Tierarztpraxis am Urban,Baerwaldstraße,69,10961,Berlin,,,,,,,"Mo-Sa 10:00-12:00, Mo 17:00-19:00, Tu,We,Fr 16:00-18:00, Th 17:00-19:00",,no,,,52.4956842,13.4052329,POINT (13.4052329 52.4956842),re_ortsteil.0202,Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202
299795048,node,node/299795048,Dr. med. vet. Elke Hartwig,Straße 48,67,13125,Berlin,+49 30 9437820,,,,http://www.tierarztpraxis-hartwig.de/,,"Mo,Tu,Th,Fr 10:00-12:00, Mo-Fr 15:00-18:00",,limited,,,52.6062863,13.4795548,POINT (13.4795548 52.60628629999999),re_ortsteil.0305,Pankow,11003003,Karow,0305
347294456,node,node/347294456,Tierarztpraxis Dr. Bernhard Sörensen,Königsberger Straße,36,12207,Berlin,+49 30 7738321,,,,https://www.tierarztpraxis-soerensen.de/,,"Mo-Fr 09:00-20:00; Sa, Su 10:00-18:00",,yes,,,52.4297216,13.3201326,POINT (13.3201326 52.4297216),re_ortsteil.0602,Steglitz-Zehlendorf,11006006,Lichterfelde,0602
394867279,node,node/394867279,Tierarztpraxis Jeanette Koepsel,,,,,,,,,,,,,,,,52.5351995,13.2705734,POINT (13.2705734 52.5351995),re_ortsteil.0503,Spandau,11005005,Siemensstadt,0503
411550894,node,node/411550894,Kleintierarztpraxis Berlin Kaulsdorf,Planitzstraße,19,12621,Berlin,+49 30 53018585,,info@tierarzt-kaulsdorf.de,,https://www.tierarzt-kaulsdorf.de/,,"Mo-Fr 09:00-19:00 open ""tel. Terminvereinbarung erforderlich"", week 01-53/2 Sa 09:00-12:00 open ""tel. Terminvereinbarung erforderlich""; Dec 23-26 off; Dec 31-Jan 02 off; PH off",Dr. Berit Miels;Dr. Mathias Kochert,,,,52.5095114,13.5896353,POINT (13.5896353 52.50951139999999),re_ortsteil.1003,Marzahn-Hellersdorf,11010010,Kaulsdorf,1003
581887970,node,node/581887970,Eva Klein,,,,,,,,,,,,,,,,52.4288173,13.1935291,POINT (13.1935291 52.4288173),re_ortsteil.0606,Steglitz-Zehlendorf,11006006,Nikolassee,0606
603392630,node,node/603392630,Klein- und Heimtierklinik,Oertzenweg,19b,14163,Berlin,,,,,https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,,"Mo-Fr 09:00-13:00,14:00-16:00",Freie Universität Berlin,yes,,yes,52.4302981,13.2373596,POINT (13.2373596 52.4302981),re_ortsteil.0604,Steglitz-Zehlendorf,11006006,Zehlendorf,0604
702363921,node,node/702363921,Tierarztpraxis im Frauenviertel - Firchow,,,,,,,,,,,"Mo-Fr 10:00-12:00, Mo,Tu,Th 17:00-19:00, Fr 16:00-18:00",,limited,,,52.4042597,13.5071658,POINT (13.5071658 52.4042597),re_ortsteil.0804,Neukölln,11008008,Rudow,0804
703135335,node,node/703135335,Kleintierpraxis Kladow,Zingerleweg,29,14089,Berlin,,+49 30 3653374,,info@kleintierpraxis-kladow.de,,http://www.kleintierpraxis-kladow.de,,,,,,52.4608878,13.121554,POINT (13.121554 52.4608878),re_ortsteil.0506,Spandau,11005005,Kladow,0506
978560965,node,node/978560965,Carsten Schiller,Schnellerstraße,97,12439,Berlin,,,,,,,"Mo,Tu 10:00-12:00,15:00-18:00; We 15:00-18:00; Th;Fr 10:00-12:00,15:00-18:00",,no,"Eine Stufe, schmale Tür zum Behandlungsraum",,52.4531078,13.5245669,POINT (13.5245669 52.4531078),re_ortsteil.0905,Treptow-Köpenick,11009009,Niederschöneweide,0905
1003123264,node,node/1003123264,Tierarztpraxis Dr. C. Lewandowski und Dr. S. Klug,,,,,,,,,https://www.lewandowski-klug.de/,,,,no,,,52.4232758,13.4367554,POINT (13.4367554 52.4232758),re_ortsteil.0803,Neukölln,11008008,Buckow,0803
1069431810,node,node/1069431810,Gabriele C. Müller,Brunowstraße,39,13507,Berlin,+49304343116,,,,https://www.tieraerztin-berlin.com/,,"Mo,Tu,Th,Fr 10:00-12:00,17:00-19:00, We 17:00-18:00, Sa 12:00-13:00",,limited,,,52.5870846,13.2811455,POINT (13.2811455 52.5870846),re_ortsteil.1202,Reinickendorf,11012012,Tegel,1202
1139485719,node,node/1139485719,Tierarztpraxis Feuerbachstraße,Feuerbachstraße,68,12163,Berlin,+49 30 855 40 50,,,,,,Mo-Su 09:00-12:00; Mo-Fr 16:00-20:00,Dr. med. vet. A. Sillinger;Dr. med. vet. A. Bahr,no,,,52.464411,13.3395319,POINT (13.3395319 52.464411),re_ortsteil.0601,Steglitz-Zehlendorf,11006006,Steglitz,0601
1158920335,node,node/1158920335,Tierarztpraxis Kammbach,Schweizer Tal,55,13127,Berlin,+4930 47 48 12 20,,,,https://www.tierarztpraxis-kammbach.de/,,,,yes,,,52.6074605,13.41982,POINT (13.41982 52.60746049999999),re_ortsteil.0310,Pankow,11003003,Französisch Buchholz,0310
1169112227,node,node/1169112227,Tierarztpraxis am Velodrom,Conrad-Blenkle-Straße,4,10407,Berlin,,+493042085005,,,,http://www.tierarztpraxis-am-velodrom.de/,"Mo,Th 12:00-19:00; Tu,Fr 09:00-15:00; We,Sa 09:00-12:00",,limited,,,52.5281462,13.4501959,POINT (13.4501959 52.5281462),re_ortsteil.0301,Pankow,11003003,Prenzlauer Berg,0301
1244610778,node,node/1244610778,Dipl.-vet.-med. Jörg Porada,,,,,,,,,,,,,,,,52.5121271,13.4195273,POINT (13.4195273 52.5121271),re_ortsteil.0101,Mitte,11001001,Mitte,0101
1247761224,node,node/1247761224,Tierarztpraxis,,,,,,,,,,,"Mo,Tu,Th,Fr 09:30-11:00,16:30-19:00; We 17:00-20:00; Sa 10:00-12:00",,yes,,,52.5290099,13.4684992,POINT (13.4684992 52.5290099),re_ortsteil.1111,Lichtenberg,11011011,Fennpfuhl,1111
1309566310,node,node/1309566310,Bella brazil waxing studio,,,,,,,,,,,,,,,,52.5958722,13.3349653,POINT (13.3349653 52.59587219999999),re_ortsteil.1209,Reinickendorf,11012012,Wittenau,1209
1352697273,node,node/1352697273,DVM J. Rafael,,,,,,,,,,,"Mo,We 09:00-12:00,15:00-19:00, Tu,Th 09:00-11:00,14:00-18:00, Fr 09:00-12:00, Sa 09:00-11:00",,limited,,,52.5525185,13.4154857,POINT (13.4154857 52.552518499999984),re_ortsteil.0301,Pankow,11003003,Prenzlauer Berg,0301
1387989062,node,node/1387989062,Dr. König,,,,,,,,,,,"Mo-Sa 10:00-12:00; Mo,Tu,Th,Fr 16:00-18:00",,,,,52.4789793,13.2848224,POINT (13.2848224 52.4789793),re_ortsteil.0403,Charlottenburg-Wilmersdorf,11004004,Schmargendorf,0403
1431365727,node,node/1431365727,,,,,,,,,,,,,,,,,52.478761,13.2825498,POINT (13.2825498 52.478761),re_ortsteil.0403,Charlottenburg-Wilmersdorf,11004004,Schmargendorf,0403
1444862410,node,node/1444862410,Flidais,Buschkrugallee,206,12359,Berlin,,,,,https://www.flidais-vet.de,,,,,,,52.4463278,13.4543051,POINT (13.4543051 52.4463278),re_ortsteil.0802,Neukölln,11008008,Britz,0802
1464419364,node,node/1464419364,Ullrich Mattke,Gäblerstraße,5,13086,Berlin,,,,,,,"Mo-Th 09:00-12:00,15:00-19:00; Sa 10:00-12:00; Fr 09:00-12:00,15:00-17:00",,,,,52.5536467,13.4483752,POINT (13.4483752 52.5536467),re_ortsteil.0302,Pankow,11003003,Weißensee,0302
1492682203,node,node/1492682203,,Bruno-Baum-Straße,75,12685,Berlin,,,,,,,,,,,,52.5355029,13.5426037,POINT (13.5426037 52.5355029),re_ortsteil.1001,Marzahn-Hellersdorf,11010010,Marzahn,1001
1504191018,node,node/1504191018,Tierarztpraxis O.C. Lombardi,Britzer Damm,13,12347,Berlin,+49 30 6251547,,,,https://www.lombardi-berlin.de/,,"Mo-Sa 10:00-12:00, Mo,Th 16:00-19:00, Tu,Fr 16:00-18:00",,limited,,,52.4617945,13.4350014,POINT (13.4350014 52.46179449999999),re_ortsteil.0802,Neukölln,11008008,Britz,0802
1607627062,node,node/1607627062,Naturheilpraxis Dr. Hanik,,,,,,,,,,,,,,,no,52.5303117,13.1363236,POINT (13.1363236 52.5303117),re_ortsteil.0504,Spandau,11005005,Staaken,0504
1766858344,node,node/1766858344,Tierarztpraxis Tanja Lück,Ernststraße,59,13509,Berlin,+493043726783,,,,https://www.tanja-lueck.de/,,"Mo-We 09:00-13:00,16:00-19:00; Th 15:00-20:00; Fr 09:00-13:00,16:00-19:00; PH off",,,,,52.5838893,13.3006927,POINT (13.3006927 52.5838893),re_ortsteil.1211,Reinickendorf,11012012,Borsigwalde,1211
1791397445,node,node/1791397445,Tierarzt-Praxis Ralf Boxhammer,,,,,,,,,,,"Mo,We 09:00-12:00; Tu,Th,Fr 14:00-17:00; Sa,Su 11:00-13:00",,no,,,52.4544641,13.5780156,POINT (13.5780156 52.4544641),re_ortsteil.0910,Treptow-Köpenick,11009009,Köpenick,0910
1832317052,node,node/1832317052,Tierarztpraxis Michael Voigt,Ernststraße,9,12437,Berlin,+49 30 532 9481,,,,https://tierarzt-voigt.de/,,"Mo 09:00-12:00,15:00-18:00; Tu 13:00-18:00; We 09:00-12:00; Th 09:00-12:00,15:00-18:00; Fr 13:00-18:00",,,,,52.465439,13.4889671,POINT (13.4889671 52.465439),re_ortsteil.0903,Treptow-Köpenick,11009009,Baumschulenweg,0903
1882067156,node,node/1882067156,filu,Olivaer Platz,15,10707,Berlin,,,,,,,,,limited,,,52.4998738,13.3142714,POINT (13.3142714 52.4998738),re_ortsteil.0401,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401
1905963733,node,node/1905963733,Tierarztpraxis Bärenwiese/ Tiernotarzt Berlin,Uhlandstraße,151,10719,Berlin,,+49 30 23362627,,,,https://www.tierarzt-baerenwiese.de/,"Mo 08:00-20:00; Tu-Fr 10:00-20:00; Sa,Su 10:00-13:00",,limited,,,52.497396,13.3245464,POINT (13.3245464 52.497396),re_ortsteil.0402,Charlottenburg-Wilmersdorf,11004004,Wilmersdorf,0402
1914085674,node,node/1914085674,Tierarztpraxis am Bundesplatz,Detmolder Straße,3,10715,Berlin,,,,,,,"Mo,Tu,Th,Fr 09:00-12:00,16:00-18:00; We 09:00-11:00; Sa 10:00-12:00",,,,,52.4788705,13.3269233,POINT (13.3269233 52.4788705),re_ortsteil.0402,Charlottenburg-Wilmersdorf,11004004,Wilmersdorf,0402
1965863459,node,node/1965863459,"Dr. Demmler, Dr. Wehming",Wiener Straße,25,10999,Berlin,,,,,,,"Mo-Fr 10:00-12:00,16:00-19:00; Sa 10:00-12:00; Su 10:00-11:00",,,,,52.4969564,13.4325994,POINT (13.4325994 52.4969564),re_ortsteil.0202,Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202
1978736705,node,node/1978736705,Tierarzt Scheibner,Dörpfeldstraße,46,12489,Berlin,+49 30 677 54 03,,,,https://www.tierarzt-adlershof.de/,,"Mo-Sa 09:00-11:00; Mo,We 16:00-18:30; Tu 18:30-20:30; Fr 16:00-18:00; PH off  || ""Nach Vereinbarung""",,yes,,,52.4380728,13.5481783,POINT (13.5481783 52.438072799999986),re_ortsteil.0907,Treptow-Köpenick,11009009,Adlershof,0907
2000251280,node,node/2000251280,Tierarztpraxis am Lietzenseepark,Riehlstraße,3,14057,Berlin,+49 30 3215058,,mail@tierarztpraxis-am-lietzenseepark.de,,https://tierarztpraxis-am-lietzenseepark.de/,,"Mo-Fr 09:00-12:00 16:00-19:00, Sa 11:00-13:00, Mo-Fr 12:00-16:00 ""nur mit Voranmeldung""",Tierarztpraxis am Lietzenseepark GmbH,,,,52.509309,13.2859209,POINT (13.2859209 52.509309),re_ortsteil.0401,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401
2018939619,node,node/2018939619,Tierarztpraxis Dr. H. Brieger,,,,,,+49 30 8015852,,,,https://www.dr-brieger.de,"Mo-We, Fr 09:30-11:00,16:00-19:00; Th 16:00-19:00; Sa 09:30-11:00",,,,,52.431227,13.2561565,POINT (13.2561565 52.431227),re_ortsteil.0604,Steglitz-Zehlendorf,11006006,Zehlendorf,0604
2021286582,node,node/2021286582,Esther Bartels,,,,,,,,,,,,,yes,,,52.503473,13.3067983,POINT (13.3067983 52.503473),re_ortsteil.0401,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,0401
2099577566,node,node/2099577566,Tierarztpraxis Dr. Veit-Uwe Stuhrberg,Bernulfstraße,43-45,12524,Berlin,+49 30 6723384,,,,https://www.tierarztpraxis-altglienicke.de/,,"Mo,Tu,Th,Fr 09:00-11:00,16:00-19:00; We 09:00-11:00; Sa 09:00-11:00",,no,Grössere Treppe (abwärts) zum Eingang,,52.4127843,13.541714,POINT (13.541714 52.412784299999984),re_ortsteil.0906,Treptow-Köpenick,11009009,Altglienicke,0906
2132599964,node,node/2132599964,Dr. med. vet. Ulrich Bemm,Krummenseer Straße,10,12685,Berlin,+49 30 54378250,,,,https://www.tierarzt-bemm.de/,,"Mo 13:00-18:00, Tu 10:00-15:00; We 10:00-15:00; Th 13:00-18:00; Fr 10:00-15:00",,yes,,,52.541678,13.5721215,POINT (13.5721215 52.541678),re_ortsteil.1001,Marzahn-Hellersdorf,11010010,Marzahn,1001
2136188609,node,node/2136188609,Tierarztpraxis Vesmes,Blumberger Damm,158,12685,Berlin,+49309340440,,info@tierarztpraxis-vesmes.de,,https://www.tierarztpraxis-vesmes.de,,"Mo 09:00-12:00, 16:00-20:00; Tu 09:00-12:00, 16:00-20:00; We 16:00-20:00; Th 09:00-12:00, 16:00-20:00; Fr 09:00-12:00, 16:00-20:00",Joel Vesmes,yes,,,52.54542,13.5719026,POINT (13.5719026 52.54542),re_ortsteil.1001,Marzahn-Hellersdorf,11010010,Marzahn,1001
2303053618,node,node/2303053618,,,,,,,,,,,,,,no,,,52.5477287,13.2022574,POINT (13.2022574 52.5477287),re_ortsteil.0501,Spandau,11005005,Spandau,0501
2332698000,node,node/2332698000,Flick,,,,,,,,,,,Mo-Sa 17:00-19:00,,,,,52.4178034,13.3061609,POINT (13.3061609 52.4178034),re_ortsteil.0602,Steglitz-Zehlendorf,11006006,Lichterfelde,0602
2420872095,node,node/2420872095,Dr. Wolfgang Hoffmann,,,,,,,,,,,"Mo-Fr 10:00-12:00,15:00-18:00",,no,,,52.5286363,13.3412782,POINT (13.3412782 52.52863629999999),re_ortsteil.0102,Mitte,11001001,Moabit,0102
2444304869,node,node/2444304869,Kleintierpraxis Dr. Jana Pohlenz,Sabinensteig,15,13053,Berlin,,,,,http://www.kleintierpraxis-pohlenz.de,,,,,,,52.5490713,13.4937991,POINT (13.4937991 52.5490713),re_ortsteil.1110,Lichtenberg,11011011,Alt-Hohenschönhausen,1110
2444308316,node,node/2444308316,Tierarzt Dr. Niels Lösch,Am Faulen See,54,13053,Berlin,,,,,,,,,,,,52.5535045,13.49705,POINT (13.49705 52.5535045),re_ortsteil.1110,Lichtenberg,11011011,Alt-Hohenschönhausen,1110
2509134926,node,node/2509134926,Praxis im Märchenviertel,,,,,+49 30 6574725,,tierarzt@tierpraxis-rudelt.de,,http://www.tierpraxis-rudelt.de/,,"Mo 14:00-18:00, Tu,Th 09:00-12:00, We 15:00-19:00; PH off",Anette Rudelt,no,,,52.4617784,13.5859364,POINT (13.5859364 52.4617784),re_ortsteil.0910,Treptow-Köpenick,11009009,Köpenick,0910
2525117416,node,node/2525117416,Medivet Berlin Pankow,Pasewalker Straße,25,13127,Berlin,+49 30 47469232,,,,https://www.medivetgroup.com/de-de/tierarzt/berlin-pankow,,Mo-Fr 09:00-19:00; Sa 09:00-16:00; Su 11:00-13:00,,yes,,,52.5883891,13.429743,POINT (13.429743 52.5883891),re_ortsteil.0310,Pankow,11003003,Französisch Buchholz,0310
2674384521,node,node/2674384521,Tierarztpraxis Tempelhof,,,,,,,,,,,,,,,,52.4478307,13.3865847,POINT (13.3865847 52.4478307),re_ortsteil.0704,Tempelhof-Schöneberg,11007007,Mariendorf,0704
2746780787,node,node/2746780787,Dr. med. vet. Jeanette Sagawe,Steglitzer Damm,30,12169,Berlin,+49 30 7951435,,info@tieraerzte-steglitz.de,,https://www.tieraerzte-steglitz.de,,"Mo-Fr 09:00-13:00,16:00-20:00; Sa 10:00-16:00",,,,,52.4505337,13.3410324,POINT (13.3410324 52.45053369999999),re_ortsteil.0601,Steglitz-Zehlendorf,11006006,Steglitz,0601
2952593533,node,node/2952593533,Bania,Kremnitzufer,2,,,+49308051172,,,,,,,,,,,52.396095,13.161149,POINT (13.161149 52.396095),re_ortsteil.0607,Steglitz-Zehlendorf,11006006,Wannsee,0607
3065368552,node,node/3065368552,Tierarztpraxis Dr. Koch,Lichtenrader Damm,39,12305,Berlin,+49 30 67 03 76 57,,koch@tierarztpraxis-koch.de,,http://www.tierarztpraxis-koch.de/,,"Mo,We,Fr 09:00-14:00; Tu,Th 15:00-20:00",Dr. Christian Koch,no,,,52.4107877,13.403669,POINT (13.403669 52.4107877),re_ortsteil.0706,Tempelhof-Schöneberg,11007007,Lichtenrade,0706
3080776284,node,node/3080776284,Tierärzliche Praxis am Lützowufer,Lützowufer,26,10787,Berlin,,,,,,,,,,,,52.5061832,13.3494203,POINT (13.3494203 52.5061832),re_ortsteil.0104,Mitte,11001001,Tiergarten,0104
3098125229,node,node/3098125229,Kleintierpraxis in der Torstraße,,,,,,,,,,,,,,,,52.5288283,13.4082068,POINT (13.4082068 52.52882829999998),re_ortsteil.0101,Mitte,11001001,Mitte,0101
3133634694,node,node/3133634694,Praxis Tierzuliebe,Edisonstraße,63,12459,Berlin,+49 30 535 38 00,,,,https://tierarztinberlin.de/,,"Mo,Tu,Th,Fr 10:00-18:00; Sa 10:00-14:00; Su 11:00-13:00",Miriam Bertram,yes,,,52.4614933,13.5131144,POINT (13.5131144 52.4614933),re_ortsteil.0909,Treptow-Köpenick,11009009,Oberschöneweide,0909
3178164316,node,node/3178164316,Dirk Trimpe,Bahnhofstraße,3,12159,Berlin,+49 30 8521920,,,,http://www.tierarztpraxis-trimpe.de/,,"Mo-Sa 10:00-12:30, Mo,Tu,Th,Fr 17:00-19:00",,no,,,52.4699319,13.3395083,POINT (13.3395083 52.469931899999985),re_ortsteil.0701,Tempelhof-Schöneberg,11007007,Schöneberg,0701
3284006061,node,node/3284006061,Tierarztpraxis Andrea Reich,Holländerstraße,95,13407,Berlin,+49304557051,,,,https://www.tierarztpraxis-reinickendorf.de/,,"Mo 10:00-18:00; Th,Fr 10:00-16:00; Tu 10:00-14:00; We 14:00-18:00",Andrea Reich,no,,,52.561957,13.353401,POINT (13.353401 52.561957),re_ortsteil.0105,Mitte,11001001,Wedding,0105
3393786475,node,node/3393786475,Tierarztpraxis,,,,,+49 30 40534618,,,,,,"Mo,We,Th 09:30-13:00; Tu,Fr 15:00-19:00; Sa 09:00-11:00",,,,,52.5769899,13.2792318,POINT (13.2792318 52.5769899),re_ortsteil.1202,Reinickendorf,11012012,Tegel,1202
3444597275,node,node/3444597275,Tierarztpraxis am Südkreuz,Gustav-Müller-Straße,19,10829,Berlin,,,,,https://www.tierarztpraxis-am-suedkreuz.de/,,"Mo-Fr 10:00-12:00, Mo,We 16:00-19:00, Tu,Th,Fr 16:00-18:00",,no,,,52.4807694,13.3623013,POINT (13.3623013 52.4807694),re_ortsteil.0701,Tempelhof-Schöneberg,11007007,Schöneberg,0701
3649210316,node,node/3649210316,Tierarztpraxis an den Allee-Arcaden,Greifenhagener Straße,45,10437,Berlin,,+49 30 30361381,,,https://www.tierarztpraxis-allee-arcaden.de/,,"Mo,Tu,Th 09:00-12:00,16:00-18:00; Fr 09:00-12:00",Anne Gamalski,limited,Mobile Rampe vorhanden; bei Bedarf klingeln,,52.5496022,13.4168501,POINT (13.4168501 52.5496022),re_ortsteil.0301,Pankow,11003003,Prenzlauer Berg,0301
3694035418,node,node/3694035418,Tierarztpraxis Dr. med. vet. Gerald Schmid,Eisenacher Straße,40,10781,Berlin,+49 30 211 17 79,,,,http://doctor-dolittle.de,,"Mo-We,Fr 10:00-14:00; Th 15:00-18:00",Dr. med. vet. Gerald Schmid,yes,,,52.4897742,13.3488645,POINT (13.3488645 52.4897742),re_ortsteil.0701,Tempelhof-Schöneberg,11007007,Schöneberg,0701
3754655246,node,node/3754655246,Tierarzt Dr. Ferencz,Elberfelder Straße,3,10555,Berlin,,,,,http://www.tierarztpraxis-moabit.de,,"""'Weiter Terminsprechstunde. Bitte rufen Sie an 030-3988 9278'""",,no,,,52.5241824,13.3359576,POINT (13.3359576 52.5241824),re_ortsteil.0102,Mitte,11001001,Moabit,0102
3786067403,node,node/3786067403,Tierarztpraxis Tierlieb,Preußenallee,40,14052,Berlin,,,,,,,"Mo-Fr 09:00-13:00, Mo,Tu,Th 14:00-18:00; Sa 09:30-11:00",Frau Annette Oehler,,,,52.5154998,13.2608183,POINT (13.2608183 52.5154998),re_ortsteil.0405,Charlottenburg-Wilmersdorf,11004004,Westend,0405
3826013974,node,node/3826013974,Tierarztpraxis am Nollendorfplatz,Nollendorfstraße,20,10777,Berlin,,+49 30 2167711,,,,http://hund-katze-vogel.de/,"Mo-Tu 10:00-12:00,17:00-19:00; We 17:00-19:00; Th 10:00-12:00,16:00-18:00; Fr 10:00-14:00; Sa ""by appointment""",Dr. Petra Birkefeld & Dr. Elisabeth Nolte,no,,,52.4976524,13.3504475,POINT (13.3504475 52.4976524),re_ortsteil.0701,Tempelhof-Schöneberg,11007007,Schöneberg,0701
3905732054,node,node/3905732054,Tierarztpraxis Tobias Krause,,,,,,+49 30 91443116,,tierarzt@ta-krause.de,,http://www.ta-krause.de,"Mo-Fr 09:30-12:00,16:30-19:00; Sa 10:00-12:00",,,,,52.4459974,13.3307775,POINT (13.3307775 52.44599739999999),re_ortsteil.0601,Steglitz-Zehlendorf,11006006,Steglitz,0601
3906998156,node,node/3906998156,Tierheilpraxis Kreuzberg,Warschauer Straße,29,10243,Berlin,,,,,,,"Mo,We,Fr 11:00-17:00; Tu,Th 14:00-20:00",,no,,,52.5097882,13.4509749,POINT (13.4509749 52.5097882),re_ortsteil.0201,Friedrichshain-Kreuzberg,11002002,Friedrichshain,0201
3911381119,node,node/3911381119,Katharina Andreas,Hampsteadstraße,7,14167,Berlin,,,,,,,,,,,,52.433136,13.2749799,POINT (13.2749799 52.433136),re_ortsteil.0604,Steglitz-Zehlendorf,11006006,Zehlendorf,0604
4014948628,node,node/4014948628,Tierarztpraxis am Wildrosengehölz,Hönower Straße,263,,Berlin,+49 30 99285501,,info@tierarztpraxis-mahlsdorf.de,,https://www.tierarztpraxis-mahlsdorf.de/,,"Mo-Sa 08-20, So (Notfall) 10-16",,yes,,,52.5278578,13.6243765,POINT (13.6243765 52.5278578),re_ortsteil.1004,Marzahn-Hellersdorf,11010010,Mahlsdorf,1004
4080579671,node,node/4080579671,Dr. med. vet. Susann Zimmer,Weerthstraße,10,12489,Berlin,+49 30 67 132 67,,,,,,"Mo 10:00-12:00,16:00-18:00, Tu 10:00-12:00,16:00-19:00, We 10:00-12:00, Th 16:00-19:00, Fr 10:00-12:00,16:00-18:00; PH off",,,,,52.4346817,13.544154,POINT (13.544154 52.4346817),re_ortsteil.0907,Treptow-Köpenick,11009009,Adlershof,0907
4137973040,node,node/4137973040,Tierpraxis Dr. Gerriets,Morgensternstraße,16,12207,Berlin,+49 30 7724027,,,,https://www.tierpraxis-drgerriets.de/,,"Mo 10:00-13:00,17:00-19:00; Tu 10:00-12:00; We 17:00-19:00; Th 10:00-12:00; Fr 10:00-12:00",,,,,52.4259329,13.3186185,POINT (13.3186185 52.425932899999985),re_ortsteil.0602,Steglitz-Zehlendorf,11006006,Lichterfelde,0602
