id,brand,shop,amenity,operator_original,brand_original,addr:street,addr:housenumber,addr:postcode,level,wheelchair_access,service_copy,service_print,service_app_operated,service_barcode_scanner,service_bluetooth,service_display_operated,service_label_printer,locker_type,service_parcel_mail_in,service_parcel_pickup,note,note_de,description,geometry,latitude,longitude,opening_hours,website,source,last_checked,data_source,operator,district,neighborhood_id,neighborhood
64888570,Deutsche Post,,post_office,Deutsche Post,Deutsche Post,Prerower Platz,1,13051,0,yes,,,,,,,,,,,,,,POINT (13.5071817 52.5646771),52.5646771,13.5071817,Mo-Fr 09:00-18:30; Sa 09:00-12:00,,,,OpenStreetMap,Deutsche Post,Lichtenberg,1109,Neu-Hohenschönhausen
89274887,Deutsche Post,,post_office,Deutsche Post,Deutsche Post,,,,0,no,,,,,,,,,,,,,,POINT (13.4115537 52.5196982),52.5196982,13.4115537,Mo-Fr 09:00-19:00; Sa 09:00-15:00,,,,OpenStreetMap,Deutsche Post,Mitte,0101,Mitte
97877441,Postbank,,post_office,,,Wiltbergstraße,21,13125,,yes,,,,,,,,,,,,,,POINT (13.4938163 52.6357854),52.6357854,13.4938163,"PH,Mo-Su 00:00-24:00",,,,OpenStreetMap,Unknown,Pankow,0309,Buch
251290430,Independent Retailer,,post_office,,,,,,,,,,,,,,,,,,,,,POINT (13.6889878 52.441346),52.441346,13.6889878,,,,,OpenStreetMap,Unknown,Treptow-Köpenick,0912,Rahnsdorf
257705263,Postbank,,post_office,Postbank;Deutsche Post;DHL,,,,,1,yes,,,,,,,,,,,,,,POINT (13.1980106 52.5338083),52.5338083,13.1980106,"Mo-Fr 09:30-18:00; Sa 09:30-17:30; Su,PH off",,,,OpenStreetMap,Deutsche Post,Spandau,0501,Spandau
258888571,Deutsche Post,,post_office,Deutsche Post,Deutsche Post,Wittenberger Straße,76-80,12689,,yes,,,,,,,,,,,,,,POINT (13.5713372 52.5651108),52.5651108,13.5713372,Sa 08:00-12:30; Mo-Fr 08:00-18:00,,,,OpenStreetMap,Deutsche Post,Marzahn-Hellersdorf,1001,Marzahn
259609019,Independent Retailer,,post_office,Deutsche Post,,,,,,yes,,,,,,,,,,,,,,POINT (13.2010183 52.548998),52.548998,13.2010183,"Mo-Fr 10:00-18:30; Sa 10:00-13:00; Su,PH off",,,,OpenStreetMap,Deutsche Post,Spandau,0501,Spandau
268072806,Deutsche Post,,post_office,Deutsche Post,Deutsche Post,,,,,limited,,,,,,,,,,,,,,POINT (13.287191 52.5889268),52.5889268,13.287191,"Mo-Fr 09:00-18:30, Sa 09:00-14:00",,,,OpenStreetMap,Deutsche Post,Reinickendorf,1202,Tegel
269477697,Deutsche Post,,post_office,Deutsche Post,Deutsche Post,Brückenstraße,,10179,,no,,,,,,,,,,,,,,POINT (13.4169551 52.5114603),52.5114603,13.4169551,Mo-Fr 09:00-18:00;Sa 09:00-12:00,,,2015-02-25,OpenStreetMap,Deutsche Post,Mitte,0101,Mitte
270320951,Postbank,,post_office,Deutsche Post,,Kaiser-Wilhelm-Straße,60-62,12247,,yes,,,,,,,,,,,,,,POINT (13.3426964 52.4347533),52.4347533,13.3426964,Mo-Fr 09:00-18:00; Sa 09:00-13:00,,,,OpenStreetMap,Deutsche Post,Steglitz-Zehlendorf,0603,Lankwitz
